DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-06,23-198,IND,HOME,WAS,W (+15),0,8:05,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,-5
2019-11-10,23-202,IND,AWAY,ORL,W (+7),0,9:39,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,1,0,0.6,+6
2019-11-12,23-204,IND,HOME,OKC,W (+26),0,6:03,1,1,1.000,0,0,,1,1,1.000,1,1,2,1,0,0,0,1,3,4.0,-1
2019-11-16,23-208,IND,HOME,MIL,L (-19),0,4:51,1,2,.500,0,0,,2,3,.667,1,2,3,1,0,0,0,1,4,4.2,+1
2019-11-18,23-210,IND,AWAY,BRK,W (+29),0,2:57,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,1,0,4,3.4,+5
2019-11-25,23-217,IND,HOME,MEM,W (+12),0,2:33,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
2019-11-27,23-219,IND,HOME,UTA,W (+19),0,2:10,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
2019-12-02,23-224,IND,AWAY,MEM,W (+13),0,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
2019-12-15,23-237,IND,HOME,CHO,W (+22),0,2:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,0
2019-12-28,23-250,IND,AWAY,NOP,L (-22),0,3:57,2,2,1.000,0,0,,0,0,,0,3,3,0,0,0,0,0,4,4.3,+4
2020-01-08,23-261,IND,HOME,MIA,L (-14),0,2:40,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1,+7
2020-02-23,23-307,IND,AWAY,TOR,L (-46),0,4:24,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-0.7,-6
2020-03-04,23-317,IND,AWAY,MIL,L (-19),0,3:29,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,+9
