DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,23-279,NYK,AWAY,SAS,L (-9),1,6:51,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-3.1,-6
2019-10-25,23-281,NYK,AWAY,BRK,L (-4),0,23:25,6,7,.857,3,4,.750,7,11,.636,0,3,3,2,1,1,4,5,22,15.9,-3
2019-10-26,23-282,NYK,HOME,BOS,L (-23),0,20:50,0,4,.000,0,4,.000,2,2,1.000,0,1,1,1,0,0,1,3,2,-2.0,-25
2019-11-03,23-290,NYK,HOME,SAC,L (-21),0,24:00,3,9,.333,2,5,.400,3,4,.750,1,3,4,4,0,1,3,3,11,6.4,-6
2019-11-06,23-293,NYK,AWAY,DET,L (-20),0,3:43,1,2,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,0,5,4.3,+4
2019-11-08,23-295,NYK,AWAY,DAL,W (+4),0,16:49,1,3,.333,0,0,,2,2,1.000,0,1,1,2,1,0,1,4,4,2.4,+4
2019-11-10,23-297,NYK,HOME,CLE,L (-21),0,15:58,5,5,1.000,3,3,1.000,0,0,,0,1,1,2,0,1,3,2,13,10.1,-13
2019-11-12,23-299,NYK,AWAY,CHI,L (-18),0,5:22,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,2,0,-1.5,-6
2019-11-27,23-314,NYK,AWAY,TOR,L (-28),0,7:04,3,4,.750,1,2,.500,3,3,1.000,0,2,2,1,0,0,1,1,10,8.3,0
2019-12-02,23-319,NYK,AWAY,MIL,L (-44),0,11:50,3,5,.600,2,4,.500,2,2,1.000,0,1,1,1,0,0,0,1,10,8.3,-15
2019-12-05,23-322,NYK,HOME,DEN,L (-37),0,6:28,2,3,.667,0,1,.000,2,2,1.000,0,2,2,0,0,0,1,1,6,3.9,-3
2019-12-10,23-327,NYK,AWAY,POR,L (-28),0,14:22,4,9,.444,2,5,.400,3,5,.600,0,0,0,2,0,0,1,0,13,7.9,-1
2019-12-20,23-337,NYK,AWAY,MIA,L (-15),0,10:17,0,1,.000,0,0,,2,2,1.000,0,2,2,2,0,1,1,0,2,3.0,+8
2019-12-21,23-338,NYK,HOME,MIL,L (-21),0,12:00,1,1,1.000,0,0,,3,4,.750,0,0,0,2,0,0,0,0,5,5.7,+4
2019-12-23,23-340,NYK,HOME,WAS,L (-6),0,19:36,5,7,.714,1,3,.333,0,0,,0,2,2,1,0,0,1,1,11,8.0,-10
2019-12-28,23-345,NYK,AWAY,WAS,W (+7),0,6:50,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.1,+4
2020-01-07,23-355,NYK,AWAY,LAL,L (-30),0,12:00,2,7,.286,0,2,.000,0,0,,0,0,0,1,0,0,0,0,4,0.6,-15
2020-01-10,23-358,NYK,HOME,NOP,L (-12),0,5:55,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+5
2020-01-14,23-362,NYK,AWAY,MIL,L (-26),0,9:22,1,7,.143,0,4,.000,0,0,,1,1,2,2,0,0,0,0,2,-0.1,+3
2020-01-18,24-001,NYK,HOME,PHI,L (-3),0,13:15,0,3,.000,0,1,.000,0,0,,2,0,2,0,0,0,0,1,0,-1.1,-7
2020-02-24,24-038,NYK,AWAY,HOU,L (-11),0,6:22,3,4,.750,2,2,1.000,1,2,.500,1,0,1,0,0,0,1,0,9,6.7,+12
2020-02-26,24-040,NYK,AWAY,CHO,L (-6),0,16:20,6,8,.750,1,2,.500,2,2,1.000,0,0,0,0,1,0,1,4,15,10.2,+7
2020-02-27,24-041,NYK,AWAY,PHI,L (-9),0,10:04,3,5,.600,0,0,,0,0,,0,1,1,1,0,0,0,0,6,4.7,-6
2020-03-06,24-049,NYK,HOME,OKC,L (-23),0,12:00,2,4,.500,1,3,.333,0,0,,1,0,1,3,0,0,0,1,5,5.4,-6
