DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-01,26-178,ORL,HOME,MIL,L (-32),0,5:36,2,2,1.000,0,0,,0,0,,1,0,1,2,0,0,1,0,4,4.5,-2
2019-11-08,26-185,ORL,HOME,MEM,W (+32),0,3:07,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,+4
2019-11-25,26-202,ORL,AWAY,DET,L (-15),0,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2019-12-04,26-211,ORL,HOME,PHO,W (+14),0,2:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-7
2019-12-09,26-216,ORL,AWAY,MIL,L (-9),0,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
2019-12-13,26-220,ORL,HOME,HOU,L (-23),0,4:16,0,1,.000,0,0,,0,2,.000,1,0,1,0,0,0,0,1,0,-1.2,-2
2019-12-20,26-227,ORL,AWAY,POR,L (-15),0,2:09,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-0.4,+3
2019-12-28,26-235,ORL,AWAY,MIL,L (-11),0,1:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
2019-12-30,26-237,ORL,HOME,ATL,L (-8),0,6:20,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4,+5
2020-01-01,26-239,ORL,AWAY,WAS,W (+21),0,13:04,0,1,.000,0,0,,2,4,.500,2,4,6,2,0,1,0,0,2,5.2,+13
2020-01-04,26-242,ORL,HOME,UTA,L (-13),0,0:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
2020-01-08,26-246,ORL,HOME,WAS,W (+34),0,5:35,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-1.8,+4
2020-01-10,26-248,ORL,AWAY,PHO,L (-4),0,16:23,0,1,.000,0,0,,2,2,1.000,2,3,5,0,0,1,0,1,2,3.9,-3
2020-01-16,26-254,ORL,AWAY,LAC,L (-27),0,4:32,1,2,.500,0,0,,0,4,.000,0,1,1,0,0,0,0,0,2,-0.3,-6
2020-01-20,26-258,ORL,AWAY,CHO,W (+23),0,2:15,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-1
2020-01-26,26-264,ORL,HOME,LAC,L (-15),0,1:10,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,1.3,+1
2020-01-27,26-265,ORL,AWAY,MIA,L (-21),0,2:31,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+2
2020-02-05,26-274,ORL,AWAY,BOS,L (-16),0,0:46,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3
