DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2020-02-09,36-012,MIA,AWAY,POR,L (-6),0,22:45,1,2,.500,0,1,.000,0,0,,3,3,6,3,1,1,2,3,2,4.6,+10
2020-02-10,36-013,MIA,AWAY,GSW,W (+12),0,16:53,1,1,1.000,0,0,,0,0,,2,3,5,2,0,0,1,2,2,3.6,+25
2020-02-12,36-015,MIA,AWAY,UTA,L (-15),0,23:39,3,6,.500,3,6,.500,0,0,,0,5,5,2,0,0,1,2,9,7.1,-12
2020-02-20,36-023,MIA,AWAY,ATL,L (-5),0,23:26,3,7,.429,1,5,.200,1,3,.333,1,4,5,1,1,2,0,4,8,6.9,-33
2020-02-22,36-025,MIA,HOME,CLE,W (+19),0,18:29,1,3,.333,0,0,,0,1,.000,2,1,3,0,0,0,1,2,2,-0.2,-2
2020-02-24,36-027,MIA,AWAY,CLE,L (-6),0,16:51,1,5,.200,1,1,1.000,0,0,,0,3,3,4,0,4,2,2,3,3.6,-13
2020-02-26,36-029,MIA,HOME,MIN,L (-3),0,19:56,3,3,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,3,2,7,4.3,-13
2020-02-28,36-031,MIA,HOME,DAL,W (+8),0,16:05,2,4,.500,0,2,.000,0,0,,1,2,3,1,0,0,0,2,4,3.2,+13
2020-02-29,36-032,MIA,HOME,BRK,W (+3),0,11:49,1,3,.333,0,1,.000,0,0,,1,4,5,2,0,1,2,0,2,2.3,+8
2020-03-02,36-034,MIA,HOME,MIL,W (+16),0,12:40,1,2,.500,1,2,.500,0,0,,0,3,3,2,0,1,1,0,3,4.0,+2
2020-03-04,36-036,MIA,HOME,ORL,W (+3),0,15:52,2,4,.500,1,2,.500,0,0,,0,3,3,0,1,2,1,1,5,4.9,+7
2020-03-06,36-038,MIA,AWAY,NOP,L (-6),0,24:42,5,8,.625,0,2,.000,0,2,.000,0,7,7,3,3,2,0,3,10,13.0,+3
2020-03-08,36-040,MIA,AWAY,WAS,W (+11),0,19:16,0,2,.000,0,0,,1,2,.500,0,1,1,2,0,2,2,3,1,-0.9,-10
2020-03-11,36-043,MIA,HOME,CHO,L (-11),0,16:52,1,1,1.000,1,1,1.000,0,0,,0,3,3,5,1,1,1,2,3,7.0,-11
