DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,30-090,BOS,AWAY,PHI,L (-14),0,5:30,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,0
2019-10-25,30-092,BOS,HOME,TOR,W (+6),0,9:38,1,3,.333,0,1,.000,2,2,1.000,1,2,3,0,1,1,1,2,4,3.5,0
2019-10-26,30-093,BOS,AWAY,NYK,W (+23),0,3:38,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.7,-2
2019-10-30,30-097,BOS,HOME,MIL,W (+11),0,5:38,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-1.6,-3
2019-11-01,30-099,BOS,HOME,NYK,W (+2),0,15:18,2,2,1.000,0,0,,1,1,1.000,0,3,3,4,1,0,3,0,5,6.1,-3
2019-11-05,30-103,BOS,AWAY,CLE,W (+6),0,20:41,2,5,.400,0,1,.000,1,2,.500,0,1,1,3,1,0,1,3,5,3.1,0
2019-11-07,30-105,BOS,AWAY,CHO,W (+21),0,16:03,3,4,.750,1,1,1.000,2,2,1.000,0,3,3,3,2,0,0,2,9,11.6,+6
2019-11-09,30-107,BOS,AWAY,SAS,W (+20),0,16:41,3,5,.600,1,1,1.000,0,0,,0,1,1,2,2,0,1,1,7,7.0,+1
2019-11-11,30-109,BOS,HOME,DAL,W (+10),0,21:04,4,7,.571,0,2,.000,2,2,1.000,1,3,4,2,0,0,0,3,10,8.5,-7
2019-11-13,30-111,BOS,HOME,WAS,W (+7),0,16:41,2,3,.667,0,1,.000,6,6,1.000,0,2,2,5,0,0,4,1,10,8.4,+15
2019-11-15,30-113,BOS,AWAY,GSW,W (+5),0,18:25,2,4,.500,0,0,,5,6,.833,0,1,1,3,1,0,2,1,9,7.6,+8
2019-11-17,30-115,BOS,AWAY,SAC,L (-1),0,19:44,2,4,.500,0,0,,4,4,1.000,0,2,2,3,1,1,1,0,8,9.4,-2
2019-11-18,30-116,BOS,AWAY,PHO,W (+14),0,29:31,4,9,.444,2,4,.500,0,0,,0,1,1,6,3,0,1,2,10,11.0,0
2019-11-20,30-118,BOS,AWAY,LAC,L (-3),0,27:11,4,8,.500,2,4,.500,4,4,1.000,1,2,3,5,1,0,3,3,14,11.6,+6
2019-11-22,30-120,BOS,AWAY,DEN,L (-4),0,26:53,5,8,.625,0,2,.000,4,4,1.000,0,2,2,4,0,0,1,4,14,11.2,+18
2019-11-25,30-123,BOS,HOME,SAC,W (+1),0,21:18,0,8,.000,0,2,.000,3,4,.750,1,0,1,4,0,0,2,4,3,-3.1,-22
2019-11-27,30-125,BOS,HOME,BRK,W (+11),0,19:13,5,7,.714,2,2,1.000,1,1,1.000,2,1,3,1,0,1,1,1,13,11.8,+5
2019-11-29,30-127,BOS,AWAY,BRK,L (-5),0,18:19,4,7,.571,1,1,1.000,2,3,.667,2,6,8,3,0,1,0,2,11,12.5,+6
2019-12-01,30-129,BOS,AWAY,NYK,W (+9),0,18:27,3,5,.600,1,2,.500,4,4,1.000,1,1,2,3,1,0,1,1,11,11.4,+2
2019-12-04,30-132,BOS,HOME,MIA,W (+19),0,19:22,2,7,.286,1,3,.333,2,2,1.000,0,0,0,4,1,0,1,2,7,4.9,-3
2019-12-06,30-134,BOS,HOME,DEN,W (+13),0,19:23,2,5,.400,0,2,.000,1,2,.500,0,1,1,3,1,1,1,0,5,5.0,+10
2019-12-09,30-137,BOS,HOME,CLE,W (+22),0,22:08,1,6,.167,0,0,,1,2,.500,0,0,0,3,0,0,2,2,3,-1.9,-7
2019-12-11,30-139,BOS,AWAY,IND,L (-5),0,24:08,4,9,.444,1,1,1.000,3,4,.750,2,4,6,1,1,1,3,2,12,8.1,0
2019-12-12,30-140,BOS,HOME,PHI,L (-6),0,15:12,1,1,1.000,0,0,,0,0,,0,0,0,3,0,0,0,2,2,3.0,-1
2019-12-18,30-146,BOS,AWAY,DAL,W (+6),0,26:15,1,4,.250,1,2,.500,4,4,1.000,0,3,3,2,0,0,1,1,7,5.5,-1
2019-12-20,30-148,BOS,HOME,DET,W (+21),0,21:49,2,6,.333,0,1,.000,2,2,1.000,0,3,3,3,2,0,2,4,6,4.0,+7
2019-12-22,30-150,BOS,HOME,CHO,W (+26),0,27:06,0,1,.000,0,0,,0,0,,0,2,2,8,0,1,0,2,0,5.4,+20
2019-12-25,30-153,BOS,AWAY,TOR,W (+16),0,20:20,2,6,.333,0,2,.000,2,2,1.000,0,1,1,3,1,0,2,3,6,2.8,+8
2019-12-27,30-155,BOS,HOME,CLE,W (+12),0,19:52,2,5,.400,1,3,.333,3,3,1.000,0,2,2,2,0,0,0,2,8,6.5,+20
