DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-01,27-334,CLE,AWAY,IND,L (-7),0,6:03,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,1,0,-3.5,-10
2019-11-03,27-336,CLE,HOME,DAL,L (-20),0,19:52,3,8,.375,3,7,.429,1,2,.500,0,1,1,6,1,0,2,3,10,7.5,-6
2019-11-05,27-338,CLE,HOME,BOS,L (-6),0,12:12,2,4,.500,2,4,.500,0,0,,0,2,2,1,0,0,0,2,6,4.5,-3
2019-11-17,27-350,CLE,HOME,PHI,L (-19),0,20:02,2,7,.286,0,3,.000,0,0,,1,0,1,2,1,0,2,2,4,0.2,-6
2019-11-18,27-351,CLE,AWAY,NYK,L (-18),0,12:00,4,8,.500,4,8,.500,0,0,,0,3,3,2,0,0,0,0,12,10.3,+5
2019-11-22,27-355,CLE,AWAY,DAL,L (-42),0,6:15,0,2,.000,0,2,.000,1,2,.500,0,0,0,1,0,0,1,0,1,-1.1,-11
2019-12-03,28-001,CLE,HOME,DET,L (-33),0,2:29,0,1,.000,0,0,,0,0,,0,0,0,1,2,0,0,0,0,2.0,+2
2019-12-07,28-005,CLE,AWAY,PHI,L (-47),0,16:20,3,7,.429,1,5,.200,0,2,.000,0,1,1,2,0,0,0,1,7,3.8,-7
2019-12-14,28-012,CLE,AWAY,MIL,L (-17),0,7:10,1,3,.333,1,2,.500,1,2,.500,0,0,0,1,0,0,1,0,4,1.6,+3
2019-12-23,28-021,CLE,HOME,ATL,W (+3),0,11:09,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,1,1,0,3,0.3,+4
2020-01-05,28-034,CLE,HOME,MIN,L (-15),0,23:00,2,8,.250,1,6,.167,0,1,.000,1,3,4,3,1,0,2,2,5,1.7,+8
2020-01-07,28-036,CLE,HOME,DET,L (-2),0,24:10,5,9,.556,3,7,.429,0,0,,0,2,2,5,0,1,2,1,13,11.1,+7
2020-01-09,28-038,CLE,AWAY,DET,W (+3),0,24:06,2,7,.286,1,4,.250,0,0,,0,2,2,3,0,0,0,2,5,2.8,+6
2020-01-11,28-040,CLE,AWAY,DEN,W (+8),0,17:59,3,6,.500,2,4,.500,0,0,,1,1,2,2,0,0,2,3,8,4.2,-12
2020-01-13,28-042,CLE,AWAY,LAL,L (-29),0,12:18,0,3,.000,0,2,.000,1,4,.250,0,1,1,1,0,0,1,0,1,-2.3,-8
2020-01-14,28-043,CLE,AWAY,LAC,L (-25),0,26:15,0,6,.000,0,6,.000,0,0,,0,1,1,1,0,0,1,3,0,-5.4,-21
2020-02-10,28-070,DET,HOME,CHO,L (-11),0,12:44,1,4,.250,1,4,.250,0,0,,0,0,0,0,1,0,4,1,3,-2.8,-7
2020-02-20,28-080,DET,HOME,MIL,L (-20),0,12:21,0,3,.000,0,3,.000,0,0,,0,1,1,2,0,0,3,2,0,-4.2,-9
2020-02-23,28-083,DET,AWAY,POR,L (-3),0,20:20,4,8,.500,3,7,.429,4,4,1.000,0,2,2,3,0,0,0,2,15,12.9,+16
2020-02-25,28-085,DET,AWAY,DEN,L (-17),0,24:57,4,9,.444,4,9,.444,2,4,.500,0,2,2,6,1,0,3,3,14,10.1,-8
2020-02-28,28-088,DET,AWAY,PHO,W (+2),0,24:57,7,14,.500,5,11,.455,0,0,,0,2,2,4,1,0,2,1,19,14.0,+6
2020-03-01,28-090,DET,AWAY,SAC,L (-6),0,25:17,5,12,.417,5,10,.500,1,2,.500,0,3,3,7,0,0,4,3,16,9.8,-12
2020-03-04,28-093,DET,HOME,OKC,L (-7),1,38:10,6,15,.400,4,9,.444,2,2,1.000,0,2,2,7,2,0,2,1,18,15.0,-6
2020-03-07,28-096,DET,HOME,UTA,L (-6),1,28:48,3,9,.333,3,8,.375,4,4,1.000,0,4,4,3,0,1,1,3,13,9.7,+5
2020-03-11,28-100,DET,AWAY,PHI,L (-18),1,33:36,1,7,.143,1,6,.167,3,5,.600,1,4,5,6,0,0,3,4,6,2.2,-6
