DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,22-188,SAC,AWAY,PHO,L (-29),0,1:59,0,0,,0,0,,1,2,.500,1,1,2,0,0,1,1,1,1,0.9,+1
2019-10-25,22-190,SAC,HOME,POR,L (-10),0,2:34,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+6
2019-10-26,22-191,SAC,AWAY,UTA,L (-32),0,4:42,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.2,-2
2019-11-03,22-199,SAC,AWAY,NYK,W (+21),0,1:56,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,1,2,-0.7,-1
2019-12-15,22-241,SAC,AWAY,GSW,W (+21),0,1:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,+1
2020-01-06,22-263,SAC,HOME,GSW,W (+13),0,6:59,1,2,.500,0,0,,0,0,,1,1,2,1,0,0,1,3,2,0.5,-13
2020-01-10,22-267,SAC,HOME,MIL,L (-21),0,2:40,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-1.1,-5
2020-01-23,22-280,POR,HOME,DAL,L (-8),0,23:22,1,2,.500,0,0,,0,2,.000,1,4,5,2,0,1,1,4,2,1.6,-18
2020-01-26,22-283,POR,HOME,IND,W (+10),0,12:05,2,4,.500,0,0,,0,0,,4,4,8,1,0,0,3,2,4,2.9,-5
2020-01-29,22-286,POR,HOME,HOU,W (+13),0,7:13,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,1,2,0.6,-6
2020-01-31,22-288,POR,AWAY,LAL,W (+8),0,13:53,2,2,1.000,0,0,,1,1,1.000,0,6,6,1,0,0,3,4,5,2.3,+2
2020-02-01,22-289,POR,HOME,UTA,W (+17),0,12:58,0,0,,0,0,,0,0,,3,3,6,0,0,1,2,2,0,0.9,-5
2020-02-04,22-292,POR,AWAY,DEN,L (-28),0,21:09,3,6,.500,0,0,,1,2,.500,3,7,10,2,0,0,1,2,7,7.4,-8
2020-02-06,22-294,POR,HOME,SAS,W (+8),0,11:45,3,4,.750,0,0,,0,0,,0,4,4,1,0,0,0,2,6,5.5,+6
2020-02-07,22-295,POR,AWAY,UTA,L (-3),1,28:15,2,6,.333,0,1,.000,0,1,.000,2,9,11,2,0,1,1,4,4,3.8,+1
2020-02-09,22-297,POR,HOME,MIA,W (+6),0,10:28,0,0,,0,0,,0,0,,0,2,2,1,0,0,1,4,0,-1.3,-5
2020-02-11,22-299,POR,AWAY,NOP,L (-21),0,22:30,1,4,.250,0,1,.000,1,2,.500,4,1,5,1,0,0,3,3,3,-0.2,-8
2020-02-12,22-300,POR,AWAY,MEM,L (-7),0,12:29,1,2,.500,0,0,,0,0,,2,1,3,2,1,1,1,4,2,3.2,-7
2020-02-21,22-309,POR,HOME,NOP,L (-13),0,8:57,2,2,1.000,0,0,,1,2,.500,1,4,5,0,0,0,1,2,5,4.1,+7
2020-02-25,22-313,POR,HOME,BOS,L (-12),0,10:16,2,2,1.000,0,0,,4,5,.800,1,2,3,1,0,0,1,3,8,6.8,+3
2020-02-27,22-315,POR,AWAY,IND,L (-6),0,12:59,3,4,.750,0,0,,0,0,,3,2,5,1,0,0,1,2,6,6.0,-3
2020-02-29,22-317,POR,AWAY,ATL,L (-12),0,10:07,1,1,1.000,0,0,,0,0,,0,2,2,1,1,0,2,3,2,0.8,+1
2020-03-02,22-319,POR,AWAY,ORL,W (+23),0,15:29,2,2,1.000,0,0,,0,0,,0,5,5,4,0,1,3,4,4,3.8,+16
2020-03-04,22-321,POR,HOME,WAS,W (+21),0,10:31,0,0,,0,0,,0,0,,0,4,4,2,0,0,3,6,0,-2.8,-8
2020-03-06,22-323,POR,AWAY,PHO,L (-10),0,3:56,0,0,,0,0,,0,0,,0,1,1,3,0,0,2,1,0,0.0,-5
2020-03-07,22-324,POR,HOME,SAC,L (-12),0,5:46,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,0,0,2.0,+12
2020-03-10,22-327,POR,HOME,PHO,W (+16),0,11:11,0,0,,0,0,,0,0,,1,4,5,1,0,0,1,1,0,1.2,-1
