DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-05,23-193,CHI,HOME,LAL,L (-6),0,14:49,2,2,1.000,1,1,1.000,0,3,.000,0,3,3,0,0,0,1,1,5,2.7,+6
2019-11-06,23-194,CHI,AWAY,ATL,W (+20),0,18:40,2,6,.333,0,1,.000,5,7,.714,1,3,4,1,0,0,1,4,9,4.5,+12
2019-11-09,23-197,CHI,HOME,HOU,L (-23),1,23:13,6,10,.600,1,2,.500,0,0,,0,4,4,0,2,2,1,4,13,10.4,-14
2019-11-12,23-200,CHI,HOME,NYK,W (+18),1,20:57,2,4,.500,1,1,1.000,2,4,.500,0,3,3,1,0,0,2,2,7,3.0,-9
2019-11-14,23-202,CHI,AWAY,MIL,L (-9),1,21:11,2,6,.333,0,1,.000,2,2,1.000,0,7,7,3,1,0,0,0,6,7.8,-7
2019-11-16,23-204,CHI,HOME,BRK,L (-6),1,23:28,2,6,.333,0,2,.000,7,8,.875,0,4,4,1,0,0,2,1,11,6.7,-2
2019-11-18,23-206,CHI,HOME,MIL,L (-14),1,21:17,2,8,.250,1,3,.333,2,2,1.000,0,5,5,2,1,0,3,0,7,3.1,-10
2019-11-25,23-213,CHI,HOME,POR,L (-23),0,7:49,2,2,1.000,1,1,1.000,1,3,.333,0,3,3,0,1,0,2,0,6,4.5,+3
2019-11-27,23-215,CHI,AWAY,GSW,L (-14),1,2:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
2020-01-06,23-255,CHI,AWAY,DAL,L (-8),0,5:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
2020-01-08,23-257,CHI,AWAY,NOP,L (-15),0,13:16,0,4,.000,0,0,,3,6,.500,0,4,4,0,1,0,0,2,3,0.4,-15
2020-01-10,23-259,CHI,HOME,IND,L (-11),0,10:45,1,3,.333,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,1.6,-1
2020-01-11,23-260,CHI,AWAY,DET,W (+9),0,10:12,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,1,2,3,5,1.5,-5
2020-01-13,23-262,CHI,AWAY,BOS,L (-12),0,14:24,1,5,.200,0,0,,0,0,,1,2,3,0,1,2,1,2,2,0.8,-6
2020-01-15,23-264,CHI,HOME,WAS,W (+9),0,12:12,5,7,.714,0,0,,1,2,.500,0,0,0,0,2,0,0,1,11,9.3,-4
2020-01-17,23-266,CHI,AWAY,PHI,L (-11),0,20:16,3,7,.429,1,2,.500,0,2,.000,1,3,4,0,2,0,1,0,7,5.1,-2
2020-01-18,23-267,CHI,HOME,CLE,W (+2),0,22:17,1,2,.500,0,0,,2,2,1.000,0,3,3,1,4,0,0,2,4,7.8,+12
2020-01-20,23-269,CHI,AWAY,MIL,L (-13),0,19:16,3,5,.600,1,1,1.000,1,2,.500,1,4,5,2,0,0,3,4,8,4.0,-8
2020-01-22,23-271,CHI,HOME,MIN,W (+7),0,20:30,3,6,.500,0,1,.000,3,4,.750,0,8,8,1,3,0,0,3,9,10.5,+7
2020-01-24,23-273,CHI,HOME,SAC,L (-17),0,19:52,5,6,.833,0,1,.000,1,1,1.000,1,2,3,3,1,0,1,1,11,11.8,-10
2020-01-25,23-274,CHI,AWAY,CLE,W (+12),0,15:23,2,7,.286,1,3,.333,3,4,.750,1,2,3,0,1,0,0,2,8,5.0,-16
2020-01-27,23-276,CHI,HOME,SAS,W (+1),0,20:42,4,7,.571,0,2,.000,0,1,.000,2,1,3,1,0,0,0,1,8,6.3,+1
2020-01-29,23-278,CHI,AWAY,IND,L (-9),0,27:37,10,14,.714,0,3,.000,1,2,.500,0,3,3,2,1,1,1,0,21,17.8,-8
2020-01-31,23-280,CHI,AWAY,BRK,L (-15),0,21:47,3,7,.429,0,0,,2,2,1.000,2,7,9,0,2,0,1,3,8,7.6,-18
2020-02-02,23-282,CHI,AWAY,TOR,L (-27),1,27:36,5,13,.385,1,4,.250,6,9,.667,4,1,5,1,1,0,2,4,17,9.9,-28
2020-02-06,23-286,CHI,HOME,NOP,L (-6),1,31:37,6,14,.429,0,2,.000,4,8,.500,2,6,8,1,2,0,3,1,16,9.5,-4
2020-02-09,23-289,CHI,AWAY,PHI,L (-7),1,31:09,2,9,.222,1,2,.500,0,2,.000,2,5,7,4,1,0,0,3,5,4.2,-6
2020-02-11,23-291,CHI,AWAY,WAS,L (-12),1,28:32,4,12,.333,1,3,.333,0,2,.000,0,4,4,1,0,1,0,3,9,2.8,-15
