DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,23-040,PHO,HOME,SAC,W (+29),0,1:59,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,1.2,-1
2019-10-25,23-042,PHO,AWAY,DEN,L (-1),0,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,+3
2019-10-30,23-047,PHO,AWAY,GSW,W (+11),0,2:08,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,4,2.4,-7
2019-11-07,23-055,PHO,HOME,MIA,L (-16),0,1:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2019-11-10,23-058,PHO,HOME,BRK,W (+26),0,3:36,1,1,1.000,0,0,,1,2,.500,0,1,1,1,0,0,0,1,3,2.9,-1
2019-11-14,23-062,PHO,HOME,ATL,W (+16),0,2:49,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0
2019-11-18,23-066,PHO,HOME,BOS,L (-14),0,5:20,2,2,1.000,0,0,,0,0,,0,5,5,0,0,0,0,0,4,4.9,+7
2019-11-19,23-067,PHO,AWAY,SAC,L (-4),0,15:10,1,4,.250,0,0,,0,0,,1,3,4,0,0,2,0,2,2,1.8,+4
2019-11-21,23-069,PHO,HOME,NOP,L (-3),0,13:38,4,5,.800,0,0,,0,0,,1,2,3,1,0,1,1,0,8,7.8,+2
2019-11-23,23-071,PHO,AWAY,MIN,W (+2),0,12:49,3,3,1.000,0,0,,0,0,,1,4,5,2,0,0,0,4,6,6.8,+9
2019-11-24,23-072,PHO,AWAY,DEN,L (-12),0,35:51,10,12,.833,0,0,,2,2,1.000,4,2,6,1,0,1,2,3,22,19.2,-8
2019-11-27,23-075,PHO,HOME,WAS,L (-8),0,23:19,7,8,.875,0,0,,3,3,1.000,2,8,10,1,0,0,1,0,17,17.7,+5
2019-11-29,23-077,PHO,HOME,DAL,L (-7),0,3:33,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0,0.6,-1
2019-12-04,23-082,PHO,AWAY,ORL,L (-14),0,19:20,6,8,.750,1,1,1.000,3,4,.750,1,3,4,0,2,0,1,0,16,15.0,-10
2019-12-05,23-083,PHO,AWAY,NOP,W (+7),0,11:23,2,2,1.000,0,0,,4,4,1.000,0,4,4,1,0,0,0,4,8,7.7,-1
2019-12-07,23-085,PHO,AWAY,HOU,L (-6),0,14:31,1,7,.143,0,0,,0,0,,3,4,7,1,0,0,1,3,2,-0.7,0
2019-12-09,23-087,PHO,HOME,MIN,W (+16),0,4:22,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0.6,-4
2019-12-17,23-095,PHO,AWAY,LAC,L (-21),0,5:39,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0,+1
2019-12-20,23-098,PHO,AWAY,OKC,L (-18),0,8:09,3,4,.750,0,0,,2,2,1.000,0,2,2,1,0,0,3,1,8,4.3,+1
2019-12-21,23-099,PHO,HOME,HOU,L (-14),0,2:35,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1,+2
2019-12-28,23-106,PHO,AWAY,SAC,W (+2),0,11:34,0,0,,0,0,,0,0,,0,5,5,1,0,0,0,1,0,1.8,-1
2020-01-01,23-110,PHO,AWAY,LAL,L (-10),0,4:52,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,1,2,3.0,-6
2020-01-03,23-112,PHO,HOME,NYK,W (+8),0,8:04,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-1.1,+2
2020-01-14,23-123,PHO,AWAY,ATL,L (-13),0,0:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-16,23-125,PHO,AWAY,NYK,W (+23),0,15:24,1,2,.500,0,0,,0,0,,0,1,1,1,3,0,1,0,2,4.0,-1
2020-01-18,23-127,PHO,AWAY,BOS,W (+4),0,3:27,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-1
2020-01-20,23-129,PHO,HOME,SAS,L (-2),0,9:25,3,4,.750,0,0,,0,0,,2,2,4,1,0,0,1,1,6,5.7,+3
2020-01-22,23-131,PHO,HOME,IND,L (-25),0,12:56,1,3,.333,0,1,.000,3,4,.750,0,3,3,0,0,0,0,2,5,3.0,-11
2020-01-26,23-135,PHO,AWAY,MEM,L (-5),0,8:13,0,1,.000,0,0,,0,0,,0,1,1,0,1,1,0,3,0,0.1,+6
2020-01-28,23-137,PHO,AWAY,DAL,W (+29),0,4:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-8
2020-01-31,23-140,PHO,HOME,OKC,L (-4),0,7:24,1,1,1.000,0,0,,2,2,1.000,2,1,3,1,0,0,1,3,4,3.9,+7
2020-02-02,23-142,PHO,AWAY,MIL,L (-21),0,25:55,5,9,.556,0,0,,1,2,.500,1,6,7,1,0,0,0,3,11,8.3,-12
2020-02-03,23-143,PHO,AWAY,BRK,L (-22),0,13:43,3,5,.600,0,0,,0,0,,1,1,2,1,1,2,2,1,6,5.4,-16
2020-02-05,23-145,PHO,AWAY,DET,L (-8),0,13:14,3,5,.600,0,0,,1,1,1.000,1,6,7,0,0,0,1,2,7,5.4,-4
2020-02-07,23-147,PHO,HOME,HOU,W (+36),0,24:20,5,5,1.000,0,0,,4,4,1.000,1,7,8,0,0,3,5,3,14,11.2,+20
2020-02-08,23-148,PHO,HOME,DEN,L (-9),0,4:54,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,4,0,-2.0,-9
2020-02-10,23-150,PHO,AWAY,LAL,L (-25),1,39:00,7,9,.778,0,0,,1,1,1.000,0,4,4,3,0,1,2,4,15,11.9,-17
2020-02-12,23-152,PHO,HOME,GSW,W (+6),1,21:34,5,6,.833,0,0,,0,0,,1,7,8,0,2,0,0,2,10,11.8,-13
2020-02-21,23-161,PHO,AWAY,TOR,L (-17),0,1:28,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
2020-02-24,23-164,PHO,AWAY,UTA,W (+20),0,2:08,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,1,2,0.3,-2
2020-02-29,23-169,PHO,HOME,GSW,L (-16),0,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
2020-03-06,23-175,PHO,HOME,POR,W (+10),0,14:31,1,4,.250,0,0,,0,0,,1,4,5,1,0,0,1,0,2,1.2,0
2020-03-08,23-177,PHO,HOME,MIL,W (+9),0,14:03,2,4,.500,0,0,,2,2,1.000,0,3,3,1,0,0,2,1,6,3.2,+7
2020-03-10,23-179,PHO,AWAY,POR,L (-16),0,13:32,4,5,.800,0,0,,0,0,,2,3,5,0,0,1,0,1,8,8.7,+1
