DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-01,22-224,SAS,AWAY,GSW,W (+17),0,3:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-8
2019-11-07,22-230,SAS,HOME,OKC,W (+9),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2019-11-09,22-232,SAS,HOME,BOS,L (-20),0,9:02,3,7,.429,0,0,,1,2,.500,6,2,8,2,0,2,0,0,7,10.5,+1
2019-11-13,22-236,SAS,AWAY,MIN,L (-15),0,4:08,3,3,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,6,6.1,+3
2019-11-22,22-245,SAS,AWAY,PHI,L (-11),0,2:19,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0
2019-11-25,22-248,SAS,HOME,LAL,L (-10),0,1:10,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,0.9,+2
2019-12-19,22-272,SAS,HOME,BRK,W (+13),0,0:47,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,+2
2019-12-21,22-274,SAS,HOME,LAC,L (-25),0,8:15,1,5,.200,0,0,,0,0,,0,1,1,0,0,1,1,1,2,-1.5,-1
2019-12-23,22-276,SAS,AWAY,MEM,W (+30),0,3:31,2,2,1.000,0,0,,0,0,,0,2,2,0,1,0,0,0,4,5.0,+6
2020-01-04,22-288,SAS,AWAY,MIL,L (-9),0,4:21,1,1,1.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,4,4.4,+9
2020-01-06,22-290,SAS,HOME,MIL,W (+22),0,2:18,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+5
2020-01-27,22-311,SAS,AWAY,CHI,L (-1),0,11:15,2,5,.400,0,0,,0,0,,1,2,3,0,0,1,1,0,4,2.3,-5
2020-01-29,22-313,SAS,HOME,UTA,W (+7),0,6:00,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.9,+2
2020-02-01,22-316,SAS,HOME,CHO,W (+24),0,1:57,0,0,,0,0,,2,2,1.000,0,0,0,2,0,0,0,0,2,3.4,+5
2020-02-04,22-319,SAS,AWAY,LAL,L (-27),0,4:20,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-7
2020-02-23,22-338,SAS,AWAY,OKC,L (-28),0,8:25,4,6,.667,0,1,.000,0,0,,1,2,3,1,0,0,2,1,8,5.0,0
