DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-18,24-128,UTA,HOME,MIN,L (-10),0,14:01,1,4,.250,0,0,,0,0,,0,0,0,0,1,1,0,1,2,0.9,+1
2019-11-20,24-130,UTA,AWAY,MIN,W (+8),0,7:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-16
2019-11-22,24-132,UTA,HOME,GSW,W (+4),0,6:29,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+3
2019-11-23,24-133,UTA,HOME,NOP,W (+8),0,5:02,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,1,1,0,-0.4,+7
2019-11-27,24-137,UTA,AWAY,IND,L (-19),0,2:58,0,0,,0,0,,0,0,,0,2,2,2,0,0,1,0,0,1.0,-1
2019-11-29,24-139,UTA,AWAY,MEM,W (+9),0,4:23,2,3,.667,1,2,.500,0,0,,1,1,2,0,0,0,0,0,5,4.7,-3
2019-12-01,24-141,UTA,AWAY,TOR,L (-20),0,11:28,3,4,.750,1,1,1.000,2,2,1.000,1,1,2,0,0,0,3,1,9,5.0,+5
2019-12-02,24-142,UTA,AWAY,PHI,L (-9),0,6:40,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,1,0,0.0,-8
2019-12-04,24-144,UTA,HOME,LAL,L (-25),0,12:50,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,2,1,2,-1.8,-4
2019-12-07,24-147,UTA,HOME,MEM,W (+14),0,3:53,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-9
2019-12-09,24-149,UTA,HOME,OKC,L (-14),0,7:41,2,4,.500,0,1,.000,0,0,,0,3,3,2,0,0,1,0,4,3.3,+9
2019-12-27,24-167,CLE,AWAY,BOS,L (-12),0,14:58,3,3,1.000,1,1,1.000,2,4,.500,0,0,0,1,2,0,1,1,9,8.6,-11
2019-12-28,24-168,CLE,AWAY,MIN,W (+6),0,16:28,3,7,.429,0,1,.000,2,2,1.000,0,2,2,0,2,0,2,0,8,4.9,-3
2019-12-31,24-171,CLE,AWAY,TOR,L (-20),0,14:57,1,4,.250,0,2,.000,3,5,.600,0,1,1,1,0,0,1,1,5,1.4,-9
2020-01-02,24-173,CLE,HOME,CHO,L (-3),0,12:07,2,5,.400,1,2,.500,2,2,1.000,0,5,5,2,0,0,0,1,7,6.8,+14
2020-01-04,24-175,CLE,HOME,OKC,L (-15),0,16:57,2,3,.667,1,2,.500,0,0,,0,1,1,2,0,0,1,2,5,3.6,-4
2020-01-05,24-176,CLE,HOME,MIN,L (-15),0,24:10,11,13,.846,4,4,1.000,2,2,1.000,0,3,3,2,1,0,3,1,28,23.2,+7
2020-01-13,24-184,CLE,AWAY,LAL,L (-29),0,19:54,0,2,.000,0,1,.000,1,2,.500,0,3,3,3,0,0,0,1,1,1.8,-14
2020-01-14,24-185,CLE,AWAY,LAC,L (-25),0,20:15,1,5,.200,0,2,.000,0,0,,0,3,3,2,0,0,1,2,2,-0.6,-6
2020-01-17,24-188,CLE,AWAY,MEM,L (-4),0,16:05,2,5,.400,1,3,.333,0,0,,0,2,2,0,0,0,1,1,5,1.5,0
2020-01-18,24-189,CLE,AWAY,CHI,L (-2),0,15:19,0,2,.000,0,1,.000,2,4,.500,0,0,0,1,0,1,1,2,2,-0.6,-7
2020-01-20,24-191,CLE,HOME,NYK,L (-20),0,24:57,1,2,.500,0,1,.000,1,2,.500,0,1,1,1,0,1,0,1,3,2.9,-9
2020-01-23,24-194,CLE,HOME,WAS,L (-12),0,14:37,1,3,.333,0,2,.000,0,0,,1,3,4,0,1,0,0,0,2,2.9,-28
2020-01-25,24-196,CLE,HOME,CHI,L (-12),0,22:11,1,3,.333,0,0,,2,2,1.000,2,1,3,5,0,0,1,2,4,5.7,-2
2020-01-27,24-198,CLE,AWAY,DET,W (+15),0,16:03,1,3,.333,0,0,,2,2,1.000,1,3,4,2,2,1,1,2,4,6.2,-1
2020-01-28,24-199,CLE,HOME,NOP,L (-14),1,18:09,1,3,.333,0,0,,2,2,1.000,0,1,1,0,0,0,1,1,4,1.2,-8
2020-01-30,24-201,CLE,HOME,TOR,L (-6),0,6:42,3,6,.500,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,7,4.0,+2
2020-02-01,24-203,CLE,HOME,GSW,L (-19),0,15:10,2,6,.333,0,4,.000,2,2,1.000,1,2,3,1,0,0,0,1,6,4.2,-7
2020-02-03,24-205,CLE,HOME,NYK,L (-5),0,15:44,2,4,.500,0,0,,0,2,.000,1,2,3,2,1,0,0,0,4,4.9,-9
2020-02-05,24-207,CLE,AWAY,OKC,L (-6),0,14:52,0,1,.000,0,1,.000,0,0,,0,2,2,2,1,0,4,3,0,-2.9,-7
2020-02-09,24-211,CLE,HOME,LAC,L (-41),0,8:26,0,1,.000,0,0,,0,0,,0,0,0,2,1,0,0,1,0,1.3,-4
2020-02-12,24-214,CLE,HOME,ATL,W (+22),0,18:44,2,4,.500,1,2,.500,0,0,,0,4,4,3,1,0,1,3,5,5.1,+14
2020-02-21,24-223,CLE,AWAY,WAS,W (+5),0,23:47,4,4,1.000,1,1,1.000,1,1,1.000,1,0,1,0,0,0,0,2,10,8.7,-6
2020-02-22,24-224,CLE,AWAY,MIA,L (-19),0,25:19,3,6,.500,3,5,.600,5,6,.833,2,6,8,1,0,1,2,1,14,12.8,+2
2020-02-24,24-226,CLE,HOME,MIA,W (+6),0,6:26,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,2,0,1,0,0.6,+3
