DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,21-332,NYK,AWAY,SAS,L (-9),0,10:20,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,0,3,2,-0.9,-3
2019-10-25,21-334,NYK,AWAY,BRK,L (-4),0,4:31,0,4,.000,0,1,.000,1,2,.500,0,0,0,1,0,1,0,0,1,-0.8,-8
2019-10-26,21-335,NYK,HOME,BOS,L (-23),0,11:21,0,3,.000,0,1,.000,0,0,,0,1,1,1,1,0,2,3,0,-3.3,-15
2019-11-12,21-352,NYK,AWAY,CHI,L (-18),0,14:17,0,3,.000,0,1,.000,0,0,,0,0,0,2,2,0,3,4,0,-3.3,-22
2019-11-14,21-354,NYK,HOME,DAL,W (+3),0,29:59,5,12,.417,2,4,.500,1,2,.500,4,2,6,8,0,0,2,2,13,12.4,-1
2019-11-16,21-356,NYK,HOME,CHO,L (-1),0,10:28,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,5,2,-2.7,-7
2019-11-18,21-358,NYK,HOME,CLE,W (+18),0,18:54,3,6,.500,0,0,,2,2,1.000,0,2,2,1,0,0,1,1,8,4.9,-4
2019-11-20,21-360,NYK,AWAY,PHI,L (-5),0,15:06,5,9,.556,2,3,.667,1,1,1.000,0,0,0,2,0,0,2,1,13,7.7,-7
2019-11-23,21-363,NYK,HOME,SAS,L (-7),0,15:04,3,7,.429,1,2,.500,0,1,.000,1,0,1,4,0,0,1,2,7,4.6,+7
2019-11-24,21-364,NYK,HOME,BRK,L (-2),0,20:22,4,11,.364,2,4,.500,0,0,,0,2,2,5,1,0,1,2,10,7.2,-2
2019-11-27,22-002,NYK,AWAY,TOR,L (-28),0,21:33,1,7,.143,0,4,.000,0,0,,4,2,6,4,2,0,3,3,2,1.5,-6
2019-11-29,22-004,NYK,HOME,PHI,L (-6),0,14:04,1,1,1.000,0,0,,1,3,.333,1,2,3,2,0,0,3,2,3,0.8,-12
2019-12-01,22-006,NYK,HOME,BOS,L (-9),0,38:22,6,11,.545,2,3,.667,3,6,.500,0,1,1,7,0,2,2,3,17,13.9,-5
2019-12-02,22-007,NYK,AWAY,MIL,L (-44),1,25:39,1,7,.143,0,3,.000,2,2,1.000,0,1,1,3,0,1,1,1,4,1.2,-28
2019-12-05,22-010,NYK,HOME,DEN,L (-37),0,17:43,1,7,.143,0,2,.000,2,4,.500,0,3,3,4,0,1,2,2,4,0.3,-7
2019-12-07,22-012,NYK,HOME,IND,L (-1),0,11:39,0,5,.000,0,1,.000,1,2,.500,1,2,3,1,1,0,2,2,1,-2.7,-10
2019-12-10,22-015,NYK,AWAY,POR,L (-28),0,13:36,2,7,.286,1,2,.500,0,2,.000,1,3,4,0,0,0,0,1,5,1.3,-8
2019-12-17,22-022,NYK,HOME,ATL,W (+23),0,12:47,3,5,.600,1,2,.500,1,2,.500,0,5,5,5,1,1,3,1,8,8.6,+16
2019-12-20,22-025,NYK,AWAY,MIA,L (-15),0,14:33,3,7,.429,1,3,.333,0,1,.000,0,0,0,5,1,0,0,3,7,6.2,+10
2019-12-21,22-026,NYK,HOME,MIL,L (-21),0,11:17,1,6,.167,0,3,.000,0,0,,1,4,5,1,1,1,1,3,2,0.3,+1
2019-12-23,22-028,NYK,HOME,WAS,L (-6),0,6:57,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-13
2020-01-22,22-058,NYK,HOME,LAL,L (-8),0,3:36,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2.1,-9
2020-01-28,22-064,NYK,AWAY,CHO,L (-5),0,14:33,3,6,.500,0,0,,1,2,.500,2,1,3,2,0,0,2,1,7,4.3,-2
2020-01-29,22-065,NYK,HOME,MEM,L (-21),0,13:07,3,6,.500,1,2,.500,1,2,.500,0,2,2,4,2,0,4,2,8,5.2,-2
2020-02-01,22-068,NYK,AWAY,IND,W (+7),1,27:02,2,9,.222,0,2,.000,2,4,.500,2,1,3,6,0,0,2,2,6,2.8,-3
2020-02-03,22-070,NYK,AWAY,CLE,W (+5),0,20:01,6,11,.545,1,1,1.000,2,6,.333,0,3,3,6,4,0,2,2,15,14.4,+1
2020-02-06,22-073,NYK,HOME,ORL,W (+2),0,15:13,0,4,.000,0,2,.000,1,2,.500,0,5,5,6,2,1,4,2,1,1.4,-6
2020-02-08,22-075,NYK,AWAY,DET,W (+3),0,18:19,2,6,.333,0,0,,0,0,,1,3,4,1,0,0,2,1,4,0.5,0
2020-02-09,22-076,NYK,AWAY,ATL,L (-5),0,7:49,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,0,0,2,2.7,-7
2020-02-12,22-079,NYK,HOME,WAS,L (-18),0,6:19,2,4,.500,0,0,,0,0,,1,3,4,0,1,0,4,2,4,-0.2,-2
