DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,27-293,IND,HOME,DET,L (-9),0,11:00,2,4,.500,2,3,.667,0,0,,0,0,0,1,0,0,1,0,6,3.7,-4
2019-10-26,27-296,IND,AWAY,CLE,L (-11),0,12:17,1,5,.200,1,3,.333,0,0,,0,2,2,0,0,1,1,1,3,-0.2,+4
2019-10-28,27-298,IND,AWAY,DET,L (-2),0,13:53,0,2,.000,0,1,.000,0,0,,0,0,0,3,0,0,1,2,0,-1.1,0
2019-10-30,27-300,IND,AWAY,BRK,W (+10),0,32:07,2,4,.500,2,3,.667,0,0,,0,4,4,0,0,0,0,4,6,3.6,+1
2019-11-01,27-302,IND,HOME,CLE,W (+7),0,19:24,4,12,.333,0,4,.000,0,0,,0,2,2,1,1,0,1,3,8,1.3,+12
2019-11-03,27-304,IND,HOME,CHI,W (+13),0,16:53,2,7,.286,1,4,.250,2,3,.667,1,2,3,3,0,0,2,4,7,2.3,+5
2019-11-05,27-306,IND,AWAY,CHO,L (-2),0,19:05,3,7,.429,2,4,.500,0,0,,0,2,2,1,0,0,2,3,8,2.4,-18
2019-11-06,27-307,IND,HOME,WAS,W (+15),0,30:31,6,10,.600,4,6,.667,3,3,1.000,2,5,7,4,1,0,1,3,19,18.9,-1
2019-11-08,27-309,IND,HOME,DET,W (+6),0,19:23,6,11,.545,2,3,.667,0,0,,0,0,0,1,0,0,1,1,14,8.0,-3
2019-11-10,27-311,IND,AWAY,ORL,W (+7),0,25:47,7,13,.538,3,7,.429,1,1,1.000,2,4,6,1,0,0,0,1,18,14.6,+9
2019-11-12,27-313,IND,HOME,OKC,W (+26),0,26:25,4,11,.364,1,6,.167,0,0,,0,3,3,1,0,0,2,0,9,2.5,+8
2019-11-15,27-316,IND,AWAY,HOU,L (-9),0,32:07,7,15,.467,3,6,.500,1,1,1.000,0,5,5,0,0,0,2,2,18,9.0,+1
2019-11-16,27-317,IND,HOME,MIL,L (-19),0,19:57,1,6,.167,1,2,.500,0,0,,0,2,2,1,0,1,1,2,3,-0.6,-20
2019-11-18,27-319,IND,AWAY,BRK,W (+29),0,26:51,2,7,.286,2,4,.500,1,2,.500,1,6,7,1,0,0,0,2,7,4.9,+35
2019-11-23,27-324,IND,HOME,ORL,W (+5),0,22:13,5,8,.625,3,5,.600,0,0,,0,1,1,2,0,0,0,0,13,11.1,+20
2019-11-25,27-326,IND,HOME,MEM,W (+12),0,17:19,3,5,.600,1,1,1.000,0,0,,1,3,4,0,0,0,1,1,7,4.9,+1
2019-11-27,27-328,IND,HOME,UTA,W (+19),0,16:04,2,4,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,2,4,1.8,+9
2019-11-29,27-330,IND,HOME,ATL,W (+1),0,14:32,3,8,.375,2,7,.286,0,0,,0,0,0,0,0,0,1,2,8,1.8,-19
2019-11-30,27-331,IND,AWAY,PHI,L (-3),0,18:42,3,4,.750,2,3,.667,0,0,,1,0,1,0,0,0,0,2,8,6.3,-2
2019-12-02,27-333,IND,AWAY,MEM,W (+13),0,20:01,1,4,.250,0,2,.000,2,2,1.000,0,3,3,1,0,0,0,2,4,2.4,+1
2019-12-04,27-335,IND,AWAY,OKC,W (+7),0,18:06,5,9,.556,2,3,.667,2,2,1.000,1,1,2,0,0,0,0,1,14,10.3,+4
2019-12-06,27-337,IND,AWAY,DET,L (-7),0,15:56,4,7,.571,2,4,.500,0,0,,0,2,2,4,1,0,0,1,10,10.7,-3
2019-12-07,27-338,IND,AWAY,NYK,W (+1),0,19:47,6,11,.545,3,4,.750,1,1,1.000,0,2,2,3,0,1,2,4,16,10.5,+3
2019-12-09,27-340,IND,HOME,LAC,L (-11),0,29:32,6,9,.667,5,8,.625,0,0,,1,5,6,0,0,0,1,4,17,12.7,-8
2019-12-11,27-342,IND,HOME,BOS,W (+5),0,18:21,3,11,.273,0,2,.000,2,4,.500,2,3,5,0,0,0,0,3,8,1.8,+12
2019-12-13,27-344,IND,AWAY,ATL,W (+10),0,28:38,6,7,.857,3,3,1.000,1,1,1.000,0,2,2,2,0,0,0,1,16,15.1,+13
2019-12-15,27-346,IND,HOME,CHO,W (+22),0,21:47,2,4,.500,2,4,.500,0,0,,1,4,5,1,0,0,1,3,6,4.4,+11
