DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,24-054,CHO,HOME,CHI,W (+1),1,33:06,8,21,.381,2,8,.250,4,6,.667,1,4,5,3,2,0,2,2,22,12.9,-3
2019-10-25,24-056,CHO,HOME,MIN,L (-22),1,20:54,4,11,.364,0,1,.000,0,3,.000,0,4,4,2,0,0,1,3,8,1.1,-4
2019-10-27,24-058,CHO,AWAY,LAL,L (-19),1,36:40,6,15,.400,1,5,.200,2,2,1.000,2,4,6,2,0,0,1,5,15,7.9,-11
2019-10-28,24-059,CHO,AWAY,LAC,L (-15),1,22:16,1,6,.167,1,2,.500,2,2,1.000,0,4,4,1,0,0,2,3,5,-0.1,-22
2019-10-30,24-061,CHO,AWAY,SAC,W (+7),1,24:49,1,8,.125,1,4,.250,0,0,,0,2,2,2,2,0,3,2,3,-2.0,+7
2019-11-02,24-064,CHO,AWAY,GSW,W (+6),1,37:21,10,21,.476,0,2,.000,5,5,1.000,3,3,6,2,2,0,0,1,25,20.3,+15
2019-11-05,24-067,CHO,HOME,IND,W (+2),1,13:21,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-3.9,-14
2019-11-07,24-069,CHO,HOME,BOS,L (-21),1,21:09,3,9,.333,1,3,.333,1,2,.500,1,3,4,1,1,1,3,1,8,3.1,-8
2019-11-09,24-071,CHO,HOME,NOP,L (-5),1,26:58,5,11,.455,2,4,.500,0,0,,0,1,1,3,1,0,4,3,12,4.5,-13
2019-11-10,24-072,CHO,AWAY,PHI,L (-8),1,16:30,0,6,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,1,2,1,-5.1,-20
2019-11-18,24-080,CHO,AWAY,TOR,L (-36),0,8:21,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,3.0,-7
2019-11-20,24-082,CHO,AWAY,BRK,L (-10),0,13:57,2,4,.500,0,1,.000,2,2,1.000,0,1,1,1,2,1,0,2,6,6.9,-8
2019-11-22,24-084,CHO,AWAY,WAS,L (-7),0,6:39,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-0.4,-3
2019-11-25,24-087,CHO,AWAY,MIA,L (-17),0,15:53,0,6,.000,0,1,.000,1,2,.500,0,2,2,1,2,0,0,0,1,-0.3,-3
2019-11-30,24-092,CHO,AWAY,MIL,L (-41),0,19:42,1,6,.167,0,3,.000,0,0,,0,4,4,1,1,0,1,0,2,0.1,-20
