DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,30-140,UTA,HOME,OKC,W (+5),0,10:05,0,3,.000,0,0,,2,2,1.000,3,3,6,0,0,2,1,5,2,1.3,-8
2019-10-25,30-142,UTA,AWAY,LAL,L (-9),0,10:08,1,2,.500,0,0,,0,0,,2,2,4,0,1,0,1,2,2,2.2,-15
2019-10-26,30-143,UTA,HOME,SAC,W (+32),0,18:15,1,1,1.000,0,0,,0,2,.000,0,7,7,0,0,0,1,2,2,1.2,+14
2019-10-28,30-145,UTA,AWAY,PHO,W (+1),0,12:28,0,0,,0,0,,0,0,,1,3,4,0,0,0,1,2,0,-0.2,-12
2019-10-30,30-147,UTA,HOME,LAC,W (+14),0,14:00,2,3,.667,0,0,,0,0,,3,6,9,1,0,1,1,1,4,6.6,+13
2019-11-01,30-149,UTA,AWAY,SAC,L (-1),0,7:46,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,+9
2019-11-29,30-177,UTA,AWAY,MEM,W (+9),0,12:07,0,0,,0,0,,0,0,,1,4,5,1,1,0,1,5,0,0.6,-5
2019-12-01,30-179,UTA,AWAY,TOR,L (-20),0,13:00,1,2,.500,0,0,,0,0,,3,4,7,0,0,1,2,0,2,3.0,-1
2019-12-02,30-180,UTA,AWAY,PHI,L (-9),0,10:18,0,1,.000,0,0,,0,0,,0,2,2,2,0,2,1,2,0,0.9,-10
2019-12-04,30-182,UTA,HOME,LAL,L (-25),0,13:15,3,5,.600,0,0,,1,2,.500,1,3,4,0,0,0,0,4,7,4.3,-12
2019-12-07,30-185,UTA,HOME,MEM,W (+14),0,13:20,1,1,1.000,0,0,,0,0,,0,3,3,1,2,0,0,3,2,4.1,+6
2019-12-09,30-187,UTA,HOME,OKC,L (-14),0,12:15,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,0,0,0,0.9,-11
2019-12-11,30-189,UTA,AWAY,MIN,W (+11),0,11:33,1,1,1.000,0,0,,0,1,.000,1,2,3,1,0,1,0,3,2,2.8,+12
2019-12-13,30-191,UTA,HOME,GSW,W (+8),0,11:36,0,0,,0,0,,0,0,,0,6,6,0,1,0,1,4,0,0.2,-17
2019-12-17,30-195,UTA,HOME,ORL,W (+7),0,10:32,1,4,.250,0,0,,1,2,.500,1,4,5,1,0,0,0,1,3,2.4,-4
2019-12-19,30-197,UTA,AWAY,ATL,W (+5),0,10:55,0,1,.000,0,0,,0,0,,1,2,3,1,1,1,1,1,0,1.6,-11
2019-12-21,30-199,UTA,AWAY,CHO,W (+7),0,6:58,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,0,1,0,0.5,-12
2019-12-23,30-201,UTA,AWAY,MIA,L (-3),0,11:51,0,1,.000,0,0,,0,0,,3,2,5,0,1,0,0,4,0,1.4,0
2019-12-26,30-204,UTA,HOME,POR,W (+6),0,9:06,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,4,0,-1.3,-2
2020-01-08,30-217,UTA,HOME,NYK,W (+24),0,6:37,0,1,.000,0,0,,1,2,.500,2,0,2,0,0,1,0,1,1,1.6,-5
2020-01-10,30-219,UTA,HOME,CHO,W (+17),0,5:36,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-2.2,-3
2020-01-22,30-231,UTA,AWAY,GSW,W (+33),0,7:17,1,2,.500,0,0,,0,0,,2,2,4,0,0,0,0,2,2,2.2,-1
2020-01-29,30-238,UTA,AWAY,SAS,L (-7),0,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+3
2020-01-30,30-239,UTA,AWAY,DEN,L (-6),0,10:42,0,0,,0,0,,0,0,,1,1,2,0,1,0,0,3,0,0.8,-9
2020-02-01,30-241,UTA,AWAY,POR,L (-17),0,13:17,2,2,1.000,0,0,,0,0,,3,1,4,0,0,0,0,0,4,5.8,-7
