DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,23-232,UTA,HOME,OKC,W (+5),0,22:59,6,11,.545,0,1,.000,0,0,,0,2,2,5,0,1,0,2,12,10.7,+4
2019-10-25,23-234,UTA,AWAY,LAL,L (-9),0,15:32,5,10,.500,2,5,.400,0,0,,0,2,2,2,1,0,4,2,12,5.2,+5
2019-10-26,23-235,UTA,HOME,SAC,W (+32),0,23:48,4,11,.364,0,3,.000,2,2,1.000,1,3,4,4,0,0,4,4,10,2.7,+6
2019-10-28,23-237,UTA,AWAY,PHO,W (+1),0,16:53,1,3,.333,0,0,,4,4,1.000,0,3,3,3,0,0,2,1,6,4.9,+8
2019-10-30,23-239,UTA,HOME,LAC,W (+14),0,16:00,4,9,.444,0,1,.000,0,0,,0,3,3,5,1,1,1,0,8,8.4,+13
2019-11-01,23-241,UTA,AWAY,SAC,L (-1),0,14:46,3,5,.600,0,1,.000,0,2,.000,0,0,0,2,1,1,3,0,6,3.0,+6
2019-11-11,23-251,UTA,AWAY,GSW,W (+14),0,14:56,4,5,.800,1,1,1.000,2,2,1.000,0,4,4,1,0,0,2,2,11,8.2,+2
2019-11-12,23-252,UTA,HOME,BRK,W (+5),0,17:57,4,8,.500,0,1,.000,7,8,.875,0,3,3,2,1,0,0,1,15,13.5,+8
2019-11-15,23-255,UTA,AWAY,MEM,L (-1),0,12:59,3,4,.750,1,2,.500,0,0,,0,1,1,2,0,0,3,1,7,3.7,-8
2019-11-18,23-258,UTA,HOME,MIN,L (-10),0,14:02,2,4,.500,0,1,.000,0,0,,1,0,1,1,1,1,2,1,4,2.7,-4
2019-11-20,23-260,UTA,AWAY,MIN,W (+8),0,15:35,1,7,.143,0,1,.000,0,0,,2,3,5,0,1,0,1,3,2,-1.4,-24
2019-11-22,23-262,UTA,HOME,GSW,W (+4),0,15:29,5,6,.833,1,1,1.000,0,0,,0,2,2,1,0,0,3,2,11,6.3,+3
2019-11-23,23-263,UTA,HOME,NOP,W (+8),0,15:28,4,6,.667,1,3,.333,1,2,.500,1,5,6,1,0,0,1,1,10,8.5,+9
2019-11-25,23-265,UTA,AWAY,MIL,L (-4),0,19:10,5,6,.833,1,1,1.000,1,2,.500,0,5,5,5,0,0,4,5,12,8.4,+5
2019-11-27,23-267,UTA,AWAY,IND,L (-19),0,13:17,1,6,.167,0,1,.000,0,0,,0,2,2,3,0,0,0,1,2,0.5,-1
2019-11-29,23-269,UTA,AWAY,MEM,W (+9),0,9:37,1,5,.200,0,1,.000,0,0,,1,0,1,1,0,0,0,0,2,0.3,-4
2019-12-01,23-271,UTA,AWAY,TOR,L (-20),0,17:03,1,7,.143,0,3,.000,0,0,,0,1,1,3,0,0,3,3,2,-4.3,-11
2019-12-02,23-272,UTA,AWAY,PHI,L (-9),0,4:34,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,+3
2019-12-04,23-274,UTA,HOME,LAL,L (-25),0,10:10,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,0,2,1.3,-16
2019-12-07,23-277,UTA,HOME,MEM,W (+14),0,21:44,3,6,.500,2,3,.667,3,3,1.000,0,3,3,7,0,0,3,3,11,9.6,+9
2019-12-09,23-279,UTA,HOME,OKC,L (-14),0,17:31,0,3,.000,0,1,.000,2,2,1.000,0,2,2,1,0,0,1,3,2,-1.0,-15
2019-12-11,23-281,UTA,AWAY,MIN,W (+11),0,22:10,4,7,.571,2,3,.667,3,4,.750,1,4,5,2,0,2,1,4,13,11.4,+15
2019-12-13,23-283,UTA,HOME,GSW,W (+8),0,19:09,0,2,.000,0,0,,4,6,.667,0,2,2,3,0,0,1,1,4,3.1,-7
