DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,27-156,BOS,AWAY,PHI,L (-14),1,24:58,5,8,.625,0,1,.000,2,7,.286,3,3,6,2,0,0,0,3,12,9.6,-12
2019-11-11,27-175,BOS,HOME,DAL,W (+10),0,5:54,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,2,3.0,+1
2019-11-13,27-177,BOS,HOME,WAS,W (+7),1,25:21,4,5,.800,0,0,,5,6,.833,4,5,9,2,1,0,1,2,13,15.6,+11
2019-11-15,27-179,BOS,AWAY,GSW,W (+5),0,14:41,2,3,.667,0,0,,0,0,,1,4,5,1,0,2,2,3,4,3.5,+10
2019-11-17,27-181,BOS,AWAY,SAC,L (-1),0,18:54,2,5,.400,0,0,,6,8,.750,4,3,7,0,0,1,2,1,10,8.5,+5
2019-11-18,27-182,BOS,AWAY,PHO,W (+14),0,5:23,1,2,.500,0,0,,0,0,,0,4,4,0,1,0,1,1,2,1.8,+2
2019-11-20,27-184,BOS,AWAY,LAC,L (-3),0,12:15,4,6,.667,0,0,,0,0,,2,4,6,0,1,0,1,0,8,8.0,+9
2019-11-22,27-186,BOS,AWAY,DEN,L (-4),0,13:56,2,5,.400,0,0,,0,0,,2,3,5,2,1,1,0,0,4,6.7,-1
2019-11-25,27-189,BOS,HOME,SAC,W (+1),1,25:23,5,6,.833,0,0,,3,3,1.000,3,6,9,2,1,0,2,1,13,14.7,+9
2019-11-27,27-191,BOS,HOME,BRK,W (+11),0,13:36,1,5,.200,0,0,,2,4,.500,5,2,7,3,4,0,0,1,4,9.9,+7
2019-11-29,27-193,BOS,AWAY,BRK,L (-5),0,20:51,5,10,.500,0,0,,0,0,,4,2,6,1,0,1,0,1,10,9.4,+10
2019-12-01,27-195,BOS,AWAY,NYK,W (+9),0,15:40,4,7,.571,0,0,,3,5,.600,6,5,11,0,0,1,1,1,11,11.9,+4
2019-12-04,27-198,BOS,HOME,MIA,W (+19),0,6:28,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-5
2019-12-06,27-200,BOS,HOME,DEN,W (+13),0,18:09,3,4,.750,0,0,,2,2,1.000,1,3,4,3,0,0,1,4,8,7.5,+11
2019-12-09,27-203,BOS,HOME,CLE,W (+22),0,17:53,3,5,.600,0,0,,1,2,.500,1,3,4,1,0,0,1,1,7,5.2,+1
2019-12-11,27-205,BOS,AWAY,IND,L (-5),0,13:35,2,5,.400,0,0,,0,0,,3,3,6,1,0,2,0,2,4,5.6,+4
2019-12-12,27-206,BOS,HOME,PHI,L (-6),0,24:17,10,13,.769,0,1,.000,0,0,,3,6,9,0,2,2,0,5,20,20.2,+3
2019-12-18,27-212,BOS,AWAY,DAL,W (+6),0,20:55,2,10,.200,0,0,,2,2,1.000,7,6,13,2,0,0,1,3,6,5.7,+21
2019-12-20,27-214,BOS,HOME,DET,W (+21),0,21:30,4,9,.444,0,0,,0,2,.000,5,13,18,0,1,1,2,1,8,9.2,+11
2019-12-22,27-216,BOS,HOME,CHO,W (+26),0,24:23,3,7,.429,0,0,,2,2,1.000,3,10,13,0,0,1,1,1,8,8.7,+17
2019-12-25,27-219,BOS,AWAY,TOR,W (+16),0,18:03,5,10,.500,0,0,,2,2,1.000,3,8,11,1,0,0,2,0,12,10.2,+8
2019-12-27,27-221,BOS,HOME,CLE,W (+12),0,22:31,7,10,.700,0,0,,0,0,,6,3,9,3,2,2,0,2,14,19.6,+8
2019-12-28,27-222,BOS,HOME,TOR,L (-16),0,17:19,5,5,1.000,1,1,1.000,0,0,,2,4,6,1,0,0,1,2,11,11.0,-3
2019-12-31,27-225,BOS,AWAY,CHO,W (+17),0,22:35,6,7,.857,0,0,,1,2,.500,2,12,14,2,0,6,0,5,13,18.7,+15
2020-01-03,27-228,BOS,HOME,ATL,W (+3),0,23:38,6,11,.545,0,1,.000,2,3,.667,5,6,11,1,0,2,1,1,14,14.3,+3
2020-01-04,27-229,BOS,AWAY,CHI,W (+7),0,22:46,7,17,.412,0,0,,3,4,.750,6,6,12,0,1,2,3,5,17,10.9,+7
2020-01-06,27-231,BOS,AWAY,WAS,L (-5),0,19:27,2,3,.667,0,0,,0,0,,3,8,11,2,0,1,3,1,4,5.9,-5
2020-01-08,27-233,BOS,HOME,SAS,L (-15),0,17:30,1,3,.333,0,1,.000,0,0,,1,6,7,1,0,0,1,1,2,2.1,-8
2020-01-09,27-234,BOS,AWAY,PHI,L (-11),0,17:00,4,7,.571,0,0,,0,0,,2,9,11,2,0,0,1,1,8,8.8,+11
2020-01-11,27-236,BOS,HOME,NOP,W (+35),0,23:05,10,13,.769,0,0,,2,2,1.000,7,12,19,1,0,0,1,3,22,23.9,+11
2020-01-13,27-238,BOS,HOME,CHI,W (+12),1,26:27,7,9,.778,0,0,,1,1,1.000,2,7,9,0,1,1,5,3,15,10.5,+4
