DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,29-319,MIL,AWAY,HOU,W (+6),1,16:05,4,12,.333,2,4,.500,1,1,1.000,0,1,1,2,0,0,1,3,11,3.7,-6
2019-10-26,29-321,MIL,HOME,MIA,L (-5),1,33:14,3,8,.375,0,2,.000,4,6,.667,0,7,7,2,1,0,3,5,10,4.3,+4
2019-10-28,29-323,MIL,HOME,CLE,W (+17),1,26:24,6,16,.375,0,4,.000,2,3,.667,2,2,4,8,1,0,1,2,14,11.6,+9
2019-10-30,29-325,MIL,AWAY,BOS,L (-11),1,27:47,3,8,.375,1,4,.250,0,3,.000,1,4,5,5,0,0,2,1,7,4.4,-3
2019-11-01,29-327,MIL,AWAY,ORL,W (+32),1,27:04,8,15,.533,2,7,.286,0,0,,1,5,6,6,1,0,1,1,18,16.7,+15
2019-11-02,29-328,MIL,HOME,TOR,W (+10),1,24:28,5,12,.417,1,5,.200,3,3,1.000,2,6,8,5,1,0,1,3,14,13.1,+5
2019-11-04,29-330,MIL,AWAY,MIN,W (+28),1,23:37,8,14,.571,1,4,.250,5,6,.833,1,8,9,6,1,0,3,4,22,18.7,+13
2019-11-06,29-332,MIL,AWAY,LAC,W (+5),1,26:19,8,14,.571,4,8,.500,0,0,,1,5,6,2,1,1,4,5,20,12.7,-7
2019-11-08,29-334,MIL,AWAY,UTA,L (-3),1,32:01,8,20,.400,1,6,.167,5,5,1.000,1,7,8,5,0,1,0,1,22,17.8,+4
2019-11-10,29-336,MIL,AWAY,OKC,W (+2),1,29:16,9,15,.600,3,6,.500,4,4,1.000,0,3,3,9,0,1,3,4,25,21.4,+4
2019-11-14,29-340,MIL,HOME,CHI,W (+9),1,31:34,12,14,.857,0,2,.000,7,8,.875,1,3,4,8,2,0,5,4,31,28.2,+9
2019-11-16,29-342,MIL,AWAY,IND,W (+19),1,26:06,5,14,.357,0,2,.000,0,0,,0,3,3,5,1,0,3,1,10,4.2,+12
2019-11-18,29-344,MIL,AWAY,CHI,W (+14),1,28:58,2,11,.182,1,4,.250,3,5,.600,1,5,6,5,1,1,1,0,8,6.7,+15
2019-11-20,29-346,MIL,AWAY,ATL,W (+8),1,25:01,8,17,.471,3,6,.500,9,11,.818,3,4,7,5,0,1,6,6,28,17.6,+4
2019-11-21,29-347,MIL,HOME,POR,W (+8),1,31:01,11,21,.524,2,6,.333,6,6,1.000,2,2,4,6,1,0,2,2,30,24.1,+4
2019-11-23,29-349,MIL,HOME,DET,W (+14),1,28:21,5,12,.417,1,1,1.000,0,2,.000,1,3,4,5,2,0,3,1,11,7.5,+26
2019-11-25,29-351,MIL,HOME,UTA,W (+4),1,26:49,5,16,.313,1,3,.333,2,2,1.000,1,2,3,5,0,0,1,3,13,6.4,-8
2019-11-27,29-353,MIL,HOME,ATL,W (+9),1,36:44,4,9,.444,0,1,.000,1,1,1.000,1,4,5,10,2,2,1,3,9,14.4,+6
2019-11-29,29-355,MIL,AWAY,CLE,W (+9),1,25:31,4,6,.667,1,3,.333,1,2,.500,0,3,3,5,0,1,4,2,10,7.3,+1
2019-11-30,29-356,MIL,HOME,CHO,W (+41),1,22:37,1,2,.500,0,0,,0,0,,0,4,4,10,1,0,0,1,2,9.8,+29
2019-12-02,29-358,MIL,HOME,NYK,W (+44),1,19:38,2,3,.667,0,0,,2,2,1.000,0,6,6,4,1,1,3,2,6,7.2,+25
2019-12-04,29-360,MIL,AWAY,DET,W (+24),1,26:44,6,11,.545,1,2,.500,0,0,,1,5,6,6,0,1,1,0,13,13.8,+14
2019-12-06,29-362,MIL,HOME,LAC,W (+28),1,22:55,4,10,.400,2,4,.500,0,0,,0,1,1,5,2,0,2,2,10,7.6,+28
2019-12-09,30-000,MIL,HOME,ORL,W (+9),1,31:57,3,9,.333,0,2,.000,0,0,,1,7,8,8,0,2,4,1,6,6.3,+7
2019-12-11,30-002,MIL,HOME,NOP,W (+15),1,25:27,10,13,.769,5,6,.833,4,4,1.000,0,3,3,6,2,0,3,2,29,27.2,+11
2019-12-13,30-004,MIL,AWAY,MEM,W (+13),1,16:58,3,6,.500,0,1,.000,6,6,1.000,0,4,4,4,1,0,2,1,12,11.6,+7
2019-12-30,30-021,MIL,AWAY,CHI,W (+21),1,16:17,5,8,.625,1,2,.500,4,5,.800,0,3,3,3,4,0,3,1,15,14.6,+26
2020-01-01,30-023,MIL,HOME,MIN,W (+2),1,20:12,4,10,.400,0,2,.000,2,2,1.000,2,4,6,2,0,2,2,1,10,7.6,0
2020-01-04,30-026,MIL,HOME,SAS,W (+9),1,23:52,8,12,.667,4,6,.667,1,2,.500,1,2,3,6,1,0,3,1,21,18.5,+7
2020-01-06,30-028,MIL,AWAY,SAS,L (-22),1,26:25,2,7,.286,2,5,.400,2,2,1.000,0,1,1,5,0,1,1,3,8,6.2,-11
2020-01-08,30-030,MIL,AWAY,GSW,W (+9),1,29:39,4,11,.364,0,3,.000,8,8,1.000,0,3,3,2,3,1,1,1,16,14.5,-4
2020-01-10,30-032,MIL,AWAY,SAC,W (+21),1,30:35,10,17,.588,1,5,.200,3,3,1.000,0,4,4,5,1,1,0,2,24,21.7,0
2020-01-11,30-033,MIL,AWAY,POR,W (+21),1,27:14,11,20,.550,3,5,.600,4,5,.800,1,3,4,3,0,2,4,2,29,19.3,+16
2020-01-14,30-036,MIL,HOME,NYK,W (+26),1,21:25,3,9,.333,2,4,.500,3,4,.750,1,5,6,3,0,0,2,0,11,7.8,+19
2020-01-16,30-038,MIL,HOME,BOS,W (+5),1,20:06,2,9,.222,1,3,.333,4,4,1.000,0,2,2,4,1,0,2,4,9,4.3,+2
2020-01-18,30-040,MIL,AWAY,BRK,W (+20),1,27:42,3,5,.600,0,2,.000,2,2,1.000,0,5,5,5,0,0,2,4,8,7.1,+11
2020-01-20,30-042,MIL,HOME,CHI,W (+13),1,28:30,3,5,.600,0,0,,1,2,.500,0,3,3,2,0,0,1,1,7,5.2,+10
2020-01-24,30-046,MIL,AWAY,CHO,W (+13),1,31:06,7,15,.467,1,4,.250,5,6,.833,1,2,3,5,2,1,3,2,20,15.6,+9
2020-01-28,30-050,MIL,HOME,WAS,W (+20),1,30:38,11,20,.550,2,5,.400,10,10,1.000,2,4,6,10,1,0,2,2,34,32.2,+22
2020-01-31,30-053,MIL,HOME,DEN,L (-12),1,31:33,6,11,.545,1,5,.200,2,5,.400,0,3,3,7,2,0,4,3,15,11.1,-12
2020-02-02,30-055,MIL,HOME,PHO,W (+21),1,31:36,5,8,.625,2,3,.667,0,1,.000,2,5,7,4,0,1,1,1,12,13.0,+14
2020-02-04,30-057,MIL,AWAY,NOP,W (+12),1,32:38,7,20,.350,0,3,.000,2,2,1.000,1,5,6,7,1,0,3,2,16,9.1,+20
2020-02-06,30-059,MIL,HOME,PHI,W (+11),1,32:35,6,14,.429,1,3,.333,1,3,.333,1,7,8,6,2,0,4,2,14,10.0,+9
2020-02-08,30-061,MIL,AWAY,ORL,W (+16),1,31:53,7,16,.438,0,5,.000,4,4,1.000,0,4,4,8,1,1,5,3,18,11.9,+26
2020-02-10,30-063,MIL,HOME,SAC,W (+12),1,32:27,10,16,.625,3,4,.750,5,6,.833,0,8,8,8,1,0,2,2,28,26.6,+17
