DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-15,24-364,HOU,HOME,IND,W (+9),0,3:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
2019-11-16,25-000,HOU,AWAY,MIN,W (+20),0,1:20,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+3
2019-11-18,25-002,HOU,HOME,POR,W (+24),0,3:25,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,2,0,-0.5,+2
2019-11-24,25-008,HOU,HOME,DAL,L (-14),0,1:48,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+5
2019-11-27,25-011,HOU,HOME,MIA,W (+9),0,29:17,5,10,.500,2,6,.333,0,0,,3,5,8,1,1,1,0,3,12,11.8,+7
2019-11-30,25-014,HOU,HOME,ATL,W (+47),0,24:25,1,5,.200,1,5,.200,0,0,,2,4,6,3,0,0,0,0,3,4.6,+18
2019-12-03,25-017,HOU,AWAY,SAS,L (-2),0,8:14,0,3,.000,0,3,.000,0,0,,1,1,2,0,0,0,1,3,0,-3.3,-15
2019-12-09,25-023,HOU,HOME,SAC,L (-1),0,21:33,3,6,.500,3,5,.600,2,2,1.000,0,3,3,0,0,2,0,1,11,9.9,+6
2019-12-11,25-025,HOU,AWAY,CLE,W (+6),0,10:33,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,+2
2019-12-13,25-027,HOU,AWAY,ORL,W (+23),0,14:01,3,6,.500,2,5,.400,1,1,1.000,0,3,3,1,0,1,0,0,9,8.3,+16
2019-12-14,25-028,HOU,HOME,DET,L (-8),0,13:51,0,3,.000,0,3,.000,0,0,,1,0,1,2,0,1,0,2,0,-0.1,+4
2019-12-16,25-030,HOU,HOME,SAS,W (+2),0,11:25,0,3,.000,0,3,.000,3,4,.750,1,3,4,0,0,1,0,3,3,1.6,-4
2019-12-19,25-033,HOU,AWAY,LAC,W (+5),0,2:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-12
2019-12-21,25-035,HOU,AWAY,PHO,W (+14),0,19:05,3,5,.600,3,5,.600,0,0,,1,0,1,1,0,0,0,2,9,7.3,-8
2019-12-23,25-037,HOU,AWAY,SAC,W (+9),0,9:40,1,3,.333,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2,0.6,-9
2019-12-25,25-039,HOU,AWAY,GSW,L (-12),0,8:44,1,3,.333,1,3,.333,0,0,,0,1,1,0,1,0,0,1,3,2.2,+6
2019-12-29,25-043,HOU,AWAY,NOP,L (-15),0,24:57,2,4,.500,2,4,.500,0,0,,2,6,8,2,0,1,1,2,6,7.5,-8
2019-12-31,25-045,HOU,HOME,DEN,W (+26),0,3:10,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,+4
2020-01-15,25-060,ORL,AWAY,LAL,W (+1),0,20:11,4,6,.667,2,4,.500,0,0,,3,1,4,0,0,1,0,0,10,10.5,-2
2020-01-16,25-061,ORL,AWAY,LAC,L (-27),0,16:53,0,4,.000,0,3,.000,0,0,,1,3,4,0,0,0,0,0,0,-1.2,+1
2020-01-18,25-063,ORL,AWAY,GSW,L (-14),0,12:23,2,3,.667,1,2,.500,0,0,,2,3,5,0,0,0,1,1,5,4.6,+4
2020-01-20,25-065,ORL,AWAY,CHO,W (+23),0,15:02,2,3,.667,1,2,.500,0,0,,2,3,5,0,0,1,1,1,5,5.3,+9
2020-01-22,25-067,ORL,HOME,OKC,L (-6),0,4:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-11
2020-02-01,25-077,ORL,HOME,MIA,L (-13),0,11:00,0,2,.000,0,2,.000,0,0,,2,2,4,0,0,0,0,0,0,0.6,-5
2020-02-03,25-079,ORL,AWAY,CHO,W (+12),0,10:21,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,1,0,0,3,2.7,-1
2020-02-05,25-081,ORL,AWAY,BOS,L (-16),0,16:52,0,2,.000,0,2,.000,0,0,,1,3,4,0,2,0,0,0,0,2.2,-11
2020-02-06,25-082,ORL,AWAY,NYK,L (-2),0,13:48,1,3,.333,1,3,.333,0,0,,1,1,2,1,0,1,0,1,3,3.3,+3
2020-02-08,25-084,ORL,HOME,MIL,L (-16),0,15:49,2,3,.667,2,3,.667,2,2,1.000,1,3,4,0,0,1,0,2,8,8.2,+11
2020-02-10,25-086,ORL,HOME,ATL,W (+9),0,11:12,1,2,.500,1,2,.500,0,0,,1,1,2,0,0,0,0,1,3,2.6,-10
2020-02-12,25-088,ORL,HOME,DET,W (+4),0,10:12,0,4,.000,0,4,.000,0,0,,0,2,2,0,0,1,0,1,0,-1.9,-1
2020-02-21,25-097,ORL,HOME,DAL,L (-16),0,7:58,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-10
2020-03-02,25-107,ORL,HOME,POR,L (-23),1,28:42,2,3,.667,1,2,.500,0,0,,1,2,3,1,0,1,0,0,5,6.4,-3
2020-03-06,25-111,ORL,AWAY,MIN,W (+14),0,2:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-1
2020-03-08,25-113,ORL,AWAY,HOU,W (+20),0,7:04,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,0,0,0.9,+6
2020-03-10,25-115,ORL,AWAY,MEM,W (+5),0,9:19,0,2,.000,0,1,.000,0,0,,1,1,2,0,1,0,1,1,0,-0.8,+1
