DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,33-173,MIL,AWAY,HOU,W (+6),0,30:47,3,7,.429,2,4,.500,0,0,,0,0,0,7,2,0,0,2,8,10.4,+16
2019-10-26,33-175,MIL,HOME,MIA,L (-5),0,28:47,2,4,.500,1,3,.333,0,0,,0,2,2,4,1,1,1,6,5,4.7,-18
2019-10-28,33-177,MIL,HOME,CLE,W (+17),0,19:22,7,10,.700,1,2,.500,4,7,.571,2,6,8,3,2,0,0,0,19,20.9,+12
2019-10-30,33-179,MIL,AWAY,BOS,L (-11),0,20:13,5,9,.556,2,5,.400,0,0,,3,2,5,2,0,0,1,2,12,10.0,-8
2019-11-01,33-181,MIL,AWAY,ORL,W (+32),0,15:20,4,6,.667,1,1,1.000,0,1,.000,1,1,2,2,1,0,0,0,9,9.4,+15
2019-11-02,33-182,MIL,HOME,TOR,W (+10),0,26:58,2,4,.500,1,2,.500,2,2,1.000,1,1,2,4,0,0,0,1,7,8.4,+8
2019-11-04,33-184,MIL,AWAY,MIN,W (+28),0,16:56,2,4,.500,1,1,1.000,2,2,1.000,0,1,1,1,0,0,1,1,7,4.6,+7
2019-11-06,33-186,MIL,AWAY,LAC,W (+5),0,24:09,9,14,.643,6,7,.857,0,0,,2,1,3,0,1,0,0,2,24,19.7,+9
2019-11-08,33-188,MIL,AWAY,UTA,L (-3),0,22:35,0,2,.000,0,1,.000,2,3,.667,2,1,3,1,2,0,1,1,2,3.2,-6
2019-11-10,33-190,MIL,AWAY,OKC,W (+2),0,23:26,3,6,.500,0,0,,2,2,1.000,2,3,5,5,0,0,1,3,8,8.6,-5
2019-11-14,33-194,MIL,HOME,CHI,W (+9),0,28:44,1,5,.200,0,2,.000,1,1,1.000,1,1,2,6,1,0,2,2,3,3.3,+16
2019-11-16,33-196,MIL,AWAY,IND,W (+19),0,18:45,0,5,.000,0,4,.000,0,0,,1,4,5,4,0,0,1,1,0,-0.2,+11
2019-11-18,33-198,MIL,AWAY,CHI,W (+14),0,26:50,5,9,.556,4,7,.571,4,4,1.000,0,4,4,0,0,0,1,4,18,12.3,+17
2019-11-20,33-200,MIL,AWAY,ATL,W (+8),0,22:59,3,6,.500,1,3,.333,2,2,1.000,0,3,3,4,0,0,1,3,9,7.5,+6
2019-11-21,33-201,MIL,HOME,POR,W (+8),0,17:08,2,4,.500,1,3,.333,2,2,1.000,2,2,4,3,1,0,0,4,7,8.5,+4
2019-11-23,33-203,MIL,HOME,DET,W (+14),0,16:16,3,5,.600,2,3,.667,1,2,.500,0,2,2,3,1,1,1,0,9,9.7,-7
2019-11-29,33-209,MIL,AWAY,CLE,W (+9),0,22:17,6,10,.600,4,6,.667,2,2,1.000,1,1,2,4,0,0,0,0,18,17.2,+9
