DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-25,29-280,MIN,AWAY,CHO,W (+22),0,6:15,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,1,0,2,-0.1,-3
2019-11-02,29-288,MIN,AWAY,WAS,W (+22),1,23:38,7,9,.778,2,2,1.000,2,3,.667,1,7,8,1,2,3,2,2,18,18.9,+21
2019-11-04,29-290,MIN,HOME,MIL,L (-28),1,17:21,3,9,.333,0,3,.000,4,4,1.000,4,2,6,4,0,1,0,1,10,11.4,-29
2019-11-06,29-292,MIN,AWAY,MEM,L (-16),0,3:10,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,2.0,-5
2019-11-08,29-294,MIN,HOME,GSW,W (+6),0,7:43,1,3,.333,0,0,,1,1,1.000,0,1,1,1,0,1,1,0,3,2.0,0
2019-11-10,29-296,MIN,HOME,DEN,L (-2),0,9:44,0,4,.000,0,3,.000,0,0,,2,3,5,1,1,1,1,1,0,0.5,+7
2019-11-11,29-297,MIN,AWAY,DET,W (+6),0,17:11,4,7,.571,0,1,.000,1,2,.500,1,6,7,1,2,1,1,1,9,9.8,-11
2019-11-13,29-299,MIN,HOME,SAS,W (+15),0,7:53,0,3,.000,0,1,.000,0,0,,1,2,3,1,0,0,0,1,0,-0.5,-5
2019-11-15,29-301,MIN,HOME,WAS,L (-21),0,11:08,1,1,1.000,1,1,1.000,0,0,,1,3,4,2,0,2,0,2,3,6.3,-9
2019-11-18,29-304,MIN,AWAY,UTA,W (+10),0,14:37,3,7,.429,0,1,.000,2,2,1.000,0,5,5,2,1,1,0,1,8,8.5,-1
2019-11-20,29-306,MIN,HOME,UTA,L (-8),0,15:11,0,3,.000,0,1,.000,1,2,.500,1,7,8,1,1,3,1,1,1,3.7,+12
2019-11-23,29-309,MIN,HOME,PHO,L (-2),0,11:35,0,0,,0,0,,0,0,,0,5,5,1,0,1,0,2,0,2.1,-13
2019-11-25,29-311,MIN,AWAY,ATL,W (+12),0,16:13,5,6,.833,3,3,1.000,0,0,,0,2,2,0,1,1,0,3,13,11.9,+7
2019-11-27,29-313,MIN,AWAY,SAS,W (+12),0,15:36,4,7,.571,1,2,.500,1,2,.500,2,3,5,4,1,0,1,3,10,10.2,+13
2019-12-01,29-317,MIN,HOME,MEM,L (-8),0,12:17,1,4,.250,1,3,.333,0,0,,2,3,5,0,1,2,1,2,3,3.5,-4
2019-12-04,29-320,MIN,AWAY,DAL,L (-7),0,10:43,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-1.9,-14
2019-12-06,29-322,MIN,AWAY,OKC,L (-12),0,15:19,1,4,.250,0,1,.000,0,0,,1,2,3,1,1,0,1,2,2,0.8,-10
2019-12-08,29-324,MIN,AWAY,LAL,L (-17),0,9:30,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,2,1,1,0,0.2,-2
2019-12-09,29-325,MIN,AWAY,PHO,L (-16),0,12:08,2,5,.400,0,1,.000,0,0,,0,2,2,0,1,1,1,1,4,2.2,-4
2019-12-11,29-327,MIN,HOME,UTA,L (-11),0,11:25,0,2,.000,0,1,.000,0,0,,1,1,2,1,0,0,1,3,0,-1.9,-7
2019-12-13,29-329,MIN,HOME,LAC,L (-7),0,11:40,2,5,.400,1,2,.500,0,0,,0,5,5,0,1,1,0,2,5,4.7,-10
2019-12-18,29-334,MIN,HOME,NOP,L (-8),1,24:19,5,7,.714,1,3,.333,2,4,.500,3,5,8,1,0,0,0,5,13,11.6,-5
