DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-12-05,33-030,WAS,HOME,PHI,W (+6),0,13:08,2,5,.400,0,0,,3,4,.750,3,2,5,0,0,0,1,4,7,4.0,+5
2019-12-08,33-033,WAS,HOME,LAC,L (-16),0,17:30,4,4,1.000,0,0,,1,2,.500,2,4,6,2,0,3,2,3,9,10.3,+18
2019-12-10,33-035,WAS,AWAY,CHO,L (-7),0,20:22,3,5,.600,0,1,.000,3,4,.750,1,2,3,0,1,2,1,1,9,8.6,+15
2019-12-14,33-039,WAS,AWAY,MEM,L (-17),1,17:24,1,5,.200,0,1,.000,2,2,1.000,2,1,3,1,0,1,1,3,4,1.8,-8
2019-12-16,33-041,WAS,AWAY,DET,W (+14),1,24:43,3,3,1.000,0,0,,3,5,.600,1,6,7,1,0,1,3,4,9,6.6,+11
2019-12-18,33-043,WAS,HOME,CHI,L (-1),1,24:05,4,9,.444,0,0,,0,0,,4,2,6,1,0,3,0,6,8,7.1,-14
2019-12-20,33-045,WAS,AWAY,TOR,L (-4),1,15:47,3,5,.600,0,0,,2,3,.667,1,6,7,2,1,0,3,3,8,6.0,-5
2019-12-21,33-046,WAS,AWAY,PHI,L (-17),1,18:37,3,7,.429,1,3,.333,0,0,,3,5,8,1,2,1,2,3,7,7.1,+7
2019-12-23,33-048,WAS,AWAY,NYK,W (+6),1,28:12,1,5,.200,0,1,.000,6,11,.545,5,4,9,2,1,1,0,3,8,9.5,+2
2019-12-26,33-051,WAS,AWAY,DET,L (-30),1,19:05,1,4,.250,0,1,.000,3,4,.750,4,1,5,0,1,1,3,3,5,2.8,-23
2019-12-28,33-053,WAS,HOME,NYK,L (-7),1,28:18,4,9,.444,0,1,.000,1,3,.333,5,5,10,0,1,2,1,2,9,9.1,+6
2019-12-30,33-055,WAS,HOME,MIA,W (+18),1,28:19,10,11,.909,2,3,.667,3,8,.375,0,5,5,1,2,2,0,1,25,24.5,+6
2020-01-01,33-057,WAS,HOME,ORL,L (-21),1,19:38,1,2,.500,0,0,,0,0,,0,2,2,0,0,2,2,2,2,0.2,-22
2020-01-03,33-059,WAS,HOME,POR,L (-19),1,26:13,1,5,.200,0,2,.000,1,4,.250,1,1,2,3,1,3,1,4,3,2.3,-18
2020-01-04,33-060,WAS,HOME,DEN,W (+14),1,18:51,2,3,.667,0,0,,0,0,,3,2,5,1,1,0,2,3,4,3.9,-17
2020-01-06,33-062,WAS,HOME,BOS,W (+5),1,23:46,1,3,.333,0,0,,2,4,.500,2,6,8,4,1,4,1,3,4,9.1,+1
2020-01-08,33-064,WAS,AWAY,ORL,L (-34),1,10:18,1,3,.333,0,0,,0,0,,1,3,4,1,0,0,0,3,2,1.4,-15
2020-01-10,33-066,WAS,HOME,ATL,W (+10),1,27:06,5,11,.455,0,2,.000,2,3,.667,5,3,8,1,2,0,3,5,12,8.0,+2
2020-01-12,33-068,WAS,HOME,UTA,L (-11),1,30:46,5,7,.714,1,1,1.000,4,4,1.000,2,4,6,7,2,1,0,3,15,21.1,-7
2020-01-15,33-071,WAS,AWAY,CHI,L (-9),1,30:07,2,7,.286,0,0,,4,6,.667,2,5,7,2,1,2,3,2,8,6.0,-14
2020-01-17,33-073,WAS,AWAY,TOR,L (-29),1,19:25,2,7,.286,0,0,,1,3,.333,2,5,7,0,1,0,3,1,5,0.6,-5
2020-01-20,33-076,WAS,HOME,DET,W (+6),1,23:01,9,10,.900,1,1,1.000,2,3,.667,2,5,7,1,2,3,1,6,21,21.5,+14
2020-01-22,33-078,WAS,AWAY,MIA,L (-5),1,34:59,3,8,.375,0,1,.000,4,5,.800,3,7,10,4,1,2,0,3,10,13.4,-5
2020-01-23,33-079,WAS,AWAY,CLE,W (+12),1,28:05,2,4,.500,0,0,,3,4,.750,2,5,7,1,0,0,2,2,7,5.4,+8
2020-01-26,33-082,WAS,AWAY,ATL,L (-19),1,14:58,1,2,.500,0,0,,6,6,1.000,1,2,3,1,0,1,1,1,8,8.3,-9
2020-01-28,33-084,WAS,AWAY,MIL,L (-20),1,20:56,2,7,.286,0,2,.000,0,0,,2,5,7,2,0,1,2,3,4,1.7,-8
2020-01-30,33-086,WAS,HOME,CHO,W (+14),1,22:02,3,5,.600,0,0,,0,0,,0,8,8,1,0,1,1,6,6,4.1,+9
2020-02-01,33-088,WAS,HOME,BRK,W (+6),1,22:09,4,9,.444,0,2,.000,0,0,,3,3,6,1,1,2,1,3,8,7.2,+3
2020-02-03,33-090,WAS,HOME,GSW,L (-8),1,9:12,1,1,1.000,0,0,,0,0,,1,4,5,0,1,0,1,3,2,2.4,-8
2020-02-07,33-094,WAS,HOME,DAL,W (+1),1,17:55,2,3,.667,0,0,,2,2,1.000,2,1,3,1,0,1,2,2,6,5.0,-9
2020-02-09,33-096,WAS,HOME,MEM,L (-7),1,18:28,0,5,.000,0,1,.000,2,4,.500,0,5,5,1,0,2,0,0,2,1.3,+4
2020-02-11,33-098,WAS,HOME,CHI,W (+12),1,21:26,7,10,.700,0,1,.000,1,3,.333,4,2,6,0,0,0,0,3,15,12.2,+15
2020-02-12,33-099,WAS,AWAY,NYK,W (+18),1,30:29,3,7,.429,0,0,,3,4,.750,2,8,10,1,1,1,0,5,9,9.1,+9
2020-02-21,33-108,WAS,HOME,CLE,L (-5),1,16:23,1,3,.333,0,0,,3,4,.750,3,2,5,2,2,0,2,5,5,5.0,-1
2020-02-23,33-110,WAS,AWAY,CHI,L (-9),1,8:08,0,0,,0,0,,1,2,.500,0,0,0,1,1,0,0,1,1,1.9,-9
2020-02-24,33-111,WAS,HOME,MIL,L (-3),1,24:32,4,6,.667,0,2,.000,2,5,.400,1,4,5,1,1,0,0,4,10,8.2,-14
2020-02-26,33-113,WAS,HOME,BRK,W (+4),1,19:55,2,4,.500,0,0,,0,1,.000,2,1,3,1,2,0,0,2,4,5.2,-2
2020-02-28,33-115,WAS,AWAY,UTA,L (-10),1,13:35,1,6,.167,0,0,,0,0,,1,4,5,0,1,1,0,3,2,0.6,-3
