DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-16,29-143,BRK,AWAY,CHI,W (+6),0,11:31,2,4,.500,1,3,.333,0,0,,0,3,3,0,0,0,3,2,5,0.1,-16
2019-11-18,29-145,BRK,HOME,IND,L (-29),0,18:59,1,5,.200,1,5,.200,0,2,.000,0,1,1,0,1,0,0,4,3,-1.2,-16
2019-11-20,29-147,BRK,HOME,CHO,W (+10),0,19:08,2,8,.250,0,4,.000,0,0,,0,2,2,0,1,0,1,1,4,-0.6,-5
2019-11-22,29-149,BRK,HOME,SAC,W (+19),0,24:44,3,6,.500,1,3,.333,1,1,1.000,3,4,7,1,1,0,1,0,8,9.0,+13
2019-11-24,29-151,BRK,AWAY,NYK,W (+2),0,19:15,1,2,.500,1,2,.500,2,2,1.000,0,0,0,1,1,0,2,2,5,2.9,-8
2019-11-25,29-152,BRK,AWAY,CLE,W (+2),0,18:01,1,6,.167,1,3,.333,0,0,,1,2,3,1,2,1,0,3,3,2.7,+2
2019-11-27,29-154,BRK,AWAY,BOS,L (-11),0,19:52,1,4,.250,1,4,.250,0,0,,1,4,5,2,1,0,1,1,3,3.5,-6
2019-11-29,29-156,BRK,HOME,BOS,W (+5),0,18:43,4,8,.500,1,2,.500,0,0,,1,0,1,0,1,0,1,1,9,5.3,-8
2019-12-01,29-158,BRK,HOME,MIA,L (-3),0,16:54,1,5,.200,0,1,.000,0,0,,0,0,0,1,0,1,0,1,2,-0.1,-3
2019-12-04,29-161,BRK,AWAY,ATL,W (+12),0,18:45,1,3,.333,0,2,.000,0,0,,2,4,6,1,0,0,0,2,2,2.8,+6
2019-12-06,29-163,BRK,AWAY,CHO,W (+7),0,21:31,2,6,.333,0,2,.000,0,0,,1,2,3,3,4,0,1,2,4,6.2,+3
2019-12-08,29-165,BRK,HOME,DEN,W (+3),0,18:46,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,0,1,2,2.3,-12
2019-12-11,29-168,BRK,HOME,CHO,L (-5),0,14:29,1,5,.200,1,2,.500,1,2,.500,0,2,2,0,0,0,0,1,4,0.7,-2
