DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,19-349,WAS,AWAY,DAL,L (-8),1,22:54,4,5,.800,1,2,.500,0,1,.000,1,2,3,2,1,1,1,4,9,8.5,0
2019-10-25,19-351,WAS,AWAY,OKC,W (+12),1,24:02,2,4,.500,0,1,.000,2,2,1.000,0,6,6,2,2,0,0,5,6,7.2,-1
2019-10-26,19-352,WAS,AWAY,SAS,L (-2),1,25:59,2,4,.500,0,0,,0,1,.000,1,5,6,4,1,0,0,3,4,6.4,+7
2019-10-30,19-356,WAS,HOME,HOU,L (-1),1,24:40,3,4,.750,0,0,,0,0,,2,1,3,2,0,0,2,5,6,3.5,-16
2019-11-02,19-359,WAS,HOME,MIN,L (-22),1,18:05,0,5,.000,0,1,.000,3,4,.750,1,2,3,1,2,0,1,2,3,1.3,-5
2019-11-04,19-361,WAS,HOME,DET,W (+16),1,22:48,2,5,.400,0,1,.000,1,1,1.000,1,2,3,1,0,0,0,0,5,4.3,+16
2019-11-06,19-363,WAS,AWAY,IND,L (-15),1,10:32,0,2,.000,0,0,,0,0,,1,2,3,0,1,0,2,2,0,-1.9,-6
2019-11-15,20-007,WAS,AWAY,MIN,W (+21),0,2:43,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+1
2019-11-24,20-016,WAS,HOME,SAC,L (-7),0,0:36,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
2019-11-26,20-018,WAS,AWAY,DEN,L (-13),0,5:51,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,2,2.3,+6
2019-11-27,20-019,WAS,AWAY,PHO,W (+8),0,4:18,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-1
2019-11-29,20-021,WAS,AWAY,LAL,L (-22),0,17:14,2,5,.400,2,3,.667,0,0,,1,2,3,0,0,0,1,0,6,3.6,0
2019-12-01,20-023,WAS,AWAY,LAC,L (-25),0,19:25,3,4,.750,0,1,.000,1,1,1.000,2,1,3,3,1,0,0,4,7,8.6,-2
2019-12-03,20-025,WAS,HOME,ORL,L (-7),1,17:07,1,1,1.000,0,0,,0,0,,1,5,6,1,1,0,1,2,2,3.8,+6
2019-12-05,20-027,WAS,HOME,PHI,W (+6),1,19:35,0,1,.000,0,1,.000,2,2,1.000,0,1,1,2,2,1,1,2,2,3.9,+4
2019-12-06,20-028,WAS,AWAY,MIA,L (-9),1,15:14,3,3,1.000,0,0,,1,1,1.000,0,2,2,3,0,0,0,3,7,7.6,+2
2019-12-08,20-030,WAS,HOME,LAC,L (-16),1,13:15,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,2,0,-2.2,-14
2019-12-10,20-032,WAS,AWAY,CHO,L (-7),1,14:19,0,3,.000,0,2,.000,0,0,,1,0,1,1,1,1,1,3,0,-1.2,+6
2019-12-14,20-036,WAS,AWAY,MEM,L (-17),1,26:08,0,3,.000,0,1,.000,2,2,1.000,2,1,3,0,0,1,1,2,2,0.5,-2
