DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-01,26-226,IND,HOME,CLE,W (+7),0,10:22,2,7,.286,0,2,.000,0,0,,1,0,1,0,0,1,0,2,4,0.5,-1
2019-11-03,26-228,IND,HOME,CHI,W (+13),1,19:12,2,4,.500,0,0,,0,4,.000,1,3,4,0,0,1,2,2,4,-0.1,+6
2019-11-05,26-230,IND,AWAY,CHO,L (-2),1,20:24,3,5,.600,1,2,.500,0,0,,2,2,4,1,0,1,0,5,7,6.1,+3
2019-11-06,26-231,IND,HOME,WAS,W (+15),1,23:47,7,12,.583,0,3,.000,0,0,,1,5,6,1,2,1,0,1,14,13.6,+12
2019-11-08,26-233,IND,HOME,DET,W (+6),1,27:10,4,5,.800,0,1,.000,2,3,.667,1,1,2,0,1,1,1,3,10,8.2,+4
2019-11-10,26-235,IND,AWAY,ORL,W (+7),1,23:55,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,2,2,2.2,+1
2019-11-12,26-237,IND,HOME,OKC,W (+26),1,16:47,2,3,.667,1,1,1.000,0,0,,0,3,3,0,1,0,1,5,5,2.6,+6
2019-11-15,26-240,IND,AWAY,HOU,L (-9),1,16:55,2,3,.667,0,1,.000,0,0,,1,1,2,0,0,1,1,2,4,2.6,-15
2019-11-16,26-241,IND,HOME,MIL,L (-19),0,7:42,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,1,1,0,-0.4,-4
2019-12-22,26-277,IND,AWAY,MIL,L (-28),0,4:46,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,0,1,2,2.2,-4
2020-01-06,26-292,IND,AWAY,CHO,W (+11),0,1:04,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4
2020-01-08,26-294,IND,HOME,MIA,L (-14),0,5:16,2,2,1.000,0,0,,0,1,.000,0,1,1,0,0,0,0,1,4,2.9,+1
2020-01-10,26-296,IND,AWAY,CHI,W (+11),1,20:13,4,4,1.000,0,0,,0,0,,1,4,5,0,1,1,0,0,8,10.4,+10
2020-01-20,26-306,IND,AWAY,UTA,L (-30),0,4:19,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-6
2020-01-22,26-308,IND,AWAY,PHO,W (+25),0,3:35,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+4
2020-01-26,26-312,IND,AWAY,POR,L (-10),1,17:11,0,3,.000,0,0,,2,2,1.000,0,3,3,0,0,0,0,3,2,-0.4,-18
2020-01-29,26-315,IND,HOME,CHI,W (+9),1,19:29,3,5,.600,0,1,.000,0,0,,3,2,5,0,0,1,0,1,6,6.7,0
2020-02-01,26-318,IND,HOME,NYK,L (-7),0,6:17,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+5
2020-02-23,26-340,IND,AWAY,TOR,L (-46),0,7:13,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,3,0,-2.3,-10
2020-02-25,26-342,IND,HOME,CHO,W (+39),0,19:08,5,7,.714,0,0,,0,0,,0,1,1,0,1,1,0,2,10,8.3,+9
2020-02-27,26-344,IND,HOME,POR,W (+6),0,3:33,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-4
2020-02-29,26-346,IND,AWAY,CLE,W (+9),0,1:55,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-3
2020-03-04,26-350,IND,AWAY,MIL,L (-19),0,16:45,1,2,.500,0,0,,2,2,1.000,2,1,3,1,0,0,0,2,4,4.6,+20
2020-03-06,26-352,IND,AWAY,CHI,W (+6),0,17:19,5,6,.833,0,0,,4,6,.667,1,4,5,3,1,0,1,1,14,14.6,+7
2020-03-08,26-354,IND,AWAY,DAL,W (+3),0,13:33,2,3,.667,0,0,,1,2,.500,0,0,0,0,0,0,0,1,5,2.9,-5
2020-03-10,26-356,IND,HOME,BOS,L (-3),0,12:36,0,2,.000,0,1,.000,0,0,,1,4,5,1,0,0,0,2,0,0.4,+2
