DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,29-123,LAC,HOME,LAL,W (+10),0,19:16,4,8,.500,4,7,.571,0,0,,1,5,6,0,0,0,1,3,12,8.0,+5
2019-10-24,29-125,LAC,AWAY,GSW,W (+19),0,15:44,3,4,.750,3,4,.750,0,1,.000,0,1,1,0,0,0,1,3,9,5.1,-8
2019-10-26,29-127,LAC,AWAY,PHO,L (-8),0,16:06,4,5,.800,2,2,1.000,3,3,1.000,2,1,3,0,0,0,0,4,13,11.2,+6
2019-10-28,29-129,LAC,HOME,CHO,W (+15),0,21:50,1,5,.200,1,4,.250,0,0,,0,2,2,1,1,0,0,5,3,0.2,-8
2019-10-30,29-131,LAC,AWAY,UTA,L (-14),0,27:24,8,11,.727,5,6,.833,2,2,1.000,1,7,8,0,0,1,1,3,23,19.8,-12
2019-10-31,29-132,LAC,HOME,SAS,W (+6),0,21:38,0,3,.000,0,3,.000,0,0,,0,8,8,0,1,0,0,1,0,0.9,+4
2019-11-03,29-135,LAC,HOME,UTA,W (+11),0,23:52,3,7,.429,2,5,.400,4,4,1.000,3,3,6,1,0,1,1,3,12,10.5,+30
2019-11-06,29-138,LAC,HOME,MIL,L (-5),0,32:16,3,10,.300,2,7,.286,1,2,.500,1,6,7,0,0,0,1,5,9,2.3,-6
2019-11-07,29-139,LAC,HOME,POR,W (+6),0,15:45,0,5,.000,0,3,.000,0,0,,0,10,10,0,0,0,2,0,0,-2.5,-3
2019-11-11,29-143,LAC,HOME,TOR,W (+10),0,24:28,3,11,.273,0,5,.000,4,5,.800,5,7,12,1,0,1,2,1,10,7.7,+5
2019-11-13,29-145,LAC,AWAY,HOU,L (-9),0,32:01,5,11,.455,4,7,.571,0,0,,4,10,14,0,2,1,2,2,14,14.0,+1
2019-11-14,29-146,LAC,AWAY,NOP,L (-5),0,18:17,1,4,.250,0,2,.000,0,0,,1,5,6,0,0,0,2,3,2,-1.4,-10
2019-11-16,29-148,LAC,HOME,ATL,W (+49),0,21:38,1,6,.167,0,4,.000,0,0,,1,8,9,2,4,0,1,3,2,4.5,+17
2019-11-18,29-150,LAC,HOME,OKC,W (+2),0,20:34,1,5,.200,1,5,.200,0,0,,0,5,5,0,1,0,1,3,3,0.2,+8
2019-11-20,29-152,LAC,HOME,BOS,W (+3),0,17:55,4,5,.800,2,2,1.000,0,0,,3,5,8,0,0,0,0,1,10,11.3,-12
2019-11-22,29-154,LAC,HOME,HOU,W (+3),0,26:12,2,6,.333,0,4,.000,0,0,,2,7,9,1,1,1,2,3,4,3.3,+17
2019-11-24,29-156,LAC,HOME,NOP,W (+25),0,21:01,1,2,.500,1,2,.500,0,0,,0,4,4,0,0,0,0,0,3,3.2,+25
