DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,24-223,ATL,AWAY,DET,W (+17),0,22:41,8,11,.727,1,2,.500,1,1,1.000,0,1,1,0,0,0,0,1,18,13.4,+10
2019-10-26,24-225,ATL,HOME,ORL,W (+4),0,17:46,4,7,.571,1,2,.500,1,1,1.000,1,3,4,1,0,1,3,3,10,5.5,-2
2019-10-28,24-227,ATL,HOME,PHI,L (-2),0,22:03,2,7,.286,2,3,.667,0,0,,1,3,4,0,0,0,2,1,6,1.1,+6
2019-10-29,24-228,ATL,AWAY,MIA,L (-15),0,22:46,5,11,.455,1,5,.200,1,2,.500,0,2,2,2,2,0,3,5,12,4.9,0
2019-10-31,24-230,ATL,HOME,MIA,L (-9),0,25:28,8,13,.615,2,6,.333,5,8,.625,3,5,8,2,0,0,1,4,23,18.3,0
2019-11-05,24-235,ATL,HOME,SAS,W (+8),1,31:32,9,14,.643,0,3,.000,1,2,.500,2,6,8,2,1,0,3,1,19,14.6,+4
2019-11-06,24-236,ATL,HOME,CHI,L (-20),1,29:09,6,12,.500,1,4,.250,5,5,1.000,1,4,5,1,2,1,4,4,18,11.7,-19
2019-11-08,24-238,ATL,HOME,SAC,L (-12),1,32:17,11,18,.611,1,5,.200,2,2,1.000,4,4,8,2,1,1,0,2,25,23.1,-5
2019-11-10,24-240,ATL,AWAY,POR,L (-11),1,36:53,13,23,.565,1,6,.167,0,3,.000,2,9,11,2,2,4,1,6,27,21.8,-16
2019-11-12,24-242,ATL,AWAY,DEN,W (+4),1,33:15,8,18,.444,1,5,.200,3,3,1.000,4,5,9,4,0,0,2,5,20,13.7,+16
2019-11-14,24-244,ATL,AWAY,PHO,L (-16),1,31:46,8,15,.533,2,4,.500,6,8,.750,1,6,7,1,3,0,2,3,24,18.9,+2
2019-11-16,24-246,ATL,AWAY,LAC,L (-49),1,23:41,5,12,.417,1,3,.333,0,0,,4,4,8,1,2,0,2,3,11,8.1,-26
2019-11-17,24-247,ATL,AWAY,LAL,L (-21),1,32:03,5,16,.313,0,3,.000,1,2,.500,2,6,8,1,4,1,1,3,11,7.8,-5
2019-11-20,24-250,ATL,HOME,MIL,L (-8),1,26:39,6,11,.545,2,4,.500,0,0,,1,2,3,3,2,0,2,6,14,9.7,-4
2019-11-22,24-252,ATL,AWAY,DET,L (-25),1,20:36,5,10,.500,1,4,.250,3,3,1.000,2,2,4,3,1,0,2,3,14,10.9,+6
2019-11-23,24-253,ATL,HOME,TOR,L (-3),1,29:07,6,16,.375,0,4,.000,1,1,1.000,2,5,7,5,3,0,1,5,13,10.6,-1
2019-11-25,24-255,ATL,HOME,MIN,L (-12),1,33:44,9,16,.563,1,4,.250,3,4,.750,3,4,7,2,2,0,0,5,22,18.7,-11
2019-11-27,24-257,ATL,AWAY,MIL,L (-9),1,36:49,13,23,.565,3,5,.600,4,7,.571,5,9,14,5,2,1,5,4,33,26.7,+4
2019-11-29,24-259,ATL,AWAY,IND,L (-1),1,31:09,1,8,.125,0,3,.000,2,2,1.000,2,8,10,2,3,0,2,2,4,4.2,-10
2019-11-30,24-260,ATL,AWAY,HOU,L (-47),1,20:08,5,8,.625,1,4,.250,0,0,,0,3,3,2,1,0,2,1,11,8.3,-33
2019-12-02,24-262,ATL,HOME,GSW,W (+25),1,28:05,4,15,.267,0,4,.000,0,0,,2,3,5,1,2,1,0,1,8,4.4,+15
2019-12-04,24-264,ATL,HOME,BRK,L (-12),1,29:23,5,9,.556,0,1,.000,0,0,,0,3,3,0,0,0,3,3,10,2.4,-1
2019-12-08,24-268,ATL,AWAY,CHO,W (+15),1,26:38,7,12,.583,2,3,.667,3,4,.750,0,7,7,1,1,2,4,2,19,13.4,+3
2019-12-10,24-270,ATL,AWAY,MIA,L (-14),1,30:13,6,12,.500,1,4,.250,3,5,.600,0,7,7,2,1,1,0,1,16,14.0,-12
2019-12-11,24-271,ATL,AWAY,CHI,L (-34),1,21:08,5,10,.500,1,2,.500,0,0,,2,5,7,0,1,1,2,2,11,7.8,-9
2019-12-13,24-273,ATL,HOME,IND,L (-10),1,27:25,9,13,.692,1,3,.333,1,2,.500,1,5,6,1,1,0,4,4,20,12.4,-10
2019-12-15,24-275,ATL,HOME,LAL,L (-5),1,26:46,4,10,.400,2,5,.400,2,2,1.000,1,4,5,1,1,1,1,5,12,7.9,-13
2019-12-17,24-277,ATL,AWAY,NYK,L (-23),1,19:00,4,9,.444,0,3,.000,2,2,1.000,2,3,5,2,2,0,2,1,10,8.6,-9
2019-12-19,24-279,ATL,HOME,UTA,L (-5),0,23:58,10,16,.625,1,3,.333,2,2,1.000,2,7,9,5,1,0,2,3,23,20.6,+1
2019-12-21,24-281,ATL,AWAY,BRK,L (-10),0,14:59,2,6,.333,1,3,.333,0,0,,2,2,4,1,0,0,2,2,5,1.5,-9
2019-12-23,24-283,ATL,AWAY,CLE,L (-3),0,15:15,3,6,.500,0,2,.000,1,1,1.000,0,0,0,0,0,0,2,0,7,2.0,-9
2020-01-03,24-294,ATL,AWAY,BOS,L (-3),0,14:59,2,6,.333,0,3,.000,0,0,,2,0,2,3,1,0,0,2,4,4.3,+4
2020-02-20,24-342,SAC,HOME,MEM,W (+4),0,14:37,1,6,.167,0,1,.000,2,2,1.000,0,4,4,2,0,0,0,1,4,2.4,-3
