DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,22-128,GSW,HOME,LAC,L (-19),0,21:43,5,9,.556,4,6,.667,0,0,,1,3,4,1,0,0,0,1,14,11.6,+3
2019-10-27,22-131,GSW,AWAY,OKC,L (-28),0,18:15,0,3,.000,0,2,.000,4,4,1.000,0,0,0,1,0,0,1,1,4,1.2,-13
2019-10-28,22-132,GSW,AWAY,NOP,W (+11),0,3:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
2019-12-09,22-174,GSW,HOME,MEM,L (-8),0,11:13,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,1,2,2,-1.2,+9
2019-12-11,22-176,GSW,HOME,NYK,L (-2),0,5:45,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-2.6,-6
2019-12-13,22-178,GSW,AWAY,UTA,L (-8),0,27:23,4,14,.286,1,1,1.000,4,4,1.000,0,2,2,2,1,2,0,2,13,8.4,+10
2019-12-15,22-180,GSW,HOME,SAC,L (-21),0,19:33,2,3,.667,1,1,1.000,2,2,1.000,0,0,0,1,0,1,2,3,7,3.9,-28
2019-12-18,22-183,GSW,AWAY,POR,L (-10),0,11:41,1,6,.167,0,1,.000,0,0,,1,0,1,1,0,1,0,2,2,-0.5,-2
2019-12-20,22-185,GSW,HOME,NOP,W (+4),0,11:30,0,2,.000,0,1,.000,0,0,,0,1,1,2,1,0,4,3,0,-3.9,-7
2019-12-23,22-188,GSW,HOME,MIN,W (+9),0,10:29,0,6,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,2,1,-4.1,-1
2019-12-25,22-190,GSW,HOME,HOU,W (+12),0,8:21,3,5,.600,1,2,.500,1,1,1.000,0,2,2,1,0,0,2,0,8,5.0,-1
2019-12-27,22-192,GSW,HOME,PHO,W (+9),0,12:01,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.0,-4
2019-12-28,22-193,GSW,HOME,DAL,L (-20),0,15:42,2,6,.333,0,1,.000,0,0,,1,2,3,1,0,0,4,0,4,-1.4,+1
2019-12-31,22-196,GSW,AWAY,SAS,L (-4),0,17:05,0,4,.000,0,2,.000,0,0,,0,2,2,0,0,1,0,1,0,-1.9,-5
2020-01-02,22-198,GSW,AWAY,MIN,L (-15),0,22:49,3,6,.500,0,0,,3,4,.750,0,4,4,1,0,0,0,0,9,7.5,+6
2020-01-04,22-200,GSW,HOME,DET,L (-7),0,19:47,2,5,.400,1,1,1.000,1,2,.500,1,1,2,3,1,0,2,3,6,3.8,+5
2020-01-06,22-202,GSW,AWAY,SAC,L (-13),0,18:53,1,4,.250,0,2,.000,2,2,1.000,0,1,1,0,1,1,2,2,4,0.8,-7
2020-01-08,22-204,GSW,HOME,MIL,L (-9),0,18:50,1,5,.200,0,2,.000,0,0,,0,2,2,2,1,1,3,0,2,-0.4,-10
2020-01-10,22-206,GSW,AWAY,LAC,L (-9),0,11:45,3,8,.375,0,1,.000,1,2,.500,2,1,3,0,1,0,0,2,7,4.1,-4
2020-01-12,22-208,GSW,AWAY,MEM,L (-20),0,17:48,3,9,.333,2,3,.667,0,0,,1,0,1,3,0,0,2,2,8,2.9,-13
2020-01-14,22-210,GSW,HOME,DAL,L (-27),0,7:20,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-4
2020-01-22,22-218,GSW,HOME,UTA,L (-33),0,18:52,2,5,.400,0,2,.000,0,0,,0,0,0,1,1,1,2,2,4,0.9,-9
2020-01-28,22-224,GSW,AWAY,PHI,L (-11),0,7:17,1,2,.500,0,0,,0,0,,0,0,0,2,1,0,0,2,2,2.6,+1
2020-01-30,22-226,GSW,AWAY,BOS,L (-15),0,13:25,2,3,.667,2,2,1.000,2,2,1.000,0,1,1,0,1,1,0,1,8,8.3,-4
2020-02-01,22-228,GSW,AWAY,CLE,W (+19),0,13:46,3,3,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,6,6.4,-13
2020-02-03,22-230,GSW,AWAY,WAS,W (+8),1,25:42,1,8,.125,1,3,.333,4,4,1.000,1,1,2,3,1,3,0,4,7,6.4,-8
2020-02-05,22-232,GSW,AWAY,BRK,L (-41),0,23:43,4,8,.500,0,4,.000,0,0,,1,3,4,4,0,0,0,2,8,7.6,-5
2020-02-08,22-235,MIN,HOME,LAC,W (+27),0,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2020-02-24,22-251,MIN,AWAY,DAL,L (-16),0,3:10,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+10
