DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,23-311,NOP,AWAY,TOR,L (-8),0,12:29,3,3,1.000,0,0,,2,3,.667,2,0,2,0,0,1,1,3,8,6.6,-7
2019-10-25,23-314,NOP,HOME,DAL,L (-7),0,7:08,2,3,.667,0,0,,0,0,,1,2,3,0,0,0,0,1,4,3.6,-2
2019-10-26,23-315,NOP,AWAY,HOU,L (-3),0,11:35,3,4,.750,0,0,,0,0,,1,4,5,2,0,1,0,6,6,6.0,+2
2019-10-28,23-317,NOP,HOME,GSW,L (-11),1,12:18,3,4,.750,0,0,,0,0,,1,4,5,1,1,1,4,3,6,3.5,-5
2019-10-31,23-320,NOP,HOME,DEN,W (+15),1,33:50,8,13,.615,0,0,,10,13,.769,0,5,5,1,2,1,3,3,26,19.6,+19
2019-11-02,23-322,NOP,AWAY,OKC,L (-11),1,29:12,7,14,.500,0,0,,1,3,.333,6,6,12,3,0,2,4,5,15,10.7,+2
2019-11-04,23-324,NOP,AWAY,BRK,L (-10),1,21:27,1,3,.333,0,0,,2,3,.667,2,2,4,1,0,1,1,3,4,3.1,-14
2019-11-08,23-328,NOP,HOME,TOR,L (-18),1,14:40,3,3,1.000,0,0,,0,0,,0,3,3,2,0,3,2,1,6,7.1,-13
2019-11-11,23-331,NOP,HOME,HOU,L (-6),0,16:16,5,7,.714,0,0,,4,6,.667,3,2,5,1,1,0,0,0,14,14.7,-8
2019-11-24,23-344,NOP,AWAY,LAC,L (-25),0,19:11,5,6,.833,0,0,,0,2,.000,3,3,6,2,0,3,0,3,10,12.3,-26
2019-11-27,23-347,NOP,HOME,LAL,L (-4),0,15:03,2,4,.500,0,1,.000,2,2,1.000,2,0,2,0,0,0,2,4,6,1.8,+7
2019-11-29,23-349,NOP,AWAY,OKC,L (-5),0,27:03,5,7,.714,1,1,1.000,3,4,.750,0,7,7,3,0,0,1,3,14,12.7,+12
2019-12-01,23-351,NOP,HOME,OKC,L (-3),1,9:03,2,4,.500,0,0,,0,0,,0,2,2,1,0,0,2,2,4,0.5,-13
2019-12-07,23-357,NOP,AWAY,DAL,L (-46),0,22:42,3,8,.375,0,0,,0,0,,2,1,3,3,1,1,4,4,6,1.5,-20
2019-12-09,23-359,NOP,HOME,DET,L (-2),1,21:51,3,4,.750,0,0,,3,3,1.000,2,4,6,1,0,1,1,4,9,8.8,0
2019-12-11,23-361,NOP,AWAY,MIL,L (-15),1,20:14,1,3,.333,0,0,,0,0,,2,1,3,6,0,0,1,3,2,4.0,-10
2019-12-13,23-363,NOP,AWAY,PHI,L (-7),0,14:39,4,8,.500,0,0,,1,3,.333,2,3,5,2,0,0,0,2,9,7.1,-10
2019-12-18,24-003,NOP,AWAY,MIN,W (+8),0,12:50,3,5,.600,0,0,,0,1,.000,1,5,6,0,0,0,1,1,6,4.1,+10
2019-12-25,24-010,NOP,AWAY,DEN,W (+12),0,10:19,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,3,2,0,-2.8,+1
2019-12-29,24-014,NOP,HOME,HOU,W (+15),0,5:20,3,4,.750,0,0,,0,0,,1,1,2,0,0,0,0,0,6,5.4,+2
2020-01-04,24-020,NOP,AWAY,SAC,W (+2),0,6:50,0,0,,0,0,,2,4,.500,1,3,4,0,0,0,1,2,2,1.0,-7
2020-01-10,24-026,NOP,AWAY,NYK,W (+12),0,7:21,3,3,1.000,0,0,,2,4,.500,0,0,0,0,0,0,2,3,8,3.1,-4
2020-01-11,24-027,NOP,AWAY,BOS,L (-35),0,13:53,3,4,.750,0,0,,2,3,.667,3,1,4,1,0,1,1,1,8,8.4,-14
2020-01-13,24-029,NOP,AWAY,DET,W (+7),1,33:47,11,21,.524,0,0,,3,3,1.000,6,8,14,5,0,3,1,2,25,25.1,+14
2020-01-24,24-040,NOP,HOME,DEN,L (-7),0,3:29,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,4,4.4,-1
2020-02-06,24-053,NOP,AWAY,CHI,W (+6),0,7:03,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4,-17
2020-02-08,24-055,NOP,AWAY,IND,W (+7),0,10:12,2,4,.500,0,0,,0,1,.000,2,2,4,1,2,0,0,0,4,6.3,0
2020-02-25,24-072,NOP,AWAY,LAL,L (-9),0,4:26,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-9
