DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,33-056,UTA,HOME,OKC,W (+5),0,16:34,1,4,.250,1,3,.333,2,4,.500,0,2,2,1,0,1,1,2,5,2.0,-4
2019-10-25,33-058,UTA,AWAY,LAL,L (-9),1,23:23,2,7,.286,1,2,.500,0,0,,0,3,3,1,1,0,3,3,5,-0.7,+2
2019-10-26,33-059,UTA,HOME,SAC,W (+32),0,18:05,3,5,.600,3,4,.750,0,2,.000,0,3,3,1,0,0,1,1,9,6.1,+1
2019-10-28,33-061,UTA,AWAY,PHO,W (+1),0,14:03,2,4,.500,1,1,1.000,3,4,.750,0,1,1,0,0,0,0,2,8,5.1,-7
2019-10-30,33-063,UTA,HOME,LAC,W (+14),0,19:28,3,8,.375,2,4,.500,0,0,,0,1,1,0,3,1,0,1,8,7.2,+8
2019-11-01,33-065,UTA,AWAY,SAC,L (-1),0,22:36,2,6,.333,2,5,.400,2,2,1.000,0,0,0,1,1,0,2,2,8,3.5,+7
2019-11-03,33-067,UTA,AWAY,LAC,L (-11),0,19:04,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,1,0,0,2,0.6,-26
2019-11-06,33-070,UTA,HOME,PHI,W (+2),0,18:33,1,6,.167,1,4,.250,0,0,,0,6,6,0,0,0,1,1,3,-0.4,-13
2019-11-08,33-072,UTA,HOME,MIL,W (+3),0,15:00,1,6,.167,0,4,.000,0,0,,2,0,2,0,0,0,1,3,2,-2.6,+9
2019-11-11,33-075,UTA,AWAY,GSW,W (+14),0,20:45,4,8,.500,2,6,.333,2,2,1.000,0,3,3,1,0,1,1,2,12,8.5,+8
2019-11-12,33-076,UTA,HOME,BRK,W (+5),0,21:50,4,9,.444,3,5,.600,2,2,1.000,1,3,4,0,1,1,2,2,13,8.8,-3
2019-11-15,33-079,UTA,AWAY,MEM,L (-1),0,20:36,0,5,.000,0,2,.000,2,2,1.000,0,1,1,1,1,0,2,1,2,-1.9,-10
2019-11-18,33-082,UTA,HOME,MIN,L (-10),0,17:52,2,8,.250,2,4,.500,5,6,.833,1,3,4,1,0,1,3,3,11,4.6,-9
2019-11-20,33-084,UTA,AWAY,MIN,W (+8),0,15:27,3,8,.375,0,3,.000,4,6,.667,1,2,3,1,0,0,1,3,10,4.6,+3
2019-11-22,33-086,UTA,HOME,GSW,W (+4),0,17:09,2,8,.250,0,4,.000,3,4,.750,0,5,5,0,0,2,0,1,7,4.3,+8
