DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,24-039,PHO,HOME,SAC,W (+29),0,18:19,4,7,.571,3,5,.600,0,0,,0,1,1,3,0,1,1,5,11,7.8,+14
2019-10-25,24-041,PHO,AWAY,DEN,L (-1),0,17:30,2,4,.500,2,3,.667,0,0,,1,1,2,1,0,0,1,3,6,3.5,0
2019-10-26,24-042,PHO,HOME,LAC,W (+8),1,32:46,3,7,.429,2,5,.400,0,0,,0,3,3,6,3,0,4,3,8,7.2,+10
2019-10-28,24-044,PHO,HOME,UTA,L (-1),0,26:32,4,11,.364,3,7,.429,4,4,1.000,0,4,4,3,2,0,3,1,15,10.8,-1
2019-10-30,24-046,PHO,AWAY,GSW,W (+11),0,14:58,0,3,.000,0,1,.000,0,0,,0,2,2,3,1,0,1,4,0,-1.0,-3
2019-11-02,24-049,PHO,AWAY,MEM,W (+9),0,12:45,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,3,0,0,-2.7,-1
2019-11-04,24-051,PHO,HOME,PHI,W (+5),0,10:13,0,2,.000,0,2,.000,0,0,,1,1,2,0,2,0,0,0,0,1.6,-5
2019-11-07,24-054,PHO,HOME,MIA,L (-16),0,14:45,1,3,.333,0,2,.000,0,0,,0,2,2,2,1,1,0,2,2,3.2,-3
2019-11-10,24-057,PHO,HOME,BRK,W (+26),0,5:22,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.7,-1
2019-11-14,24-061,PHO,HOME,ATL,W (+16),0,2:49,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,0
2019-11-18,24-065,PHO,HOME,BOS,L (-14),1,24:27,1,2,.500,1,1,1.000,0,0,,0,2,2,2,1,2,1,2,3,4.6,+15
2019-11-21,24-068,PHO,HOME,NOP,L (-3),0,9:04,3,5,.600,1,3,.333,0,0,,0,3,3,0,1,0,0,0,7,6.6,-3
2019-11-24,24-071,PHO,AWAY,DEN,L (-12),0,6:37,1,2,.500,0,0,,0,0,,1,1,2,3,0,0,1,1,2,2.7,+3
2019-12-02,24-079,PHO,AWAY,CHO,W (+5),0,9:37,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,1,6,4.3,-3
2019-12-04,24-081,PHO,AWAY,ORL,L (-14),0,18:01,0,3,.000,0,1,.000,0,0,,0,2,2,4,1,0,0,2,0,1.5,-9
2019-12-09,24-086,PHO,HOME,MIN,W (+16),0,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2019-12-16,24-093,PHO,HOME,POR,L (-1),0,15:17,1,5,.200,0,2,.000,0,0,,2,2,4,0,0,0,0,1,2,0.5,+10
2019-12-17,24-094,PHO,AWAY,LAC,L (-21),0,23:48,4,10,.400,1,5,.200,0,0,,3,1,4,2,1,0,0,3,9,7.2,-14
2019-12-20,24-097,PHO,AWAY,OKC,L (-18),0,11:58,0,5,.000,0,2,.000,2,2,1.000,2,2,4,1,1,1,0,2,2,2.1,-1
2019-12-23,24-100,PHO,HOME,DEN,L (-2),0,14:10,2,2,1.000,1,1,1.000,0,0,,1,1,2,3,3,0,0,2,5,9.7,+13
2019-12-27,24-104,PHO,AWAY,GSW,L (-9),0,19:22,0,3,.000,0,2,.000,0,2,.000,0,3,3,3,2,0,2,2,0,-0.7,-9
2019-12-28,24-105,PHO,AWAY,SAC,W (+2),0,4:45,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,0
2019-12-30,24-107,PHO,AWAY,POR,W (+6),0,9:07,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-0.1,-14
2020-01-01,24-109,PHO,AWAY,LAL,L (-10),0,3:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.0,-13
2020-01-14,24-122,PHO,AWAY,ATL,L (-13),0,6:22,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,1,0,4,2.7,-1
2020-01-16,24-124,PHO,AWAY,NYK,W (+23),0,7:02,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,3,1.3,-9
2020-01-18,24-126,PHO,AWAY,BOS,W (+4),0,17:10,2,4,.500,2,4,.500,0,0,,0,1,1,0,1,1,1,4,6,3.4,-22
2020-01-20,24-128,PHO,HOME,SAS,L (-2),0,15:36,1,4,.250,1,3,.333,0,0,,0,1,1,1,0,0,0,0,3,1.6,+6
2020-01-22,24-130,PHO,HOME,IND,L (-25),0,19:25,2,5,.400,1,1,1.000,1,1,1.000,1,1,2,0,0,0,0,2,6,3.5,-4
2020-01-24,24-132,PHO,AWAY,SAS,W (+4),0,1:54,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+3
2020-01-26,24-134,PHO,AWAY,MEM,L (-5),0,18:45,3,6,.500,2,4,.500,0,0,,0,0,0,2,3,1,1,4,8,7.5,+1
2020-01-28,24-136,PHO,AWAY,DAL,W (+29),0,16:47,1,4,.250,1,2,.500,0,0,,0,2,2,2,0,0,1,2,3,0.8,0
2020-01-31,24-139,PHO,HOME,OKC,L (-4),0,12:26,1,2,.500,1,1,1.000,2,2,1.000,1,2,3,1,0,1,0,1,5,6.3,+18
