DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-25,24-291,MIN,AWAY,CHO,W (+22),0,4:51,2,2,1.000,0,0,,0,0,,1,4,5,0,0,0,0,1,4,4.9,-3
2019-10-30,24-296,MIN,AWAY,PHI,L (-22),0,12:15,2,4,.500,0,0,,1,1,1.000,2,2,4,0,0,0,3,1,5,1.6,+4
2019-11-02,24-299,MIN,AWAY,WAS,W (+22),0,11:15,1,1,1.000,0,0,,0,0,,0,4,4,2,0,1,4,1,2,0.6,-18
2019-11-04,24-301,MIN,HOME,MIL,L (-28),0,14:31,4,6,.667,0,1,.000,4,4,1.000,2,4,6,3,0,0,2,1,12,11.7,-2
2019-11-15,24-312,MIN,HOME,WAS,L (-21),0,4:44,0,3,.000,0,1,.000,1,2,.500,0,2,2,0,0,0,0,0,1,-0.9,-6
2019-11-16,24-313,MIN,HOME,HOU,L (-20),0,2:31,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,3,0,0,-3.4,-5
2019-11-23,24-320,MIN,HOME,PHO,L (-2),0,17:12,1,1,1.000,0,0,,1,4,.250,4,5,9,1,0,2,0,0,3,7.9,+8
2019-11-25,24-322,MIN,AWAY,ATL,W (+12),0,3:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-5
2019-11-27,24-324,MIN,AWAY,SAS,W (+12),0,2:42,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-1
2019-12-04,24-331,MIN,AWAY,DAL,L (-7),0,5:31,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,1,1,1,2,1.3,+4
2019-12-06,24-333,MIN,AWAY,OKC,L (-12),0,20:55,5,8,.625,0,1,.000,2,6,.333,1,4,5,2,0,0,0,2,12,9.3,+1
2019-12-08,24-335,MIN,AWAY,LAL,L (-17),0,20:11,1,3,.333,0,1,.000,0,0,,2,3,5,0,0,1,1,1,2,1.9,-3
2019-12-09,24-336,MIN,AWAY,PHO,L (-16),0,5:04,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,0,0,2,2.3,0
2019-12-11,24-338,MIN,HOME,UTA,L (-11),0,13:34,2,2,1.000,0,0,,2,2,1.000,3,0,3,0,0,1,0,0,6,8.2,-1
2019-12-13,24-340,MIN,HOME,LAC,L (-7),0,11:01,0,1,.000,0,0,,1,2,.500,0,3,3,2,1,0,0,1,1,2.8,+13
2019-12-18,24-345,MIN,HOME,NOP,L (-8),0,10:47,3,4,.750,0,0,,0,0,,1,0,1,1,1,1,1,2,6,5.7,-6
2019-12-20,24-347,MIN,AWAY,DEN,L (-9),0,16:29,1,4,.250,0,0,,2,2,1.000,4,4,8,1,0,1,0,0,4,7.0,+8
2019-12-23,24-350,MIN,AWAY,GSW,L (-9),0,4:08,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-10
2019-12-30,24-357,MIN,HOME,BRK,W (+7),0,4:21,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,1.0,0
2020-01-01,24-359,MIN,AWAY,MIL,L (-2),0,14:14,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,0,2,3.3,-5
2020-01-02,24-360,MIN,HOME,GSW,W (+15),0,5:19,1,5,.200,0,1,.000,0,0,,3,1,4,0,0,0,1,1,2,-0.1,-9
2020-01-05,24-363,MIN,AWAY,CLE,W (+15),0,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
2020-01-09,25-002,MIN,HOME,POR,W (+14),0,4:53,1,2,.500,1,1,1.000,0,0,,2,1,3,0,0,0,1,0,3,2.7,-4
2020-01-11,25-004,MIN,AWAY,HOU,L (-30),0,7:50,1,1,1.000,0,0,,1,4,.250,0,2,2,1,0,0,0,0,3,2.8,+8
2020-01-18,25-011,MIN,HOME,TOR,L (-10),0,2:40,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,2,3.0,+8
2020-02-01,25-025,MIN,AWAY,LAC,L (-12),0,4:27,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,0.9,+1
2020-02-03,25-027,MIN,AWAY,SAC,L (-4),0,9:10,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,0,2,2,1.9,+13
2020-02-24,25-048,MEM,AWAY,LAC,L (-27),0,15:25,1,4,.250,1,2,.500,2,2,1.000,1,1,2,2,1,0,3,1,5,2.6,+1
2020-02-26,25-050,MEM,AWAY,HOU,L (-28),0,5:57,2,3,.667,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,5,4.0,-1
