DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,26-038,PHI,HOME,BOS,W (+14),1,33:06,4,12,.333,0,4,.000,9,9,1.000,2,4,6,2,1,2,2,4,17,13.0,+22
2019-10-26,26-041,PHI,AWAY,DET,W (+6),1,37:03,4,12,.333,0,4,.000,2,2,1.000,0,1,1,6,2,0,3,2,10,5.9,+10
2019-10-28,26-043,PHI,AWAY,ATL,W (+2),1,30:49,6,14,.429,2,5,.400,0,0,,1,4,5,3,0,3,3,5,14,7.7,+12
2019-10-30,26-045,PHI,HOME,MIN,W (+22),1,31:31,4,10,.400,2,4,.500,2,4,.500,1,3,4,1,4,0,3,2,12,8.3,+11
2019-11-02,26-048,PHI,AWAY,POR,W (+1),1,35:51,7,15,.467,1,6,.167,2,2,1.000,1,3,4,6,1,1,5,3,17,10.6,+5
2019-11-04,26-050,PHI,AWAY,PHO,L (-5),1,38:25,3,11,.273,1,4,.250,1,2,.500,0,3,3,5,0,0,4,4,8,-0.1,-1
2019-11-06,26-052,PHI,AWAY,UTA,L (-2),1,34:41,8,13,.615,2,6,.333,6,6,1.000,1,3,4,4,3,0,1,3,24,23.3,+11
2019-11-08,26-054,PHI,AWAY,DEN,L (-3),1,32:10,3,10,.300,1,2,.500,0,0,,0,0,0,5,2,1,2,1,7,5.0,-2
2019-11-10,26-056,PHI,HOME,CHO,W (+8),1,32:29,4,9,.444,3,6,.500,0,0,,1,6,7,6,1,0,3,3,11,9.8,+20
2019-11-12,26-058,PHI,HOME,CLE,W (+1),1,34:11,7,17,.412,1,8,.125,2,2,1.000,0,1,1,5,1,0,3,2,17,8.9,+2
2019-11-13,26-059,PHI,AWAY,ORL,L (-15),1,29:49,7,14,.500,2,4,.500,3,5,.600,0,6,6,5,1,0,2,4,19,13.9,-8
2019-11-15,26-061,PHI,AWAY,OKC,L (-8),1,33:50,10,15,.667,3,6,.500,5,6,.833,1,2,3,2,1,0,4,5,28,18.8,-12
2019-11-17,26-063,PHI,AWAY,CLE,W (+19),1,28:36,2,12,.167,2,5,.400,2,2,1.000,1,3,4,0,0,1,0,3,8,1.5,+10
2019-11-23,26-069,PHI,HOME,MIA,W (+27),1,25:32,11,15,.733,6,7,.857,4,5,.800,0,1,1,4,1,0,0,4,32,28.0,+33
2019-11-25,26-071,PHI,AWAY,TOR,L (-5),1,36:43,9,19,.474,5,9,.556,2,5,.400,1,5,6,1,0,1,1,1,25,16.3,-5
2019-11-27,26-073,PHI,HOME,SAC,W (+6),1,17:14,4,6,.667,1,3,.333,0,0,,0,0,0,3,0,1,1,1,9,7.8,0
2019-12-10,26-086,PHI,HOME,DEN,W (+5),1,19:07,1,8,.125,1,3,.333,0,0,,1,0,1,0,1,0,0,1,3,-0.9,-11
2019-12-12,26-088,PHI,AWAY,BOS,W (+6),1,25:51,5,11,.455,2,3,.667,2,2,1.000,0,2,2,2,2,2,1,1,14,12.3,+1
2019-12-13,26-089,PHI,HOME,NOP,W (+7),1,26:06,4,10,.400,0,1,.000,0,2,.000,2,3,5,0,0,0,1,2,8,2.3,+4
2019-12-15,26-091,PHI,AWAY,BRK,L (-20),1,24:09,5,15,.333,0,4,.000,1,2,.500,2,2,4,0,1,0,3,5,11,0.1,-9
2019-12-18,26-094,PHI,HOME,MIA,L (-4),1,36:39,6,17,.353,3,10,.300,2,2,1.000,3,2,5,6,0,1,2,3,17,11.9,+3
2019-12-20,26-096,PHI,HOME,DAL,L (-19),1,32:31,4,8,.500,2,5,.400,0,0,,1,5,6,4,2,0,3,2,10,9.2,+6
2019-12-21,26-097,PHI,HOME,WAS,W (+17),1,32:00,9,17,.529,1,5,.200,2,2,1.000,1,1,2,3,0,0,2,3,21,12.6,+5
2019-12-23,26-099,PHI,AWAY,DET,W (+16),1,33:00,4,11,.364,0,4,.000,1,2,.500,0,2,2,3,1,2,3,4,9,3.0,-5
2019-12-25,26-101,PHI,HOME,MIL,W (+12),1,36:52,7,20,.350,4,11,.364,0,0,,3,2,5,4,1,1,1,1,18,12.6,+4
2019-12-27,26-103,PHI,AWAY,ORL,L (-1),1,36:12,6,13,.462,1,1,1.000,2,2,1.000,1,2,3,6,3,1,2,3,15,14.3,+2
2019-12-28,26-104,PHI,AWAY,MIA,L (-1),1,40:28,5,10,.500,3,5,.600,4,7,.571,0,5,5,2,0,1,3,4,17,9.8,+10
2019-12-31,26-107,PHI,AWAY,IND,L (-18),1,29:57,7,14,.500,1,6,.167,5,5,1.000,0,2,2,5,2,1,1,1,20,18.4,-29
2020-01-03,26-110,PHI,AWAY,HOU,L (-10),1,38:32,2,10,.200,2,6,.333,1,2,.500,0,0,0,8,1,0,3,3,7,2.8,-10
2020-01-06,26-113,PHI,HOME,OKC,W (+7),1,36:53,9,17,.529,2,4,.500,3,4,.750,0,2,2,4,1,0,1,5,23,15.7,+4
2020-01-09,26-116,PHI,HOME,BOS,W (+11),1,33:50,9,16,.563,1,5,.200,10,10,1.000,0,3,3,7,0,0,2,2,29,24.4,+15
2020-01-11,26-118,PHI,AWAY,DAL,L (-18),1,34:11,6,14,.429,2,6,.333,2,2,1.000,1,1,2,0,0,0,3,2,16,5.8,-27
2020-01-13,26-120,PHI,AWAY,IND,L (-6),1,35:30,8,19,.421,1,8,.125,6,7,.857,2,2,4,3,0,0,1,4,23,14.0,-4
2020-01-15,26-122,PHI,HOME,BRK,W (+11),1,36:41,5,12,.417,1,4,.250,4,4,1.000,1,4,5,2,1,3,2,2,15,12.2,+7
2020-01-17,26-124,PHI,HOME,CHI,W (+11),1,27:18,1,6,.167,0,2,.000,0,0,,1,6,7,4,0,0,1,2,2,1.7,-5
2020-01-18,26-125,PHI,AWAY,NYK,W (+3),1,34:11,7,15,.467,1,5,.200,3,3,1.000,0,3,3,4,2,1,7,2,18,8.9,+17
2020-01-20,26-127,PHI,AWAY,BRK,W (+6),1,32:09,6,12,.500,1,2,.500,2,2,1.000,1,1,2,4,1,0,1,2,15,12.0,-10
2020-01-22,26-129,PHI,AWAY,TOR,L (-12),1,3:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
2020-02-07,26-145,PHI,HOME,MEM,W (+12),0,14:57,2,7,.286,0,1,.000,0,0,,1,1,2,0,0,1,4,3,4,-3.6,-3
2020-02-09,26-147,PHI,HOME,CHI,W (+7),0,19:08,1,2,.500,0,0,,1,4,.250,0,0,0,2,1,0,1,3,3,1.0,+9
2020-02-11,26-149,PHI,HOME,LAC,W (+7),1,31:32,8,15,.533,3,5,.600,2,3,.667,1,4,5,1,0,2,1,0,21,16.3,+24
2020-02-20,26-158,PHI,HOME,BRK,W (+8),1,38:56,3,12,.250,1,6,.167,0,0,,2,5,7,3,3,1,3,5,7,3.5,+16
2020-02-22,26-160,PHI,AWAY,MIL,L (-21),1,26:36,4,10,.400,1,4,.250,0,0,,0,1,1,1,1,0,0,1,9,5.2,-17
2020-02-24,26-162,PHI,HOME,ATL,W (+17),1,38:55,4,12,.333,1,3,.333,4,4,1.000,2,4,6,3,0,1,1,3,13,9.4,+9
2020-02-26,26-164,PHI,AWAY,CLE,L (-14),1,32:12,4,12,.333,1,5,.200,0,1,.000,0,7,7,4,2,2,1,0,9,9.1,-13
2020-02-27,26-165,PHI,HOME,NYK,W (+9),1,34:10,5,13,.385,0,4,.000,1,2,.500,1,6,7,3,1,2,0,2,11,9.7,-5
2020-03-01,26-168,PHI,AWAY,LAC,L (-6),1,10:17,4,6,.667,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,9,7.4,+5
2020-03-11,26-178,PHI,HOME,DET,W (+18),1,29:43,2,6,.333,1,2,.500,3,4,.750,0,1,1,1,0,2,0,2,8,5.8,+11
