DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,30-201,IND,HOME,DET,L (-9),0,14:34,0,2,.000,0,1,.000,0,0,,0,0,0,2,1,0,0,3,0,-0.2,-8
2019-10-26,30-204,IND,AWAY,CLE,L (-11),0,24:07,4,10,.400,2,7,.286,0,0,,2,3,5,2,2,0,0,5,10,8.3,-1
2019-10-28,30-206,IND,AWAY,DET,L (-2),0,22:49,2,5,.400,2,4,.500,0,0,,0,6,6,1,1,2,1,3,6,6.0,-9
2019-10-30,30-208,IND,AWAY,BRK,W (+10),0,24:22,2,4,.500,1,3,.333,0,0,,1,6,7,1,1,0,0,0,5,7.2,+13
2019-11-01,30-210,IND,HOME,CLE,W (+7),0,22:57,3,6,.500,2,4,.500,0,0,,0,4,4,1,1,1,1,1,8,7.2,+7
2019-11-03,30-212,IND,HOME,CHI,W (+13),0,27:54,2,8,.250,1,6,.167,0,0,,0,3,3,0,0,1,1,2,5,0.0,+6
2019-11-05,30-214,IND,AWAY,CHO,L (-2),0,24:05,2,6,.333,1,2,.500,0,0,,0,2,2,3,0,0,1,2,5,2.5,-13
2019-11-06,30-215,IND,HOME,WAS,W (+15),0,16:28,1,8,.125,1,5,.200,0,2,.000,0,2,2,1,0,1,1,1,3,-2.4,-6
2019-11-08,30-217,IND,HOME,DET,W (+6),0,30:36,4,7,.571,2,5,.400,6,7,.857,0,6,6,0,0,4,1,2,16,15.1,+3
2019-11-10,30-219,IND,AWAY,ORL,W (+7),0,22:15,2,2,1.000,1,1,1.000,0,0,,0,2,2,2,1,0,1,1,5,6.0,+10
2019-11-12,30-221,IND,HOME,OKC,W (+26),0,28:32,0,6,.000,0,4,.000,3,3,1.000,2,4,6,1,0,0,0,2,3,1.3,+13
2019-11-15,30-224,IND,AWAY,HOU,L (-9),0,39:03,4,13,.308,2,11,.182,0,0,,0,5,5,3,0,0,0,2,10,5.3,-10
2019-11-16,30-225,IND,HOME,MIL,L (-19),1,34:06,4,9,.444,1,4,.250,0,0,,2,2,4,2,1,0,1,2,9,6.9,-22
2019-11-18,30-227,IND,AWAY,BRK,W (+29),1,32:00,6,11,.545,4,6,.667,4,4,1.000,0,4,4,2,2,0,1,5,20,16.3,+14
2019-11-23,30-232,IND,HOME,ORL,W (+5),0,24:51,3,5,.600,2,3,.667,4,5,.800,0,3,3,6,2,1,0,0,12,17.1,+16
2019-11-25,30-234,IND,HOME,MEM,W (+12),0,14:44,3,7,.429,3,5,.600,0,0,,1,1,2,2,0,0,0,0,9,7.7,+13
2019-11-27,30-236,IND,HOME,UTA,W (+19),0,21:23,1,1,1.000,0,0,,2,2,1.000,0,4,4,1,0,0,1,1,4,4.2,+5
2019-11-29,30-238,IND,HOME,ATL,W (+1),0,23:13,2,7,.286,1,3,.333,0,0,,0,6,6,1,6,1,1,1,5,8.7,-5
2019-11-30,30-239,IND,AWAY,PHI,L (-3),0,27:32,4,5,.800,2,3,.667,0,0,,0,1,1,1,2,2,0,2,10,11.7,+1
2019-12-02,30-241,IND,AWAY,MEM,W (+13),0,29:14,5,7,.714,5,6,.833,0,0,,0,3,3,1,0,0,2,1,15,11.3,+7
2019-12-04,30-243,IND,AWAY,OKC,W (+7),0,28:47,5,9,.556,2,3,.667,0,0,,0,5,5,1,1,0,0,2,12,10.1,0
2019-12-06,30-245,IND,AWAY,DET,L (-7),0,24:51,1,2,.500,0,1,.000,0,0,,0,3,3,0,1,3,1,0,2,4.0,-7
2019-12-07,30-246,IND,AWAY,NYK,W (+1),0,21:01,2,5,.400,2,3,.667,0,0,,1,2,3,2,1,0,1,1,6,5.6,+8
2019-12-09,30-248,IND,HOME,LAC,L (-11),0,22:44,1,9,.111,1,6,.167,0,0,,3,2,5,2,1,0,0,2,3,1.4,-7
2019-12-11,30-250,IND,HOME,BOS,W (+5),0,32:18,7,14,.500,3,6,.500,0,0,,0,6,6,0,3,0,1,3,17,12.6,-1
2019-12-13,30-252,IND,AWAY,ATL,W (+10),0,22:07,1,5,.200,0,4,.000,0,0,,1,3,4,1,1,0,0,1,2,1.8,+8
2019-12-15,30-254,IND,HOME,CHO,W (+22),0,21:49,4,8,.500,1,4,.250,0,0,,0,2,2,1,2,0,0,1,9,7.9,+16
2019-12-17,30-256,IND,HOME,LAL,W (+3),0,25:57,2,8,.250,1,4,.250,1,2,.500,0,7,7,2,0,0,0,2,6,3.5,+4
2019-12-20,30-259,IND,HOME,SAC,W (+14),0,23:23,3,8,.375,2,6,.333,0,0,,1,2,3,3,1,2,0,1,8,9.0,+9
2019-12-22,30-261,IND,AWAY,MIL,L (-28),0,23:38,1,5,.200,1,4,.250,0,0,,0,2,2,1,1,0,1,1,3,0.8,-22
2019-12-23,30-262,IND,HOME,TOR,W (+5),0,20:12,1,5,.200,1,4,.250,0,0,,2,1,3,1,1,0,0,1,3,2.9,-3
2019-12-27,30-266,IND,AWAY,MIA,L (-1),0,30:15,4,8,.500,3,6,.500,0,0,,0,1,1,1,2,0,0,1,11,9.6,-2
2019-12-28,30-267,IND,AWAY,NOP,L (-22),0,27:29,0,4,.000,0,3,.000,0,0,,0,1,1,0,0,0,1,1,0,-3.9,-16
2019-12-31,30-270,IND,HOME,PHI,W (+18),0,28:46,2,5,.400,2,4,.500,4,4,1.000,0,1,1,1,1,1,0,3,10,8.8,+21
2020-01-02,30-272,IND,HOME,DEN,L (-8),0,22:25,2,6,.333,2,6,.333,0,0,,0,2,2,1,1,1,1,2,6,3.8,-17
2020-01-04,30-274,IND,AWAY,ATL,L (-5),0,30:11,6,9,.667,4,6,.667,2,2,1.000,0,4,4,1,2,0,0,1,18,17.6,0
2020-01-06,30-276,IND,AWAY,CHO,W (+11),0,15:00,3,4,.750,3,4,.750,0,0,,0,0,0,2,0,0,2,5,9,4.8,+5
2020-01-08,30-278,IND,HOME,MIA,L (-14),0,24:11,5,7,.714,3,5,.600,1,2,.500,1,3,4,2,1,0,0,2,14,13.9,-12
2020-01-10,30-280,IND,AWAY,CHI,W (+11),0,26:42,3,10,.300,3,7,.429,0,0,,0,1,1,6,1,0,1,3,9,6.5,+1
2020-01-13,30-283,IND,HOME,PHI,W (+6),0,27:55,5,10,.500,4,6,.667,0,0,,0,3,3,0,0,1,0,2,14,9.8,+11
2020-01-15,30-285,IND,AWAY,MIN,W (+5),0,31:39,2,5,.400,2,4,.500,0,0,,0,5,5,0,0,1,1,0,6,4.5,-4
2020-01-17,30-287,IND,HOME,MIN,W (+2),0,26:20,1,4,.250,1,3,.333,0,0,,0,2,2,3,0,1,0,0,3,4.0,-3
2020-01-19,30-289,IND,AWAY,DEN,W (+8),0,25:20,4,8,.500,3,7,.429,3,4,.750,0,4,4,0,0,1,0,4,14,9.9,+4
2020-01-20,30-290,IND,AWAY,UTA,L (-30),0,25:04,4,7,.571,1,2,.500,0,1,.000,1,2,3,0,3,5,0,2,9,12.3,-6
2020-01-22,30-292,IND,AWAY,PHO,W (+25),0,25:08,4,6,.667,3,4,.750,0,0,,0,3,3,1,0,0,1,2,11,8.2,+9
2020-01-24,30-294,IND,AWAY,GSW,W (+11),0,22:10,3,7,.429,2,6,.333,0,0,,0,3,3,4,2,0,0,2,8,9.2,+20
2020-01-26,30-296,IND,AWAY,POR,L (-10),0,21:41,4,9,.444,2,6,.333,1,1,1.000,0,4,4,1,2,0,0,1,11,9.8,+3
2020-01-29,30-299,IND,HOME,CHI,W (+9),0,28:36,4,6,.667,3,4,.750,2,2,1.000,2,2,4,3,1,0,1,1,13,14.1,+14
2020-02-01,30-302,IND,HOME,NYK,L (-7),0,25:55,2,3,.667,1,2,.500,0,2,.000,1,1,2,0,0,1,1,4,5,2.0,-2
2020-02-03,30-304,IND,HOME,DAL,L (-9),0,25:54,2,4,.500,1,3,.333,1,2,.500,1,2,3,1,2,0,0,0,6,7.6,+8
2020-02-05,30-306,IND,AWAY,TOR,L (-1),0,31:06,7,12,.583,6,9,.667,2,2,1.000,2,3,5,3,3,1,0,3,22,23.3,+9
2020-02-07,30-308,IND,HOME,TOR,L (-9),0,25:44,5,7,.714,2,4,.500,0,0,,1,3,4,1,0,3,0,3,12,12.3,0
2020-02-08,30-309,IND,HOME,NOP,L (-7),0,22:03,2,6,.333,1,4,.250,2,2,1.000,0,1,1,0,1,0,1,4,7,2.3,-6
2020-02-10,30-311,IND,HOME,BRK,L (-1),0,29:29,0,5,.000,0,4,.000,0,0,,3,4,7,1,0,1,1,0,0,0.2,0
2020-02-12,30-313,IND,HOME,MIL,W (+7),0,24:49,1,3,.333,1,3,.333,3,3,1.000,1,0,1,2,2,0,1,2,6,6.6,+10
2020-02-21,30-322,IND,AWAY,NYK,W (+8),0,24:45,2,6,.333,2,5,.400,0,0,,0,2,2,1,0,2,0,3,6,4.1,-3
2020-02-23,30-324,IND,AWAY,TOR,L (-46),0,26:44,4,8,.500,4,7,.571,0,2,.000,0,0,0,1,3,0,3,1,12,7.5,-23
2020-02-25,30-326,IND,HOME,CHO,W (+39),0,23:18,6,12,.500,2,7,.286,2,2,1.000,0,3,3,3,2,1,0,0,16,15.7,+13
2020-02-27,30-328,IND,HOME,POR,W (+6),0,23:30,3,5,.600,3,3,1.000,2,2,1.000,0,2,2,1,1,0,1,2,11,9.2,+12
2020-02-29,30-330,IND,AWAY,CLE,W (+9),0,14:18,1,3,.333,0,2,.000,0,0,,0,3,3,0,3,0,1,4,2,1.6,-5
2020-03-02,30-332,IND,AWAY,SAS,W (+5),0,21:21,4,7,.571,3,5,.600,0,0,,1,0,1,0,3,0,1,2,11,9.6,-13
2020-03-04,30-334,IND,AWAY,MIL,L (-19),0,18:51,2,9,.222,0,4,.000,0,0,,0,3,3,0,4,0,1,2,4,1.6,+8
2020-03-06,30-336,IND,AWAY,CHI,W (+6),0,25:25,3,7,.429,2,5,.400,1,1,1.000,0,3,3,0,1,1,2,2,9,5.1,-6
2020-03-08,30-338,IND,AWAY,DAL,W (+3),0,22:24,5,6,.833,4,5,.800,0,0,,0,1,1,0,0,1,2,2,14,10.0,-6
2020-03-10,30-340,IND,HOME,BOS,L (-3),0,21:02,3,7,.429,2,5,.400,0,0,,0,2,2,0,1,2,0,2,8,6.5,-11
