DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-12-02,26-321,NYK,AWAY,MIL,L (-44),0,15:32,3,6,.500,3,4,.750,0,0,,0,0,0,2,1,0,1,1,9,7.0,-5
2019-12-26,26-345,NYK,AWAY,BRK,W (+12),0,2:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-6
2020-01-05,26-355,NYK,AWAY,LAC,L (-3),0,19:38,4,9,.444,0,0,,1,3,.333,1,2,3,6,1,0,3,1,9,6.6,-3
2020-01-07,26-357,NYK,AWAY,LAL,L (-30),0,4:30,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-4
2020-01-08,26-358,NYK,AWAY,UTA,L (-24),0,4:59,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,0,0,2,2.4,-1
2020-01-10,26-360,NYK,HOME,NOP,L (-12),0,2:34,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.7,+2
2020-01-12,26-362,NYK,HOME,MIA,W (+3),0,16:45,4,7,.571,1,2,.500,1,1,1.000,1,1,2,1,1,1,0,0,10,10.1,+1
2020-01-14,26-364,NYK,AWAY,MIL,L (-26),0,24:09,3,9,.333,0,3,.000,3,4,.750,0,3,3,6,1,1,2,3,9,7.1,-12
2020-01-16,27-001,NYK,HOME,PHO,L (-23),0,5:47,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,1,1,3,-0.1,-3
2020-02-01,27-017,NYK,AWAY,IND,W (+7),0,20:58,2,2,1.000,0,0,,2,3,.667,0,1,1,2,1,0,0,0,6,7.7,+10
