DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,28-187,MIA,HOME,MEM,W (+19),0,22:13,1,3,.333,1,1,1.000,4,4,1.000,1,7,8,0,1,2,2,4,7,6.9,+21
2019-10-26,28-190,MIA,AWAY,MIL,W (+5),0,27:40,5,11,.455,4,9,.444,0,0,,1,3,4,5,1,0,3,6,14,9.0,+15
2019-10-27,28-191,MIA,AWAY,MIN,L (-7),0,13:01,1,5,.200,0,3,.000,0,0,,1,1,2,1,0,0,1,1,2,-0.8,-10
2019-10-29,28-193,MIA,HOME,ATL,W (+15),0,18:05,0,5,.000,0,5,.000,0,0,,1,2,3,0,1,0,3,4,0,-5.8,-1
2019-10-31,28-195,MIA,AWAY,ATL,W (+9),0,22:01,2,8,.250,1,6,.167,1,2,.500,3,3,6,2,1,1,0,1,6,6.5,-10
2019-11-03,28-198,MIA,HOME,HOU,W (+29),0,14:13,2,4,.500,0,0,,2,2,1.000,0,8,8,3,1,1,1,4,6,7.6,+9
2019-11-05,28-200,MIA,AWAY,DEN,L (-20),0,23:47,4,8,.500,4,5,.800,1,2,.500,1,6,7,1,2,1,0,4,13,12.9,-8
2019-11-07,28-202,MIA,AWAY,PHO,W (+16),0,23:37,3,6,.500,1,3,.333,0,0,,0,5,5,3,2,0,2,5,7,5.6,+15
2019-11-08,28-203,MIA,AWAY,LAL,L (-15),0,29:59,3,11,.273,1,6,.167,1,2,.500,0,3,3,0,0,0,2,4,8,-1.6,-4
2019-11-12,28-207,MIA,HOME,DET,W (+9),0,29:08,4,7,.571,3,4,.750,2,2,1.000,0,3,3,5,1,0,0,4,13,13.5,+14
2019-11-14,28-209,MIA,AWAY,CLE,W (+11),0,13:58,1,4,.250,1,3,.333,0,0,,0,3,3,0,2,1,0,3,3,3.0,-10
2019-11-16,28-211,MIA,HOME,NOP,W (+15),0,28:20,5,7,.714,3,5,.600,0,0,,1,4,5,0,3,0,2,0,13,13.0,+6
2019-11-20,28-215,MIA,HOME,CLE,W (+24),0,24:29,3,7,.429,2,5,.400,2,2,1.000,1,5,6,2,1,0,1,2,10,9.1,+5
2019-11-22,28-217,MIA,AWAY,CHI,W (+8),0,23:29,3,6,.500,2,4,.500,2,2,1.000,1,3,4,1,0,1,1,0,10,9.0,+11
2019-11-23,28-218,MIA,AWAY,PHI,L (-27),0,31:16,2,2,1.000,1,1,1.000,0,0,,1,6,7,2,0,0,1,0,5,7.3,+3
2019-11-25,28-220,MIA,HOME,CHO,W (+17),0,31:59,5,8,.625,4,5,.800,1,1,1.000,3,13,16,1,2,0,4,0,15,16.1,+10
2019-11-27,28-222,MIA,AWAY,HOU,L (-9),0,24:22,7,10,.700,2,3,.667,3,3,1.000,3,3,6,1,0,0,3,2,19,14.7,+14
2019-11-29,28-224,MIA,HOME,GSW,W (+17),0,24:52,6,9,.667,1,2,.500,2,2,1.000,0,2,2,1,1,0,1,4,15,10.8,+8
2019-12-01,28-226,MIA,AWAY,BRK,W (+3),0,6:01,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9
2019-12-03,28-228,MIA,AWAY,TOR,W (+11),0,35:27,6,12,.500,3,7,.429,1,2,.500,1,5,6,1,1,2,1,5,16,11.9,+3
2019-12-04,28-229,MIA,AWAY,BOS,L (-19),0,27:48,4,8,.500,1,5,.200,3,3,1.000,2,2,4,2,1,0,1,4,12,9.8,-8
2019-12-06,28-231,MIA,HOME,WAS,W (+9),0,16:58,2,5,.400,2,3,.667,4,4,1.000,1,2,3,0,0,0,2,4,10,5.0,-8
2019-12-08,28-233,MIA,HOME,CHI,W (+5),0,24:54,1,4,.250,1,3,.333,0,0,,0,2,2,0,1,0,1,2,3,0.4,+1
2019-12-10,28-235,MIA,HOME,ATL,W (+14),0,17:01,0,5,.000,0,3,.000,2,2,1.000,1,3,4,1,0,0,1,2,2,-1.0,-20
2019-12-13,28-238,MIA,HOME,LAL,L (-3),0,21:00,4,8,.500,1,4,.250,6,7,.857,1,5,6,3,0,0,1,5,15,11.9,+8
2019-12-14,28-239,MIA,AWAY,DAL,W (+4),0,27:00,5,6,.833,3,4,.750,4,4,1.000,1,7,8,1,1,0,0,1,17,18.9,-4
2019-12-16,28-241,MIA,AWAY,MEM,L (-7),0,17:35,0,3,.000,0,1,.000,0,0,,0,3,3,1,0,1,0,3,0,-1.0,-6
2019-12-18,28-243,MIA,AWAY,PHI,W (+4),0,7:32,1,2,.500,0,1,.000,0,0,,0,3,3,0,0,0,1,1,2,0.5,+1
2019-12-20,28-245,MIA,HOME,NYK,W (+15),0,26:18,2,6,.333,2,5,.400,4,5,.800,0,10,10,3,0,0,3,5,10,6.3,-13
2019-12-23,28-248,MIA,HOME,UTA,W (+3),0,7:54,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,1,1,3,0.9,+1
2019-12-27,28-252,MIA,HOME,IND,W (+1),0,16:41,3,4,.750,3,3,1.000,0,0,,0,5,5,0,1,0,0,2,9,9.1,+12
2019-12-28,28-253,MIA,HOME,PHI,W (+1),0,6:34,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,1,0,0.3,-16
2019-12-30,28-255,MIA,AWAY,WAS,L (-18),0,2:38,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-0.9,+1
2020-01-02,28-258,MIA,HOME,TOR,W (+8),0,3:29,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5
2020-01-03,28-259,MIA,AWAY,ORL,L (-20),0,12:01,2,8,.250,1,5,.200,0,0,,2,1,3,0,0,0,1,4,5,-0.7,-8
2020-01-15,28-271,MIA,HOME,SAS,W (+6),0,8:42,0,2,.000,0,1,.000,0,0,,0,3,3,3,0,0,1,0,0,0.6,-2
2020-01-17,28-273,MIA,AWAY,OKC,W (+7),0,17:45,5,5,1.000,1,1,1.000,1,2,.500,1,6,7,2,0,0,2,4,12,10.4,+2
2020-01-19,28-275,MIA,AWAY,SAS,L (-5),0,7:29,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-0.4,-13
2020-01-20,28-276,MIA,HOME,SAC,W (+5),0,18:19,2,4,.500,0,2,.000,1,1,1.000,0,6,6,1,1,0,0,2,5,5.7,-5
2020-01-22,28-278,MIA,HOME,WAS,W (+5),0,21:01,5,7,.714,2,3,.667,2,2,1.000,1,4,5,2,1,0,0,2,14,14.6,+6
2020-01-24,28-280,MIA,HOME,LAC,L (-5),0,22:16,6,11,.545,2,6,.333,5,5,1.000,1,8,9,2,0,0,0,2,19,17.4,+6
2020-01-27,28-283,MIA,HOME,ORL,W (+21),0,24:46,2,6,.333,0,1,.000,4,5,.800,0,3,3,2,0,3,0,4,8,7.0,+2
2020-02-03,28-290,MIA,HOME,PHI,W (+31),0,23:49,3,6,.500,1,4,.250,0,0,,0,4,4,0,0,1,2,1,7,3.5,+23
2020-02-05,28-292,MIA,AWAY,LAC,L (-17),1,22:17,2,6,.333,2,4,.500,1,2,.500,1,6,7,1,0,0,1,2,7,4.6,-19
2020-02-07,28-294,MIA,AWAY,SAC,L (-8),1,18:38,1,5,.200,0,4,.000,0,0,,1,5,6,2,1,0,1,0,2,2.5,-9
2020-02-09,28-296,MIA,AWAY,POR,L (-6),1,13:07,2,4,.500,1,3,.333,1,1,1.000,0,3,3,2,1,0,2,4,6,3.7,-15
2020-02-10,28-297,MIA,AWAY,GSW,W (+12),0,20:40,5,9,.556,2,4,.500,0,0,,0,6,6,11,1,1,2,3,12,15.7,+28
2020-02-12,28-299,MIA,AWAY,UTA,L (-15),0,11:26,0,3,.000,0,2,.000,0,0,,0,2,2,0,1,0,0,2,0,-1.3,+9
2020-02-20,28-307,MIA,AWAY,ATL,L (-5),0,11:44,2,5,.400,1,2,.500,0,0,,0,3,3,1,1,1,3,5,5,0.6,-17
2020-02-22,28-309,MIA,HOME,CLE,W (+19),1,26:15,5,7,.714,4,6,.667,3,4,.750,0,2,2,2,2,1,1,2,17,16.6,+19
2020-02-24,28-311,MIA,AWAY,CLE,L (-6),1,14:43,2,5,.400,2,4,.500,0,0,,0,5,5,4,1,0,2,2,6,5.8,+12
2020-02-26,28-313,MIA,HOME,MIN,L (-3),1,16:24,4,4,1.000,3,3,1.000,0,0,,0,8,8,1,2,1,1,1,11,14.2,+2
2020-02-28,28-315,MIA,HOME,DAL,W (+8),0,18:45,5,8,.625,3,4,.750,0,2,.000,2,5,7,9,0,0,1,3,13,15.6,+20
2020-02-29,28-316,MIA,HOME,BRK,W (+3),0,15:45,2,4,.500,1,2,.500,2,2,1.000,1,1,2,2,0,0,0,4,7,5.8,+1
2020-03-02,28-318,MIA,HOME,MIL,W (+16),0,10:40,3,4,.750,3,3,1.000,2,2,1.000,0,1,1,2,1,0,2,5,11,8.1,+3
2020-03-04,28-320,MIA,HOME,ORL,W (+3),0,16:17,5,5,1.000,3,3,1.000,3,3,1.000,0,5,5,2,0,0,0,2,16,16.6,+9
2020-03-06,28-322,MIA,AWAY,NOP,L (-6),0,10:07,0,2,.000,0,0,,0,0,,1,2,3,3,0,0,0,2,0,1.2,-1
2020-03-08,28-324,MIA,AWAY,WAS,W (+11),0,9:36,1,2,.500,0,1,.000,0,0,,0,3,3,1,0,0,1,1,2,1.2,-4
2020-03-11,28-327,MIA,HOME,CHO,L (-11),0,5:21,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,0,1,0,2,-1.4,+6
