DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,29-168,BOS,AWAY,PHI,L (-14),1,34:15,4,18,.222,1,6,.167,3,4,.750,2,0,2,2,0,0,3,4,12,-1.2,-16
2019-10-25,29-170,BOS,HOME,TOR,W (+6),1,36:13,8,22,.364,2,8,.250,4,4,1.000,3,3,6,2,2,2,2,3,22,14.4,+7
2019-10-26,29-171,BOS,AWAY,NYK,W (+23),1,30:21,11,17,.647,7,12,.583,3,4,.750,3,3,6,4,2,0,0,2,32,31.1,+13
2019-10-30,29-175,BOS,HOME,MIL,W (+11),1,38:08,7,19,.368,4,11,.364,14,15,.933,1,5,6,6,0,0,3,2,32,23.7,+8
2019-11-01,29-177,BOS,HOME,NYK,W (+2),1,35:37,8,19,.421,3,9,.333,14,14,1.000,0,6,6,5,1,0,3,0,33,26.2,+4
2019-11-05,29-181,BOS,AWAY,CLE,W (+6),1,33:38,8,19,.421,6,8,.750,3,4,.750,1,7,8,3,1,2,4,2,25,17.0,0
2019-11-07,29-183,BOS,AWAY,CHO,W (+21),1,29:11,4,12,.333,3,9,.333,3,3,1.000,0,2,2,6,1,0,2,0,14,11.0,+20
2019-11-09,29-185,BOS,AWAY,SAS,W (+20),1,32:28,9,20,.450,4,10,.400,4,4,1.000,2,3,5,8,1,1,0,2,26,24.4,+21
2019-11-11,29-187,BOS,HOME,DAL,W (+10),1,33:07,9,17,.529,8,14,.571,3,4,.750,0,5,5,5,0,1,3,1,29,22.6,+18
2019-11-13,29-189,BOS,HOME,WAS,W (+7),1,34:59,8,17,.471,6,12,.500,3,3,1.000,0,5,5,5,1,1,0,5,25,21.0,-4
2019-11-15,29-191,BOS,AWAY,GSW,W (+5),1,34:52,6,19,.316,3,12,.250,5,5,1.000,0,5,5,5,1,1,1,2,20,14.0,+2
2019-11-17,29-193,BOS,AWAY,SAC,L (-1),1,32:00,5,12,.417,0,3,.000,5,5,1.000,0,1,1,9,1,0,2,0,15,14.2,0
2019-11-18,29-194,BOS,AWAY,PHO,W (+14),1,29:54,9,19,.474,1,7,.143,0,0,,0,2,2,5,0,0,3,2,19,9.6,+22
2019-11-20,29-196,BOS,AWAY,LAC,L (-3),1,38:44,4,17,.235,3,9,.333,2,3,.667,3,6,9,2,1,0,6,3,13,1.4,-8
2019-11-22,29-198,BOS,AWAY,DEN,L (-4),1,12:02,0,3,.000,0,1,.000,0,0,,0,1,1,3,2,0,0,0,0,2.3,-9
2019-11-27,29-203,BOS,HOME,BRK,W (+11),1,31:14,13,24,.542,6,10,.600,7,7,1.000,2,4,6,4,1,0,2,1,39,31.4,+4
2019-11-29,29-205,BOS,AWAY,BRK,L (-5),1,31:32,6,19,.316,1,8,.125,4,5,.800,3,2,5,6,0,0,1,2,17,10.8,-10
2019-12-01,29-207,BOS,AWAY,NYK,W (+9),1,33:18,6,18,.333,3,9,.333,1,2,.500,1,4,5,10,1,0,4,1,16,10.9,+7
2019-12-04,29-210,BOS,HOME,MIA,W (+19),1,31:27,9,17,.529,6,11,.545,4,4,1.000,0,4,4,7,2,1,1,1,28,27.1,+16
2019-12-06,29-212,BOS,HOME,DEN,W (+13),1,28:37,8,16,.500,3,8,.375,0,0,,0,2,2,3,2,2,4,2,19,12.3,+3
2019-12-09,29-215,BOS,HOME,CLE,W (+22),1,29:10,8,13,.615,5,9,.556,1,1,1.000,0,2,2,7,0,1,2,1,22,19.9,+32
2019-12-11,29-217,BOS,AWAY,IND,L (-5),1,35:16,16,28,.571,7,15,.467,5,7,.714,0,3,3,7,2,0,2,1,44,35.4,-1
