DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,24-324,NOP,AWAY,TOR,L (-8),0,18:02,0,4,.000,0,2,.000,3,3,1.000,3,3,6,3,1,2,1,5,3,4.7,+11
2019-10-25,24-327,NOP,HOME,DAL,L (-7),0,21:26,3,5,.600,2,3,.667,1,2,.500,1,5,6,1,0,0,1,2,9,7.4,-3
2019-10-26,24-328,NOP,AWAY,HOU,L (-3),0,32:22,1,4,.250,0,2,.000,0,0,,2,3,5,3,2,0,0,4,2,4.4,-1
2019-10-28,24-330,NOP,HOME,GSW,L (-11),0,26:28,6,10,.600,3,6,.500,1,4,.250,2,4,6,2,3,1,0,2,16,17.1,+5
2019-10-31,24-333,NOP,HOME,DEN,W (+15),0,3:22,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,2,0,-0.8,+3
2019-11-02,24-335,NOP,AWAY,OKC,L (-11),0,19:06,1,3,.333,1,3,.333,0,0,,1,2,3,0,0,1,1,2,3,1.5,0
2019-11-04,24-337,NOP,AWAY,BRK,L (-10),0,6:17,1,2,.500,1,1,1.000,0,0,,1,2,3,0,1,1,0,0,3,5.0,-7
2019-11-08,24-341,NOP,HOME,TOR,L (-18),0,11:19,1,4,.250,0,2,.000,0,0,,0,2,2,2,0,0,0,4,2,0.0,+15
2019-11-09,24-342,NOP,AWAY,CHO,W (+5),1,28:20,6,8,.750,3,5,.600,0,2,.000,2,3,5,3,2,1,0,3,15,16.9,+7
2019-11-11,24-344,NOP,HOME,HOU,L (-6),1,38:06,3,8,.375,2,7,.286,0,0,,3,8,11,2,0,0,1,3,8,7.3,-14
2019-11-14,24-347,NOP,HOME,LAC,W (+5),1,31:07,3,6,.500,2,4,.500,0,0,,4,6,10,3,3,1,2,5,8,11.4,+9
2019-11-16,24-349,NOP,AWAY,MIA,L (-15),1,39:23,3,9,.333,1,6,.167,0,0,,2,3,5,3,1,0,0,1,7,6.9,-15
2019-11-17,24-350,NOP,HOME,GSW,W (+8),1,35:50,2,8,.250,0,4,.000,1,1,1.000,2,8,10,4,0,1,2,1,5,5.1,+12
2019-11-19,24-352,NOP,HOME,POR,W (+11),1,33:57,2,3,.667,2,2,1.000,2,4,.500,3,10,13,1,3,1,2,2,8,12.6,+4
2019-11-21,24-354,NOP,AWAY,PHO,W (+3),1,30:13,1,2,.500,0,0,,0,0,,1,8,9,1,1,2,0,4,2,5.6,+16
