DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,23-260,GSW,HOME,LAC,L (-19),1,10:27,1,4,.250,1,1,1.000,0,0,,5,4,9,1,0,0,1,3,3,3.8,-4
2019-12-02,23-299,GSW,AWAY,ATL,L (-25),1,14:43,1,3,.333,0,0,,0,0,,0,2,2,0,0,2,1,2,2,0.5,-5
2019-12-04,23-301,GSW,AWAY,CHO,L (-15),0,12:18,3,8,.375,0,0,,1,3,.333,3,0,3,1,0,0,0,2,7,3.8,-8
2019-12-06,23-303,GSW,AWAY,CHI,W (+2),0,7:48,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,2,0,3,1.0,-6
2019-12-09,23-306,GSW,HOME,MEM,L (-8),0,10:18,0,2,.000,0,0,,0,0,,1,2,3,0,1,0,0,2,0,0.1,-6
2019-12-11,23-308,GSW,HOME,NYK,L (-2),0,5:20,2,2,1.000,0,0,,1,1,1.000,1,0,1,0,0,0,0,1,5,4.7,-9
2019-12-13,23-310,GSW,AWAY,UTA,L (-8),1,18:21,1,3,.333,0,1,.000,0,0,,1,3,4,0,1,0,2,3,2,-0.3,-6
2019-12-15,23-312,GSW,HOME,SAC,L (-21),0,11:16,0,5,.000,0,0,,0,0,,1,0,1,1,1,0,0,1,0,-1.5,-15
2019-12-20,23-317,GSW,HOME,NOP,W (+4),0,5:42,0,2,.000,0,0,,0,0,,2,2,4,0,0,0,0,1,0,0.2,+2
2019-12-23,23-320,GSW,HOME,MIN,W (+9),0,8:43,2,2,1.000,0,0,,0,0,,1,0,1,1,0,0,0,2,4,4.0,-3
2020-02-01,23-360,GSW,AWAY,CLE,W (+19),0,12:30,0,2,.000,0,0,,2,2,1.000,3,1,4,0,2,1,0,0,2,5.7,-1
2020-02-03,23-362,GSW,AWAY,WAS,W (+8),0,9:32,1,2,.500,0,0,,0,0,,1,3,4,3,1,0,0,1,2,5.3,+12
2020-02-05,23-364,GSW,AWAY,BRK,L (-41),0,17:51,5,9,.556,0,2,.000,1,1,1.000,3,2,5,3,0,1,0,1,11,11.8,+3
2020-02-08,24-002,GSW,HOME,LAL,L (-5),0,14:25,1,4,.250,0,2,.000,0,1,.000,0,1,1,0,0,0,1,5,2,-3.5,-1
2020-02-10,24-004,GSW,HOME,MIA,L (-12),0,16:26,0,2,.000,0,1,.000,0,0,,0,3,3,1,1,0,0,1,0,0.8,-10
2020-02-20,24-014,GSW,HOME,HOU,L (-30),0,18:26,2,5,.400,0,1,.000,0,0,,0,1,1,2,2,0,2,1,4,2.6,-19
2020-02-23,24-017,GSW,HOME,NOP,L (-14),1,18:47,1,6,.167,0,3,.000,0,0,,1,5,6,0,2,0,0,3,2,1.2,-11
2020-02-25,24-019,GSW,HOME,SAC,L (-18),0,14:45,2,6,.333,0,1,.000,1,1,1.000,1,2,3,2,0,1,1,1,5,3.6,-1
2020-02-27,24-021,GSW,HOME,LAL,L (-30),0,19:16,2,6,.333,0,1,.000,0,0,,2,2,4,2,1,1,2,3,4,2.5,-13
2020-02-29,24-023,GSW,AWAY,PHO,W (+16),0,14:43,4,5,.800,0,1,.000,2,2,1.000,2,4,6,3,0,0,0,1,10,12.4,+2
