DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-01,27-034,ORL,HOME,MIL,L (-32),0,22:55,0,3,.000,0,1,.000,1,4,.250,2,3,5,0,1,0,0,1,1,0.6,-29
2019-11-02,27-035,ORL,HOME,DEN,L (-4),0,4:03,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+1
2019-11-06,27-039,ORL,AWAY,DAL,L (-1),0,14:31,1,2,.500,0,0,,1,4,.250,1,2,3,0,0,0,0,2,3,1.3,-6
2019-11-08,27-041,ORL,HOME,MEM,W (+32),0,3:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
2019-11-20,27-053,ORL,AWAY,TOR,L (-16),0,21:17,5,7,.714,0,0,,2,3,.667,0,4,4,0,0,0,0,3,12,8.7,-3
2019-11-23,27-056,ORL,AWAY,IND,L (-5),1,26:34,2,4,.500,0,0,,0,0,,3,2,5,0,0,0,2,2,4,1.9,+3
2019-11-25,27-058,ORL,AWAY,DET,L (-15),1,27:27,2,3,.667,0,0,,2,4,.500,4,2,6,0,0,0,0,5,6,5.3,-13
2019-11-27,27-060,ORL,AWAY,CLE,W (+12),1,25:04,3,6,.500,0,0,,2,2,1.000,1,4,5,1,1,1,1,4,8,6.7,+7
2019-11-29,27-062,ORL,HOME,TOR,L (-7),1,27:24,2,4,.500,0,0,,0,0,,1,11,12,0,1,3,2,6,4,4.7,-5
2019-12-01,27-064,ORL,HOME,GSW,W (+4),1,30:27,2,5,.400,0,0,,3,6,.500,6,4,10,3,2,1,1,2,7,11.5,+5
2019-12-03,27-066,ORL,AWAY,WAS,W (+7),1,28:26,0,1,.000,0,0,,0,0,,2,7,9,5,0,2,0,6,0,5.3,-2
2019-12-04,27-067,ORL,HOME,PHO,W (+14),1,28:38,3,4,.750,0,0,,1,2,.500,4,5,9,2,1,0,1,2,7,9.9,0
2019-12-06,27-069,ORL,AWAY,CLE,W (+6),1,31:07,2,5,.400,0,0,,1,1,1.000,5,1,6,2,1,2,2,2,5,7.1,-11
2019-12-09,27-072,ORL,AWAY,MIL,L (-9),1,27:54,1,3,.333,0,0,,0,0,,2,4,6,2,1,2,2,2,2,3.9,-6
2019-12-11,27-074,ORL,HOME,LAL,L (-9),1,24:00,3,4,.750,0,0,,0,0,,0,4,4,1,2,0,0,3,6,7.1,-8
2019-12-13,27-076,ORL,HOME,HOU,L (-23),1,31:53,2,6,.333,0,0,,0,0,,2,3,5,1,0,2,0,1,4,4.6,-19
2019-12-20,27-083,ORL,AWAY,POR,L (-15),0,2:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3
2019-12-27,27-090,ORL,HOME,PHI,W (+1),0,15:49,2,3,.667,0,0,,1,4,.250,2,2,4,1,0,0,2,3,5,2.0,+1
2019-12-28,27-091,ORL,AWAY,MIL,L (-11),0,16:18,0,3,.000,0,0,,2,4,.500,1,2,3,1,1,1,0,2,2,2.0,-14
2020-01-01,27-095,ORL,AWAY,WAS,W (+21),0,26:28,3,3,1.000,0,0,,1,2,.500,4,6,10,2,0,1,0,0,7,12.4,+8
2020-01-03,27-097,ORL,HOME,MIA,W (+20),1,24:43,0,0,,0,0,,2,2,1.000,0,1,1,2,0,1,0,2,2,3.6,+6
2020-01-04,27-098,ORL,HOME,UTA,L (-13),0,11:24,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,1,2,2.6,-11
2020-01-06,27-100,ORL,HOME,BRK,W (+12),0,14:53,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-2.5,+2
2020-01-08,27-102,ORL,HOME,WAS,W (+34),1,28:35,2,3,.667,0,0,,7,9,.778,3,6,9,2,3,1,1,2,11,16.1,+24
2020-01-10,27-104,ORL,AWAY,PHO,L (-4),1,29:45,2,4,.500,0,0,,2,3,.667,3,8,11,1,0,1,2,3,6,6.3,+3
2020-01-13,27-107,ORL,AWAY,SAC,W (+2),1,23:05,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,0,1,4,3.7,-3
2020-01-15,27-109,ORL,AWAY,LAL,W (+1),1,15:45,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,+9
2020-01-16,27-110,ORL,AWAY,LAC,L (-27),1,19:00,0,0,,0,0,,0,0,,1,2,3,2,0,0,3,1,0,-0.7,-13
2020-01-18,27-112,ORL,AWAY,GSW,L (-14),1,16:28,2,2,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,6,5.3,0
2020-01-20,27-114,ORL,AWAY,CHO,W (+23),1,14:48,1,3,.333,0,0,,1,2,.500,3,4,7,1,0,0,1,1,3,3.5,+5
2020-01-22,27-116,ORL,HOME,OKC,L (-6),0,12:41,2,4,.500,0,0,,0,0,,3,2,5,0,0,0,0,0,4,4.7,+4
