DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,38-221,MIL,AWAY,HOU,W (+6),0,15:14,2,4,.500,1,3,.333,0,0,,1,5,6,1,1,0,1,1,5,5.5,+8
2019-10-26,38-223,MIL,HOME,MIA,L (-5),0,17:41,4,11,.364,4,9,.444,2,2,1.000,1,0,1,0,0,0,1,2,14,6.8,0
2019-10-28,38-225,MIL,HOME,CLE,W (+17),0,18:05,3,3,1.000,3,3,1.000,0,0,,0,1,1,0,0,1,1,1,9,7.7,-1
2019-10-30,38-227,MIL,AWAY,BOS,L (-11),0,16:22,3,6,.500,2,5,.400,1,2,.500,0,0,0,0,1,0,2,0,9,4.6,-4
2019-11-02,38-230,MIL,HOME,TOR,W (+10),0,15:30,2,5,.400,2,4,.500,0,0,,1,0,1,0,0,0,0,2,6,3.2,-1
2019-11-04,38-232,MIL,AWAY,MIN,W (+28),0,17:09,1,5,.200,1,4,.250,0,1,.000,0,2,2,0,0,0,1,0,3,-0.9,+13
2019-11-06,38-234,MIL,AWAY,LAC,W (+5),0,15:35,5,9,.556,4,7,.571,0,0,,0,1,1,0,0,0,0,1,14,9.6,+8
2019-11-08,38-236,MIL,AWAY,UTA,L (-3),0,11:15,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-1.5,-3
2019-11-14,38-242,MIL,HOME,CHI,W (+9),0,11:11,1,5,.200,1,3,.333,3,3,1.000,1,1,2,0,0,2,0,1,6,4.9,-8
2019-11-16,38-244,MIL,AWAY,IND,W (+19),0,19:10,1,6,.167,0,5,.000,0,0,,0,2,2,0,0,0,0,0,2,-1.2,+10
2019-11-18,38-246,MIL,AWAY,CHI,W (+14),0,14:34,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,1,1,0,5,2.7,-9
2019-11-20,38-248,MIL,AWAY,ATL,W (+8),0,12:05,2,6,.333,2,6,.333,0,0,,0,1,1,0,1,0,2,1,6,1.5,-12
