DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,33-211,TOR,HOME,NOP,W (+8),1,44:59,4,15,.267,3,11,.273,11,13,.846,1,4,5,6,2,0,4,4,22,14.8,-1
2019-10-25,33-214,TOR,AWAY,BOS,L (-6),1,39:42,11,18,.611,6,10,.600,1,1,1.000,0,4,4,7,1,1,4,5,29,22.6,-7
2019-10-26,33-215,TOR,AWAY,CHI,W (+24),1,34:25,4,11,.364,3,9,.333,0,0,,0,7,7,8,1,1,2,2,11,11.5,+6
2019-10-28,33-217,TOR,HOME,ORL,W (+9),1,38:11,7,18,.389,3,11,.273,9,10,.900,1,4,5,6,0,0,2,2,26,19.1,+13
2019-10-30,33-219,TOR,HOME,DET,W (+12),1,37:47,7,13,.538,2,6,.333,4,5,.800,0,5,5,8,2,0,2,3,20,19.2,+13
2019-11-02,33-222,TOR,AWAY,MIL,L (-10),1,38:02,11,18,.611,5,9,.556,9,9,1.000,0,4,4,6,0,1,6,2,36,27.1,-2
2019-11-06,33-226,TOR,HOME,SAC,W (+4),1,39:54,8,15,.533,5,7,.714,3,4,.750,0,2,2,6,2,0,6,5,24,15.1,-6
2019-11-08,33-228,TOR,AWAY,NOP,W (+18),1,16:12,2,5,.400,2,5,.400,0,0,,0,2,2,5,1,0,1,0,6,7.4,+15
2019-12-03,33-253,TOR,HOME,MIA,L (-11),1,40:46,2,18,.111,0,11,.000,8,8,1.000,2,4,6,11,1,1,1,3,12,10.0,-14
2019-12-05,33-255,TOR,HOME,HOU,L (-10),1,41:50,5,8,.625,3,5,.600,6,6,1.000,1,4,5,8,1,0,4,3,19,18.7,-7
2019-12-08,33-258,TOR,AWAY,PHI,L (-6),1,37:45,7,14,.500,4,8,.500,8,9,.889,2,4,6,5,2,0,4,4,26,21.1,0
2019-12-09,33-259,TOR,AWAY,CHI,W (+1),1,38:31,3,15,.200,1,8,.125,4,5,.800,0,7,7,7,0,1,2,2,11,6.2,+7
2019-12-11,33-261,TOR,HOME,LAC,L (-20),1,35:12,1,8,.125,0,7,.000,4,4,1.000,1,3,4,6,2,0,2,2,6,5.8,-7
2019-12-14,33-264,TOR,HOME,BRK,W (+8),1,38:54,5,14,.357,2,8,.250,5,6,.833,0,4,4,6,3,0,2,2,17,14.4,+7
