DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,22-223,LAC,HOME,LAL,W (+10),1,26:26,3,8,.375,2,4,.500,0,0,,0,3,3,2,0,0,0,1,8,5.5,-1
2019-10-24,22-225,LAC,AWAY,GSW,W (+19),1,33:56,4,5,.800,3,4,.750,0,0,,0,0,0,3,0,1,1,2,11,10.1,+15
2019-10-26,22-227,LAC,AWAY,PHO,L (-8),1,35:43,1,6,.167,1,6,.167,3,3,1.000,0,0,0,4,0,0,0,5,6,3.0,-16
2019-10-28,22-229,LAC,HOME,CHO,W (+15),1,35:13,6,12,.500,4,9,.444,0,0,,0,4,4,2,1,0,3,4,16,9.0,+18
2019-10-30,22-231,LAC,AWAY,UTA,L (-14),1,32:54,1,7,.143,0,3,.000,3,3,1.000,0,1,1,2,1,0,3,3,5,-1.0,-8
2019-10-31,22-232,LAC,HOME,SAS,W (+6),1,25:38,2,8,.250,1,7,.143,2,2,1.000,0,0,0,2,1,0,0,3,7,3.4,+2
2019-11-03,22-235,LAC,HOME,UTA,W (+11),1,26:53,4,12,.333,2,8,.250,0,0,,0,2,2,0,0,0,0,2,10,3.0,-12
2019-11-06,22-238,LAC,HOME,MIL,L (-5),1,29:11,5,10,.500,4,8,.500,0,0,,0,3,3,0,0,0,2,4,14,6.3,-3
2019-11-07,22-239,LAC,HOME,POR,W (+6),1,30:07,2,4,.500,2,4,.500,2,2,1.000,0,1,1,0,1,0,2,3,8,4.1,+7
2019-11-11,22-243,LAC,HOME,TOR,W (+10),1,18:09,2,5,.400,2,5,.400,0,0,,0,1,1,2,0,0,1,4,6,2.4,+6
2019-12-14,22-276,LAC,AWAY,CHI,L (-3),1,20:58,4,5,.800,3,4,.750,0,0,,1,3,4,0,0,0,1,2,11,8.9,-16
2019-12-17,22-279,LAC,HOME,PHO,W (+21),0,25:30,1,6,.167,0,4,.000,2,3,.667,0,2,2,4,0,0,0,3,4,2.0,+15
2019-12-19,22-281,LAC,HOME,HOU,L (-5),0,30:44,4,7,.571,4,7,.571,1,1,1.000,0,2,2,2,0,2,1,4,13,10.5,-5
2019-12-21,22-283,LAC,AWAY,SAS,W (+25),0,14:21,1,3,.333,1,3,.333,0,0,,0,1,1,0,1,1,1,3,3,1.1,+2
2019-12-22,22-284,LAC,AWAY,OKC,L (-6),0,31:13,3,6,.500,1,2,.500,7,7,1.000,0,4,4,3,2,0,0,4,14,14.7,0
2019-12-25,22-287,LAC,AWAY,LAL,W (+5),0,19:27,3,7,.429,1,4,.250,0,0,,0,1,1,0,0,0,1,2,7,1.8,-2
2019-12-28,22-290,LAC,HOME,UTA,L (-13),0,25:37,4,6,.667,4,5,.800,1,1,1.000,0,1,1,1,1,0,0,2,13,11.6,-6
2019-12-31,22-293,LAC,AWAY,SAC,W (+18),1,24:47,3,5,.600,3,4,.750,0,0,,0,2,2,1,0,0,1,2,9,6.2,+10
2020-01-02,22-295,LAC,HOME,DET,W (+14),1,28:00,3,8,.375,2,7,.286,0,0,,0,4,4,5,1,0,2,4,8,5.7,+24
2020-01-04,22-297,LAC,HOME,MEM,L (-26),1,28:19,4,13,.308,1,7,.143,1,1,1.000,2,2,4,0,0,0,0,3,10,3.3,-20
2020-01-05,22-298,LAC,HOME,NYK,W (+3),0,13:20,1,2,.500,1,2,.500,2,2,1.000,0,1,1,0,1,0,0,4,5,3.7,-7
2020-01-10,22-303,LAC,HOME,GSW,W (+9),1,25:51,1,4,.250,1,4,.250,0,0,,0,2,2,1,0,0,0,5,3,-0.1,-1
2020-01-12,22-305,LAC,AWAY,DEN,L (-10),0,24:50,0,5,.000,0,5,.000,0,0,,0,0,0,2,0,1,0,4,0,-3.0,-9
2020-01-14,22-307,LAC,HOME,CLE,W (+25),1,25:44,4,11,.364,4,11,.364,0,0,,0,7,7,3,0,0,0,2,12,9.3,+37
2020-01-16,22-309,LAC,HOME,ORL,W (+27),1,32:19,5,13,.385,3,8,.375,0,0,,0,3,3,2,0,0,2,1,13,5.8,+12
2020-01-18,22-311,LAC,AWAY,NOP,W (+3),1,29:56,5,9,.556,1,4,.250,0,0,,0,4,4,1,0,0,0,5,11,6.6,-2
2020-01-21,22-314,LAC,AWAY,DAL,W (+3),1,35:31,5,8,.625,5,8,.625,3,3,1.000,0,3,3,1,0,0,1,3,18,13.8,+13
2020-01-22,22-315,LAC,AWAY,ATL,L (-7),1,36:09,4,10,.400,2,6,.333,3,4,.750,0,2,2,0,2,1,1,3,13,8.3,-8
2020-01-24,22-317,LAC,AWAY,MIA,W (+5),1,43:15,8,15,.533,6,12,.500,0,0,,0,2,2,6,0,0,2,3,22,16.3,+2
2020-01-26,22-319,LAC,AWAY,ORL,W (+15),1,35:53,6,14,.429,4,10,.400,3,3,1.000,1,2,3,3,0,0,1,1,19,13.6,+17
2020-01-30,22-323,LAC,HOME,SAC,L (-21),1,31:17,5,10,.500,5,8,.625,0,0,,0,2,2,3,0,0,0,4,15,11.1,-9
2020-02-01,22-325,LAC,HOME,MIN,W (+12),0,33:12,3,6,.500,2,5,.400,2,3,.667,0,1,1,2,1,0,0,5,10,7.3,+18
2020-02-03,22-327,LAC,HOME,SAS,W (+3),0,28:24,1,3,.333,0,2,.000,0,0,,0,1,1,2,1,0,0,1,2,2.6,-6
2020-02-05,22-329,LAC,HOME,MIA,W (+17),0,32:13,7,15,.467,6,13,.462,3,4,.750,0,1,1,6,0,0,1,3,23,17.2,+9
2020-02-08,22-332,LAC,AWAY,MIN,L (-27),1,28:50,1,4,.250,1,2,.500,2,2,1.000,0,0,0,2,1,1,0,0,5,5.7,-22
2020-02-09,22-333,LAC,AWAY,CLE,W (+41),1,27:17,4,9,.444,3,7,.429,0,0,,0,4,4,3,0,1,0,3,11,9.1,+29
2020-02-11,22-335,LAC,AWAY,PHI,L (-7),0,36:02,7,11,.636,5,9,.556,0,0,,0,1,1,0,0,0,0,1,19,14.0,+6
