DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-26,20-316,SAS,HOME,WAS,W (+2),0,4:56,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.9,-3
2019-10-31,20-321,SAS,AWAY,LAC,L (-6),0,4:59,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,-0.9,-6
2019-11-01,20-322,SAS,AWAY,GSW,W (+17),0,2:11,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.1,-2
2019-11-05,20-326,SAS,AWAY,ATL,L (-8),0,2:21,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,0,0,-2.7,-1
2019-11-07,20-328,SAS,HOME,OKC,W (+9),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2019-11-09,20-330,SAS,HOME,BOS,L (-20),0,9:02,1,7,.143,0,1,.000,0,1,.000,1,2,3,1,0,1,1,1,2,-1.6,+1
2019-11-13,20-334,SAS,AWAY,MIN,L (-15),0,4:08,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,+3
2019-11-16,20-337,SAS,HOME,POR,L (-5),0,11:05,2,3,.667,0,0,,0,0,,0,1,1,0,0,0,0,1,4,2.6,+11
2019-11-22,20-343,SAS,AWAY,PHI,L (-11),0,2:19,0,0,,0,0,,0,2,.000,0,0,0,1,0,0,0,0,0,-0.1,0
2019-11-23,20-344,SAS,AWAY,NYK,W (+7),0,7:21,1,2,.500,0,0,,0,2,.000,0,0,0,1,0,0,0,0,2,0.9,0
2019-11-25,20-346,SAS,HOME,LAL,L (-10),0,1:10,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,+2
2019-11-27,20-348,SAS,HOME,MIN,L (-12),0,13:22,5,8,.625,1,2,.500,0,0,,0,1,1,0,0,0,0,0,11,7.7,-6
2019-11-29,20-350,SAS,HOME,LAC,W (+10),0,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
2019-12-01,20-352,SAS,AWAY,DET,L (-34),0,16:16,6,12,.500,1,3,.333,0,0,,2,0,2,2,1,0,0,0,13,10.8,-17
2019-12-03,20-354,SAS,HOME,HOU,W (+2),0,34:53,10,18,.556,4,7,.571,4,6,.667,0,4,4,0,3,1,2,5,28,19.5,+29
2019-12-06,20-357,SAS,HOME,SAC,W (+1),0,11:56,1,5,.200,0,2,.000,0,0,,2,2,4,2,0,0,1,1,2,0.9,-7
2019-12-12,20-363,SAS,HOME,CLE,L (-8),0,24:02,4,5,.800,0,0,,2,2,1.000,0,2,2,0,1,1,1,2,10,8.6,+4
2019-12-14,21-000,SAS,AWAY,PHO,W (+2),0,21:18,5,8,.625,1,1,1.000,5,5,1.000,0,3,3,1,0,0,0,4,16,12.4,+1
2019-12-16,21-002,SAS,AWAY,HOU,L (-2),0,10:02,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,2,0,-2.9,+7
2019-12-19,21-005,SAS,HOME,BRK,W (+13),0,14:12,1,7,.143,1,2,.500,1,2,.500,1,5,6,2,1,0,0,0,4,3.7,+25
2019-12-21,21-007,SAS,HOME,LAC,L (-25),0,16:57,2,6,.333,0,2,.000,0,0,,1,1,2,1,0,0,3,2,4,-1.5,-5
2019-12-23,21-009,SAS,AWAY,MEM,W (+30),0,3:31,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+6
2019-12-28,21-014,SAS,HOME,DET,W (+27),0,16:15,4,8,.500,0,1,.000,0,0,,1,0,1,0,0,0,1,3,8,2.5,-11
2019-12-31,21-017,SAS,HOME,GSW,W (+4),0,11:03,3,6,.500,1,2,.500,0,0,,1,2,3,0,0,1,0,4,7,4.4,+3
