DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,21-360,NOP,AWAY,TOR,L (-8),1,24:50,2,7,.286,2,3,.667,2,2,1.000,0,5,5,5,0,0,1,2,8,7.1,-7
2019-10-25,21-363,NOP,HOME,DAL,L (-7),1,33:13,6,16,.375,3,12,.250,0,2,.000,1,7,8,5,2,0,2,3,15,10.5,-14
2019-10-26,21-364,NOP,AWAY,HOU,L (-3),1,35:39,6,13,.462,4,9,.444,2,2,1.000,0,2,2,10,3,0,0,2,18,21.1,0
2019-10-28,22-001,NOP,HOME,GSW,L (-11),1,31:05,4,10,.400,2,6,.333,2,2,1.000,1,3,4,9,2,0,2,1,12,14.1,-2
2019-10-31,22-004,NOP,HOME,DEN,W (+15),1,31:39,4,7,.571,1,2,.500,0,0,,0,3,3,8,1,1,3,2,9,10.1,+17
2019-11-02,22-006,NOP,AWAY,OKC,L (-11),1,32:31,4,11,.364,2,5,.400,0,2,.000,2,6,8,7,3,0,5,3,10,8.0,+4
2019-11-04,22-008,NOP,AWAY,BRK,L (-10),1,20:52,6,10,.600,3,7,.429,0,0,,1,1,2,3,0,0,2,1,15,11.1,-16
2019-11-08,22-012,NOP,HOME,TOR,L (-18),1,22:31,2,8,.250,1,5,.200,0,0,,1,3,4,2,2,0,4,0,5,1.2,-9
2019-11-21,22-025,NOP,AWAY,PHO,W (+3),0,19:27,3,9,.333,2,7,.286,0,0,,0,1,1,5,0,0,3,3,8,2.5,-11
2019-11-23,22-027,NOP,AWAY,UTA,L (-8),0,24:40,5,15,.333,3,7,.429,0,0,,2,2,4,4,0,1,2,2,13,7.2,+9
2019-11-24,22-028,NOP,AWAY,LAC,L (-25),0,21:05,4,13,.308,1,7,.143,0,0,,2,2,4,5,1,0,2,1,9,5.6,-27
2019-12-01,22-035,NOP,HOME,OKC,L (-3),1,32:47,5,11,.455,4,8,.500,0,0,,0,4,4,7,0,1,4,4,14,9.5,-10
2019-12-03,22-037,NOP,HOME,DAL,L (-21),1,30:12,2,12,.167,2,10,.200,0,0,,1,5,6,3,0,0,1,1,6,1.3,-8
2019-12-05,22-039,NOP,HOME,PHO,L (-7),1,43:27,6,9,.667,4,5,.800,4,4,1.000,0,6,6,11,3,2,7,2,20,22.2,+5
2019-12-07,22-041,NOP,AWAY,DAL,L (-46),1,27:20,1,9,.111,0,7,.000,0,0,,1,3,4,2,0,1,3,3,2,-4.4,-28
