DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,32-360,LAC,HOME,LAL,W (+10),0,36:44,8,14,.571,1,4,.250,4,4,1.000,1,4,5,7,1,0,2,0,21,20.2,+13
2019-10-24,32-362,LAC,AWAY,GSW,W (+19),0,29:24,5,11,.455,1,3,.333,11,11,1.000,0,3,3,8,1,0,0,1,22,23.4,-2
2019-10-26,32-364,LAC,AWAY,PHO,L (-8),0,28:32,7,17,.412,3,7,.429,6,9,.667,0,2,2,2,0,0,5,2,23,8.9,+2
2019-10-28,33-001,LAC,HOME,CHO,W (+15),0,28:59,7,17,.412,2,6,.333,7,9,.778,1,3,4,4,1,0,3,1,23,15.1,-1
2019-10-30,33-003,LAC,AWAY,UTA,L (-14),1,27:31,9,17,.529,1,3,.333,5,7,.714,0,3,3,4,0,0,5,2,24,12.8,-11
2019-10-31,33-004,LAC,HOME,SAS,W (+6),0,32:11,5,19,.263,1,4,.250,1,2,.500,0,2,2,5,0,0,2,1,12,2.0,+2
2019-11-03,33-007,LAC,HOME,UTA,W (+11),0,32:07,6,18,.333,1,4,.250,4,6,.667,1,4,5,3,0,0,1,1,17,8.6,+11
2019-11-06,33-010,LAC,HOME,MIL,L (-5),1,39:16,9,27,.333,4,9,.444,12,13,.923,2,4,6,11,0,0,6,5,34,20.6,+8
2019-11-07,33-011,LAC,HOME,POR,W (+6),0,28:35,7,16,.438,1,3,.333,11,12,.917,0,3,3,8,0,3,3,1,26,22.4,+5
2019-11-11,33-015,LAC,HOME,TOR,W (+10),0,35:46,7,15,.467,2,6,.333,5,6,.833,0,4,4,4,1,0,2,0,21,15.9,0
2019-11-13,33-017,LAC,AWAY,HOU,L (-9),0,40:58,8,22,.364,1,5,.200,3,3,1.000,3,4,7,4,0,0,2,2,20,11.1,-2
2019-11-14,33-018,LAC,AWAY,NOP,L (-5),1,36:41,11,20,.550,1,2,.500,8,10,.800,1,1,2,9,2,0,2,2,31,27.1,-20
2019-11-16,33-020,LAC,HOME,ATL,W (+49),0,22:39,5,13,.385,0,4,.000,15,15,1.000,1,5,6,6,0,0,3,0,25,21.3,+1
2019-11-18,33-022,LAC,HOME,OKC,W (+2),0,32:21,5,12,.417,1,1,1.000,0,0,,0,1,1,9,1,0,2,2,11,9.4,+7
2019-11-20,33-024,LAC,HOME,BOS,W (+3),0,36:39,10,21,.476,3,9,.333,4,4,1.000,1,1,2,2,2,0,7,1,27,13.3,0
2019-11-22,33-026,LAC,HOME,HOU,W (+3),0,33:30,9,16,.563,4,6,.667,4,4,1.000,0,3,3,8,0,0,4,3,26,19.7,0
2019-11-24,33-028,LAC,HOME,NOP,W (+25),0,24:56,6,11,.545,2,5,.400,5,7,.714,1,2,3,4,0,0,2,2,19,14.2,+26
2019-11-26,33-030,LAC,AWAY,DAL,W (+15),0,33:29,7,14,.500,4,7,.571,3,4,.750,0,6,6,6,0,0,5,1,21,14.2,+24
2019-11-27,33-031,LAC,AWAY,MEM,W (+2),0,32:22,6,18,.333,3,7,.429,9,13,.692,0,1,1,13,2,0,4,1,24,19.2,+8
2019-11-29,33-033,LAC,AWAY,SAS,L (-10),0,27:36,2,10,.200,1,6,.167,2,2,1.000,0,2,2,7,1,0,3,3,7,3.1,-19
2019-12-01,33-035,LAC,HOME,WAS,W (+25),0,23:17,6,10,.600,2,3,.667,8,9,.889,0,1,1,8,0,0,4,1,22,18.5,+22
2019-12-03,33-037,LAC,HOME,POR,W (+20),0,25:15,4,14,.286,0,4,.000,1,1,1.000,0,4,4,7,1,0,3,2,9,4.1,+17
2019-12-06,33-040,LAC,AWAY,MIL,L (-28),0,23:14,5,13,.385,1,4,.250,0,0,,0,1,1,3,0,0,5,2,11,0.5,-33
2019-12-08,33-042,LAC,AWAY,WAS,W (+16),0,29:49,7,17,.412,2,5,.400,2,2,1.000,0,1,1,6,0,0,1,1,18,12.0,-1
2019-12-09,33-043,LAC,AWAY,IND,W (+11),0,32:32,2,19,.105,0,5,.000,2,2,1.000,0,1,1,6,0,1,1,2,6,-3.1,+12
2019-12-11,33-045,LAC,AWAY,TOR,W (+20),0,32:26,7,12,.583,3,7,.429,1,3,.333,0,6,6,8,1,0,3,2,18,16.2,+29
