DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,34-266,TOR,HOME,NOP,W (+8),1,31:55,2,9,.222,1,4,.250,1,1,1.000,1,3,4,1,0,0,0,5,6,0.8,-2
2019-10-25,34-269,TOR,AWAY,BOS,L (-6),1,25:12,0,8,.000,0,4,.000,1,2,.500,1,4,5,5,0,0,3,2,1,-3.4,+3
2019-10-26,34-270,TOR,AWAY,CHI,W (+24),1,23:10,1,2,.500,1,1,1.000,2,2,1.000,2,8,10,2,0,1,0,2,5,9.1,+26
2019-10-28,34-272,TOR,HOME,ORL,W (+9),1,25:56,4,7,.571,2,3,.667,0,0,,2,8,10,0,0,0,2,4,10,6.9,+16
2019-10-30,34-274,TOR,HOME,DET,W (+12),1,14:46,2,3,.667,1,1,1.000,1,1,1.000,0,4,4,2,0,0,1,3,6,5.1,+11
2019-11-02,34-277,TOR,AWAY,MIL,L (-10),1,33:50,4,12,.333,2,6,.333,0,0,,0,12,12,3,0,1,2,5,10,5.6,-6
2019-11-06,34-281,TOR,HOME,SAC,W (+4),1,24:26,4,6,.667,1,2,.500,3,4,.750,1,3,4,2,1,0,2,2,12,10.2,+6
2019-11-08,34-283,TOR,AWAY,NOP,W (+18),1,29:15,1,6,.167,1,3,.333,2,2,1.000,0,7,7,1,1,1,3,4,5,1.1,+17
2019-11-10,34-285,TOR,AWAY,LAL,W (+9),1,33:01,1,2,.500,0,1,.000,0,0,,1,6,7,2,0,0,3,2,2,1.1,+7
2019-11-11,34-286,TOR,AWAY,LAC,L (-10),1,33:01,3,8,.375,2,4,.500,0,0,,0,5,5,5,1,2,3,2,8,7.2,-2
2019-11-13,34-288,TOR,AWAY,POR,W (+8),1,35:22,3,10,.300,3,5,.600,0,0,,0,5,5,5,0,4,2,5,9,7.0,+6
2019-11-16,34-291,TOR,AWAY,DAL,L (-8),1,26:29,1,7,.143,1,2,.500,3,3,1.000,2,7,9,2,1,0,1,3,6,5.2,-13
2019-11-18,34-293,TOR,HOME,CHO,W (+36),1,29:13,2,4,.500,1,3,.333,0,0,,1,7,8,9,0,1,0,1,5,12.4,+26
2019-11-20,34-295,TOR,HOME,ORL,W (+16),1,29:08,2,4,.500,1,2,.500,0,0,,0,6,6,5,1,1,0,4,5,8.4,-2
