DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,22-114,GSW,HOME,LAC,L (-19),0,14:29,1,2,.500,0,0,,6,6,1.000,2,2,4,1,1,0,1,4,8,8.1,0
2019-10-27,22-117,GSW,AWAY,OKC,L (-28),1,23:10,3,7,.429,0,1,.000,4,6,.667,2,2,4,3,4,0,3,3,10,9.4,-28
2019-10-28,22-118,GSW,AWAY,NOP,W (+11),0,8:34,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,3,4,2.1,-1
2019-11-01,22-122,GSW,HOME,SAS,L (-17),0,19:20,2,4,.500,0,0,,0,0,,3,6,9,2,0,1,3,1,4,4.6,-2
2019-11-02,22-123,GSW,HOME,CHO,L (-6),0,7:31,0,2,.000,0,0,,0,0,,0,1,1,2,0,1,3,1,0,-2.4,-9
2019-11-04,22-125,GSW,HOME,POR,W (+9),0,14:05,2,3,.667,1,2,.500,0,0,,1,3,4,3,0,1,0,2,5,7.3,+5
2019-11-06,22-127,GSW,AWAY,HOU,L (-17),0,12:42,1,4,.250,0,0,,2,2,1.000,2,5,7,1,1,0,0,1,4,5.8,+4
2019-11-08,22-129,GSW,AWAY,MIN,L (-6),0,12:58,4,6,.667,0,0,,0,0,,1,2,3,2,1,0,2,3,8,5.9,-3
2019-11-09,22-130,GSW,AWAY,OKC,L (-6),0,24:28,4,7,.571,0,1,.000,2,2,1.000,1,3,4,1,0,2,2,1,10,8.0,+5
2019-11-11,22-132,GSW,HOME,UTA,L (-14),0,16:31,4,7,.571,1,2,.500,2,2,1.000,1,5,6,2,0,0,0,0,11,11.3,-7
2019-11-13,22-134,GSW,AWAY,LAL,L (-26),0,16:34,0,5,.000,0,1,.000,0,0,,1,5,6,2,0,2,3,3,0,-2.7,-4
2019-11-15,22-136,GSW,HOME,BOS,L (-5),0,12:55,2,3,.667,0,1,.000,0,0,,0,2,2,0,0,0,1,0,4,2.3,-12
2019-11-17,22-138,GSW,AWAY,NOP,L (-8),0,18:22,3,6,.500,0,0,,4,4,1.000,3,4,7,2,1,1,3,3,10,9.2,+1
2019-11-19,22-140,GSW,AWAY,MEM,W (+19),0,21:12,7,11,.636,0,2,.000,3,4,.750,2,4,6,2,0,4,2,3,17,15.3,+15
2019-11-20,22-141,GSW,AWAY,DAL,L (-48),0,26:56,3,11,.273,0,2,.000,5,8,.625,3,2,5,2,2,2,0,3,11,9.6,-17
2019-11-22,22-143,GSW,AWAY,UTA,L (-4),0,22:01,5,8,.625,0,0,,0,0,,2,2,4,4,1,1,0,1,10,12.5,-10
2019-11-25,22-146,GSW,HOME,OKC,L (-3),0,23:22,2,5,.400,0,1,.000,2,2,1.000,1,4,5,7,1,2,0,2,6,11.7,+6
2019-11-27,22-148,GSW,HOME,CHI,W (+14),0,20:19,5,5,1.000,1,1,1.000,0,0,,1,4,5,1,4,2,3,4,11,12.9,+6
2019-11-29,22-150,GSW,AWAY,MIA,L (-17),0,23:59,1,3,.333,0,1,.000,8,8,1.000,1,4,5,6,0,0,1,3,10,12.2,-5
2019-12-01,22-152,GSW,AWAY,ORL,L (-4),0,22:44,0,2,.000,0,1,.000,3,4,.750,0,6,6,1,0,2,0,2,3,4.3,+8
2019-12-02,22-153,GSW,AWAY,ATL,L (-25),0,19:49,4,11,.364,0,1,.000,0,0,,3,2,5,1,1,0,6,2,8,-0.5,-9
2019-12-04,22-155,GSW,AWAY,CHO,L (-15),0,14:48,0,2,.000,0,0,,2,2,1.000,0,4,4,0,0,0,1,0,2,0.8,-8
2019-12-06,22-157,GSW,AWAY,CHI,W (+2),0,15:13,4,6,.667,1,1,1.000,0,0,,1,2,3,1,0,1,1,1,9,7.7,+1
2019-12-09,22-160,GSW,HOME,MEM,L (-8),0,12:38,2,6,.333,0,1,.000,0,0,,2,3,5,0,0,0,0,2,4,2.1,+5
2019-12-11,22-162,GSW,HOME,NYK,L (-2),0,24:02,4,8,.500,0,1,.000,4,6,.667,6,4,10,2,1,3,1,2,12,15.3,-3
2019-12-13,22-164,GSW,AWAY,UTA,L (-8),0,23:05,4,7,.571,0,0,,4,7,.571,3,10,13,5,1,2,1,3,12,16.3,+5
2019-12-15,22-166,GSW,HOME,SAC,L (-21),0,10:35,1,3,.333,0,0,,0,0,,1,4,5,0,0,0,1,1,2,0.8,-17
2019-12-18,22-169,GSW,AWAY,POR,L (-10),0,16:54,2,2,1.000,0,0,,6,9,.667,5,5,10,1,0,1,1,1,10,13.2,-1
2019-12-20,22-171,GSW,HOME,NOP,W (+4),0,12:31,2,3,.667,0,0,,4,4,1.000,0,5,5,0,0,0,2,2,8,5.4,-5
2019-12-23,22-174,GSW,HOME,MIN,W (+9),0,11:52,3,7,.429,0,0,,0,0,,5,6,11,0,0,0,4,1,6,3.2,-13
2019-12-25,22-176,GSW,HOME,HOU,W (+12),0,12:27,3,6,.500,0,1,.000,0,0,,1,1,2,0,0,0,2,4,6,0.4,-10
2019-12-27,22-178,GSW,HOME,PHO,W (+9),0,13:27,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,1,1,2,1.7,-11
2019-12-28,22-179,GSW,HOME,DAL,L (-20),0,16:40,5,9,.556,0,0,,6,8,.750,2,3,5,2,0,2,0,0,16,16.0,+2
2019-12-31,22-182,GSW,AWAY,SAS,L (-4),1,33:57,3,6,.500,0,0,,1,2,.500,5,6,11,5,1,1,3,3,7,9.9,-1
2020-01-02,22-184,GSW,AWAY,MIN,L (-15),1,22:20,3,6,.500,0,0,,0,2,.000,2,5,7,5,0,1,0,3,6,8.1,-8
2020-01-04,22-186,GSW,HOME,DET,L (-7),0,17:36,3,6,.500,0,0,,2,4,.500,3,1,4,2,2,0,0,1,8,9.6,+4
2020-01-06,22-188,GSW,AWAY,SAC,L (-13),0,14:41,2,7,.286,1,1,1.000,3,4,.750,2,3,5,1,0,1,1,2,8,5.4,-9
2020-01-16,22-198,GSW,HOME,DEN,L (-3),0,11:26,2,4,.500,0,0,,0,0,,1,1,2,1,1,1,2,3,4,2.2,+3
2020-01-18,22-200,GSW,HOME,ORL,W (+14),0,15:01,2,3,.667,0,0,,0,0,,2,5,7,0,0,1,1,1,4,4.9,-9
2020-01-20,22-202,GSW,AWAY,POR,L (-5),0,20:49,7,9,.778,0,0,,0,0,,2,4,6,1,1,0,1,1,14,13.4,+2
2020-01-22,22-204,GSW,HOME,UTA,L (-33),0,17:37,5,9,.556,0,1,.000,1,2,.500,4,4,8,1,0,0,0,1,11,10.6,-16
2020-01-24,22-206,GSW,HOME,IND,L (-11),1,21:29,5,5,1.000,1,1,1.000,2,2,1.000,1,2,3,1,2,2,2,2,13,14.1,-3
2020-01-28,22-210,GSW,AWAY,PHI,L (-11),1,31:07,6,10,.600,0,2,.000,3,4,.750,1,4,5,2,0,0,0,2,15,12.5,+8
2020-01-30,22-212,GSW,AWAY,BOS,L (-15),1,23:00,4,6,.667,0,0,,1,2,.500,1,2,3,1,2,1,0,1,9,10.3,-1
