DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,33-126,CHO,HOME,CHI,W (+1),0,16:53,6,9,.667,5,7,.714,0,0,,0,2,2,1,0,0,0,1,17,14.0,+1
2019-10-25,33-128,CHO,HOME,MIN,L (-22),0,12:17,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,3,0,-4.3,-20
2019-10-27,33-130,CHO,AWAY,LAL,L (-19),0,17:19,2,6,.333,1,3,.333,0,0,,1,1,2,0,1,0,0,1,5,3.2,-12
2019-10-28,33-131,CHO,AWAY,LAC,L (-15),0,17:15,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,0,2,1.3,+5
2019-10-30,33-133,CHO,AWAY,SAC,W (+7),0,19:42,4,4,1.000,1,1,1.000,2,3,.667,1,2,3,1,1,0,1,3,11,10.2,+1
2019-11-02,33-136,CHO,AWAY,GSW,W (+6),0,24:04,3,7,.429,3,7,.429,2,2,1.000,1,2,3,1,1,0,0,1,11,9.9,0
2019-11-05,33-139,CHO,HOME,IND,W (+2),0,16:38,2,4,.500,1,3,.333,0,0,,1,1,2,1,0,1,1,1,5,4.0,-2
2019-11-07,33-141,CHO,HOME,BOS,L (-21),0,17:35,4,7,.571,0,2,.000,1,1,1.000,0,4,4,0,1,0,0,1,9,7.5,-8
2019-11-09,33-143,CHO,HOME,NOP,L (-5),0,16:18,0,3,.000,0,2,.000,2,2,1.000,0,1,1,0,1,0,1,1,2,-0.2,-3
2019-11-10,33-144,CHO,AWAY,PHI,L (-8),0,15:07,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.2,-13
2019-11-13,33-147,CHO,HOME,MEM,L (-2),0,13:09,0,2,.000,0,1,.000,2,4,.500,1,1,2,1,1,0,1,0,2,1.5,-10
2019-11-15,33-149,CHO,HOME,DET,W (+3),0,29:08,3,8,.375,2,5,.400,0,0,,1,3,4,0,2,0,1,1,8,5.8,+2
2019-11-16,33-150,CHO,AWAY,NYK,W (+1),0,24:28,4,9,.444,3,7,.429,2,2,1.000,1,4,5,2,1,0,0,3,13,11.4,+12
