DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,26-164,LAC,HOME,LAL,W (+10),0,29:10,4,7,.571,2,3,.667,0,0,,2,2,4,0,4,2,0,5,10,12.1,+7
2019-10-24,26-166,LAC,AWAY,GSW,W (+19),0,24:16,5,7,.714,0,2,.000,0,0,,1,1,2,3,1,1,2,3,10,8.7,+2
2019-10-26,26-168,LAC,AWAY,PHO,L (-8),0,18:13,1,4,.250,0,1,.000,0,0,,0,1,1,0,2,0,0,5,2,-0.1,+5
2019-10-28,26-170,LAC,HOME,CHO,W (+15),0,18:36,2,3,.667,1,2,.500,0,0,,0,5,5,0,1,0,2,3,5,3.0,-6
2019-10-30,26-172,LAC,AWAY,UTA,L (-14),0,17:03,1,3,.333,0,1,.000,0,0,,0,2,2,2,0,0,0,1,2,1.9,-12
2019-10-31,26-173,LAC,HOME,SAS,W (+6),0,19:58,3,3,1.000,0,0,,2,4,.500,1,2,3,0,2,0,1,5,8,6.6,+1
2019-11-03,26-176,LAC,HOME,UTA,W (+11),0,17:51,1,4,.250,0,0,,0,0,,0,4,4,1,1,0,1,5,2,-0.5,+7
2019-11-06,26-179,LAC,HOME,MIL,L (-5),0,15:57,0,4,.000,0,1,.000,1,2,.500,1,2,3,0,0,1,2,4,1,-3.8,-10
2019-11-07,26-180,LAC,HOME,POR,W (+6),0,19:09,4,4,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,8,6.8,-4
2019-11-11,26-184,LAC,HOME,TOR,W (+10),0,32:32,3,9,.333,0,3,.000,3,4,.750,2,2,4,3,0,2,0,5,9,7.0,+14
2019-11-13,26-186,LAC,AWAY,HOU,L (-9),1,24:05,4,6,.667,1,1,1.000,0,0,,1,2,3,1,0,0,1,4,9,5.8,-20
2019-11-14,26-187,LAC,AWAY,NOP,L (-5),1,31:10,4,6,.667,0,2,.000,1,2,.500,2,1,3,1,1,1,1,3,9,7.9,+4
2019-11-16,26-189,LAC,HOME,ATL,W (+49),1,28:44,3,7,.429,0,0,,0,0,,2,5,7,2,2,2,2,1,6,7.6,+36
2019-11-18,26-191,LAC,HOME,OKC,W (+2),1,18:12,1,3,.333,1,2,.500,0,0,,0,1,1,3,1,3,3,4,3,2.2,-3
2019-11-20,26-193,LAC,HOME,BOS,W (+3),1,24:59,1,3,.333,1,2,.500,0,0,,0,1,1,1,2,0,1,1,3,2.9,+5
2019-11-22,26-195,LAC,HOME,HOU,W (+3),1,22:54,3,4,.750,1,1,1.000,0,0,,1,3,4,1,0,0,1,2,7,5.9,-12
2019-11-24,26-197,LAC,HOME,NOP,W (+25),1,22:52,1,4,.250,1,2,.500,0,0,,1,3,4,1,0,0,0,1,3,2.5,-1
2019-11-26,26-199,LAC,AWAY,DAL,W (+15),1,20:13,0,2,.000,0,1,.000,2,6,.333,3,3,6,2,2,0,0,4,2,3.8,+5
2019-11-27,26-200,LAC,AWAY,MEM,W (+2),1,11:32,2,4,.500,1,2,.500,0,0,,0,1,1,0,0,2,1,4,5,2.1,-7
2019-11-29,26-202,LAC,AWAY,SAS,L (-10),1,23:09,3,5,.600,1,1,1.000,2,2,1.000,1,1,2,1,3,2,1,2,9,11.0,-9
2019-12-01,26-204,LAC,HOME,WAS,W (+25),1,23:49,3,4,.750,1,2,.500,0,2,.000,1,1,2,1,0,1,0,3,7,5.8,+3
2019-12-03,26-206,LAC,HOME,POR,W (+20),1,22:24,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.8,+3
2019-12-06,26-209,LAC,AWAY,MIL,L (-28),1,21:50,1,6,.167,1,4,.250,0,0,,0,3,3,2,2,0,1,2,3,1.7,-8
2019-12-08,26-211,LAC,AWAY,WAS,W (+16),1,36:27,4,6,.667,3,5,.600,0,0,,0,6,6,1,2,1,0,2,11,12.8,+22
2019-12-09,26-212,LAC,AWAY,IND,W (+11),1,34:47,3,8,.375,0,2,.000,2,4,.500,5,9,14,0,0,1,0,1,8,9.3,-6
2019-12-11,26-214,LAC,AWAY,TOR,W (+20),1,30:13,5,10,.500,0,3,.000,4,4,1.000,1,6,7,1,1,0,4,4,14,7.6,-2
2019-12-13,26-216,LAC,AWAY,MIN,W (+7),1,30:07,2,3,.667,1,2,.500,0,0,,2,4,6,0,2,0,1,5,5,5.3,+23
2019-12-14,26-217,LAC,AWAY,CHI,L (-3),1,25:25,1,4,.250,0,1,.000,1,2,.500,1,5,6,1,2,0,2,1,3,2.7,-25
2019-12-17,26-220,LAC,HOME,PHO,W (+21),1,22:45,0,2,.000,0,1,.000,0,0,,1,2,3,2,4,1,1,1,0,4.6,+7
2019-12-19,26-222,LAC,HOME,HOU,L (-5),1,16:07,0,0,,0,0,,0,0,,0,1,1,1,0,1,0,1,0,1.3,-4
2019-12-21,26-224,LAC,AWAY,SAS,W (+25),1,25:12,6,8,.750,2,3,.667,1,1,1.000,1,1,2,1,1,0,1,0,15,13.5,+21
2019-12-22,26-225,LAC,AWAY,OKC,L (-6),1,25:01,2,3,.667,0,1,.000,0,0,,0,2,2,2,0,0,0,2,4,3.9,-17
2019-12-25,26-228,LAC,AWAY,LAL,W (+5),0,16:20,1,1,1.000,0,0,,0,0,,1,3,4,1,2,1,1,2,2,4.9,-2
2019-12-28,26-231,LAC,HOME,UTA,L (-13),1,17:13,0,1,.000,0,0,,0,0,,0,4,4,1,1,1,0,2,0,2.1,-6
2019-12-31,26-234,LAC,AWAY,SAC,W (+18),1,22:09,5,6,.833,1,2,.500,1,1,1.000,2,5,7,1,1,0,0,1,12,14.0,+1
2020-01-02,26-236,LAC,HOME,DET,W (+14),1,25:05,6,7,.857,0,0,,0,2,.000,2,7,9,2,1,2,1,0,12,15.0,+27
2020-01-04,26-238,LAC,HOME,MEM,L (-26),1,17:16,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,2,2,0,-2.9,-23
2020-01-05,26-239,LAC,HOME,NYK,W (+3),1,20:57,1,4,.250,0,1,.000,0,0,,2,4,6,0,0,2,0,3,2,2.4,-1
2020-01-10,26-244,LAC,HOME,GSW,W (+9),1,21:01,4,5,.800,1,2,.500,0,0,,1,3,4,0,1,0,2,3,9,6.5,0
2020-01-12,26-246,LAC,AWAY,DEN,L (-10),0,21:15,2,3,.667,0,1,.000,2,4,.500,0,1,1,0,2,0,1,0,6,5.2,-9
2020-01-14,26-248,LAC,HOME,CLE,W (+25),1,26:55,3,4,.750,0,0,,0,0,,3,8,11,0,0,1,1,0,6,8.6,+35
2020-01-16,26-250,LAC,HOME,ORL,W (+27),1,13:30,0,4,.000,0,1,.000,0,0,,1,5,6,0,0,0,0,1,0,-1.0,+8
2020-01-21,26-255,LAC,AWAY,DAL,W (+3),1,8:50,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,4,0,-1.3,-4
2020-01-22,26-256,LAC,AWAY,ATL,L (-7),1,27:11,2,3,.667,0,0,,2,2,1.000,1,4,5,1,0,0,4,2,6,2.5,0
2020-01-24,26-258,LAC,AWAY,MIA,W (+5),1,32:25,2,5,.400,1,1,1.000,0,0,,0,3,3,3,2,0,0,5,5,5.3,-18
2020-01-26,26-260,LAC,AWAY,ORL,W (+15),1,30:55,3,5,.600,2,3,.667,0,0,,1,4,5,2,1,1,1,2,8,8.9,+24
