DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,27-267,DAL,HOME,WAS,W (+8),1,23:34,0,1,.000,0,1,.000,0,0,,1,7,8,1,0,3,3,4,0,0.3,-3
2019-10-25,27-269,DAL,AWAY,NOP,W (+7),0,33:21,2,6,.333,1,5,.200,3,4,.750,2,8,10,1,0,1,1,3,8,7.2,+9
2019-10-27,27-271,DAL,HOME,POR,L (-2),1,24:31,5,10,.500,2,6,.333,2,2,1.000,2,4,6,3,0,1,1,4,14,11.8,+2
2019-10-29,27-273,DAL,AWAY,DEN,W (+3),0,30:19,6,12,.500,1,4,.250,1,1,1.000,1,6,7,1,1,3,1,3,14,12.1,+1
2019-11-01,27-276,DAL,HOME,LAL,L (-9),0,31:01,3,10,.300,2,5,.400,0,0,,3,5,8,0,0,0,1,2,8,4.0,-14
2019-11-06,27-281,DAL,HOME,ORL,W (+1),0,19:54,4,6,.667,2,3,.667,4,4,1.000,0,3,3,2,0,0,0,2,14,12.9,+6
2019-11-08,27-283,DAL,HOME,NYK,L (-4),0,29:29,3,6,.500,2,5,.400,0,0,,1,4,5,0,1,0,0,1,8,7.5,-2
2019-11-09,27-284,DAL,AWAY,MEM,W (+16),1,23:33,4,7,.571,3,5,.600,0,0,,0,4,4,1,0,1,0,1,11,9.9,+2
2019-11-11,27-286,DAL,AWAY,BOS,L (-10),1,32:44,4,10,.400,4,8,.500,3,4,.750,5,3,8,2,0,1,0,2,15,14.9,-13
2019-11-14,27-289,DAL,AWAY,NYK,L (-3),0,18:17,0,3,.000,0,2,.000,0,0,,1,3,4,0,0,0,1,1,0,-1.9,-10
2019-11-16,27-291,DAL,HOME,TOR,W (+8),1,38:20,4,10,.400,2,8,.250,0,0,,0,6,6,2,0,1,0,2,10,7.7,+7
2019-11-18,27-293,DAL,HOME,SAS,W (+7),0,28:28,3,4,.750,2,3,.667,0,0,,2,2,4,2,1,0,1,1,8,9.4,+3
2019-11-20,27-295,DAL,HOME,GSW,W (+48),0,13:46,1,8,.125,1,5,.200,0,0,,3,3,6,1,0,0,0,0,3,1.5,+7
2019-11-22,27-297,DAL,HOME,CLE,W (+42),0,18:39,2,4,.500,0,1,.000,0,0,,0,5,5,0,1,1,0,1,4,4.8,+27
2019-11-24,27-299,DAL,AWAY,HOU,W (+14),0,25:26,3,5,.600,2,4,.500,3,3,1.000,0,2,2,1,0,0,2,4,11,6.4,+7
2019-11-26,27-301,DAL,HOME,LAC,L (-15),0,17:30,0,2,.000,0,2,.000,0,0,,2,4,6,0,0,1,1,2,0,0.1,-19
2019-11-29,27-304,DAL,AWAY,PHO,W (+7),0,24:24,4,10,.400,1,3,.333,0,0,,3,4,7,0,0,0,0,2,9,6.1,+7
2019-12-01,27-306,DAL,AWAY,LAL,W (+14),0,22:07,1,4,.250,1,2,.500,3,4,.750,2,7,9,2,0,0,0,3,6,6.9,+4
2019-12-03,27-308,DAL,AWAY,NOP,W (+21),0,20:54,3,5,.600,2,3,.667,4,4,1.000,4,0,4,0,0,1,0,0,12,13.2,+19
2019-12-04,27-309,DAL,HOME,MIN,W (+7),0,26:26,4,6,.667,2,4,.500,2,2,1.000,2,3,5,2,1,0,2,1,12,11.7,+11
2019-12-07,27-312,DAL,HOME,NOP,W (+46),0,18:20,2,6,.333,1,3,.333,2,2,1.000,2,1,3,1,0,0,1,1,7,4.6,+19
2019-12-08,27-313,DAL,HOME,SAC,L (-4),0,12:27,1,5,.200,0,2,.000,1,1,1.000,1,4,5,0,0,0,0,0,3,1.8,-17
2019-12-12,27-317,DAL,AWAY,DET,W (+11),0,18:18,2,4,.500,1,2,.500,0,0,,1,0,1,0,1,1,1,3,5,3.2,-1
2019-12-14,27-319,DAL,HOME,MIA,L (-4),0,29:52,7,9,.778,2,3,.667,1,1,1.000,1,2,3,3,0,1,0,3,17,16.4,+5
2019-12-16,27-321,DAL,AWAY,MIL,W (+4),0,28:34,4,7,.571,2,5,.400,0,0,,1,6,7,0,0,1,1,6,10,6.5,+8
2019-12-18,27-323,DAL,HOME,BOS,L (-6),0,21:18,2,4,.500,1,3,.333,2,2,1.000,1,1,2,0,0,3,0,4,7,6.5,-16
2019-12-20,27-325,DAL,AWAY,PHI,W (+19),0,23:06,4,5,.800,1,2,.500,1,2,.500,0,3,3,2,1,0,3,3,10,6.8,+9
2019-12-22,27-327,DAL,AWAY,TOR,L (-3),0,14:37,3,9,.333,1,3,.333,0,0,,2,3,5,0,0,0,1,3,7,2.0,-8
2019-12-26,27-331,DAL,HOME,SAS,W (+4),0,31:12,2,7,.286,2,6,.333,0,0,,4,8,12,2,1,0,1,2,6,7.7,+2
2019-12-28,27-333,DAL,AWAY,GSW,W (+20),0,20:40,3,5,.600,2,3,.667,0,0,,0,4,4,2,1,1,2,2,8,7.2,+14
2019-12-29,27-334,DAL,AWAY,LAL,L (-13),0,15:22,1,6,.167,1,4,.250,0,0,,2,1,3,0,0,0,0,3,3,-0.3,-3
2019-12-31,27-336,DAL,AWAY,OKC,L (-5),1,35:16,5,10,.500,4,9,.444,0,0,,6,8,14,2,0,0,1,3,14,14.8,-8
2020-01-02,27-338,DAL,HOME,BRK,W (+12),0,30:39,6,7,.857,3,4,.750,3,4,.750,0,4,4,1,0,3,1,3,18,16.9,+17
2020-01-04,27-340,DAL,HOME,CHO,L (-3),0,34:31,8,14,.571,6,12,.500,2,2,1.000,2,2,4,2,0,1,2,4,24,17.9,-12
2020-01-06,27-342,DAL,HOME,CHI,W (+8),0,27:18,3,6,.500,1,4,.250,0,0,,0,2,2,1,1,1,1,2,7,5.2,+15
2020-01-08,27-344,DAL,HOME,DEN,L (-1),0,23:28,4,9,.444,1,6,.167,4,4,1.000,0,7,7,1,1,1,0,2,13,12.0,-6
2020-01-10,27-346,DAL,HOME,LAL,L (-15),0,22:42,0,3,.000,0,2,.000,2,3,.667,1,1,2,1,0,3,0,3,2,2.1,-3
2020-01-11,27-347,DAL,HOME,PHI,W (+18),1,30:43,3,5,.600,3,4,.750,1,2,.500,0,8,8,1,1,3,1,1,10,12.1,+28
2020-01-14,27-350,DAL,AWAY,GSW,W (+27),1,24:19,3,5,.600,3,4,.750,2,2,1.000,1,6,7,1,0,0,0,0,11,11.9,+29
2020-01-15,27-351,DAL,AWAY,SAC,W (+4),1,30:11,5,9,.556,2,5,.400,2,2,1.000,2,2,4,0,1,1,2,2,14,10.6,+13
2020-01-17,27-353,DAL,HOME,POR,W (+8),1,33:02,2,8,.250,2,7,.286,4,4,1.000,2,3,5,1,0,3,1,3,10,8.1,+9
