DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-01,23-063,ORL,HOME,MIL,L (-32),0,5:36,1,5,.200,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-0.4,-2
2019-11-20,23-082,ORL,AWAY,TOR,L (-16),0,2:04,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+2
2019-12-01,23-093,ORL,HOME,GSW,W (+4),0,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2019-12-04,23-096,ORL,HOME,PHO,W (+14),0,2:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-7
2019-12-13,23-105,ORL,HOME,HOU,L (-23),0,4:16,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,0.5,-2
2019-12-20,23-112,ORL,AWAY,POR,L (-15),0,2:09,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,+3
2019-12-28,23-120,ORL,AWAY,MIL,L (-11),0,1:48,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,1.6,+5
2019-12-30,23-122,ORL,HOME,ATL,L (-8),0,3:54,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-4
2020-01-01,23-124,ORL,AWAY,WAS,W (+21),0,12:41,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,1,0,4,0,-1.3,+3
2020-01-04,23-127,ORL,HOME,UTA,L (-13),0,0:44,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+1
2020-01-08,23-131,ORL,HOME,WAS,W (+34),0,6:56,2,3,.667,1,1,1.000,1,2,.500,0,1,1,0,1,1,1,1,6,4.9,+4
2020-01-26,23-149,ORL,HOME,LAC,L (-15),0,1:10,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+1
2020-01-27,23-150,ORL,AWAY,MIA,L (-21),0,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
2020-02-08,23-162,ORL,HOME,MIL,L (-16),0,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2020-03-02,23-185,ORL,HOME,POR,L (-23),0,3:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-3
