DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,28-114,OKC,AWAY,UTA,L (-5),0,15:36,0,4,.000,0,3,.000,4,4,1.000,0,4,4,2,0,2,1,2,4,3.4,+1
2019-10-25,28-116,OKC,HOME,WAS,L (-12),0,11:37,1,4,.250,1,4,.250,0,0,,0,3,3,0,0,0,0,2,3,0.7,-1
2019-10-27,28-118,OKC,HOME,GSW,W (+28),0,7:45,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,0,2,2,0.1,-7
2019-10-30,28-121,OKC,HOME,POR,L (-3),0,18:48,2,9,.222,0,6,.000,0,0,,1,2,3,1,0,0,0,2,4,-0.3,-3
2019-11-02,28-124,OKC,HOME,NOP,W (+11),0,19:40,0,4,.000,0,3,.000,0,0,,1,2,3,2,1,1,1,5,0,-1.4,+3
2019-11-05,28-127,OKC,HOME,ORL,W (+8),0,4:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0
2019-11-07,28-129,OKC,AWAY,SAS,L (-9),0,0:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
2019-11-09,28-131,OKC,HOME,GSW,W (+6),0,15:36,3,5,.600,3,5,.600,0,0,,0,4,4,2,0,0,1,0,9,8.3,+22
2019-11-10,28-132,OKC,HOME,MIL,L (-2),0,18:07,4,9,.444,4,9,.444,0,0,,1,2,3,3,0,0,2,2,12,7.9,-1
2019-11-12,28-134,OKC,AWAY,IND,L (-26),0,8:25,0,1,.000,0,1,.000,1,2,.500,1,1,2,2,0,0,0,1,1,1.9,-6
2019-11-15,28-137,OKC,HOME,PHI,W (+8),0,4:14,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,+3
2019-11-22,28-144,OKC,HOME,LAL,L (-3),0,21:13,3,9,.333,1,4,.250,0,0,,1,4,5,1,2,0,0,2,7,5.7,+1
2019-11-27,28-149,OKC,AWAY,POR,L (-17),0,4:25,1,2,.500,1,1,1.000,2,2,1.000,1,2,3,0,0,0,0,1,5,4.9,+5
2019-12-08,28-160,OKC,AWAY,POR,W (+12),0,0:40,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+1
2019-12-09,28-161,OKC,AWAY,UTA,W (+14),0,15:31,2,5,.400,1,4,.250,0,0,,0,2,2,0,1,0,1,0,5,2.9,+5
