DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-25,21-207,NYK,AWAY,BRK,L (-4),1,16:35,3,4,.750,0,0,,0,0,,2,5,7,1,4,1,3,5,6,7.7,-4
2019-10-26,21-208,NYK,HOME,BOS,L (-23),1,19:51,7,7,1.000,0,0,,3,3,1.000,4,2,6,0,0,3,1,4,17,17.8,-9
2019-10-28,21-210,NYK,HOME,CHI,W (+7),1,18:20,4,9,.444,0,0,,2,4,.500,6,3,9,0,0,2,0,4,10,9.4,-24
2019-10-30,21-212,NYK,AWAY,ORL,L (-12),1,19:28,4,6,.667,0,0,,4,4,1.000,2,3,5,2,0,3,0,1,12,14.8,-9
2019-11-01,21-214,NYK,AWAY,BOS,L (-2),1,16:16,3,5,.600,0,0,,0,1,.000,2,4,6,0,0,2,1,3,6,5.1,-4
2019-11-03,21-216,NYK,HOME,SAC,L (-21),0,24:34,4,4,1.000,0,0,,2,3,.667,3,2,5,0,1,2,0,4,10,11.9,+5
2019-11-06,21-219,NYK,AWAY,DET,L (-20),1,7:55,3,4,.750,0,0,,0,0,,2,2,4,1,0,0,0,1,6,6.7,0
2019-11-14,21-227,NYK,HOME,DAL,W (+3),0,22:21,7,8,.875,0,0,,2,2,1.000,3,5,8,0,0,1,1,6,16,14.1,+3
2019-11-16,21-229,NYK,HOME,CHO,L (-1),0,26:42,6,8,.750,0,0,,5,7,.714,6,6,12,1,1,1,1,0,17,20.4,-3
2019-11-18,21-231,NYK,HOME,CLE,W (+18),0,16:42,3,7,.429,0,0,,1,2,.500,4,4,8,0,0,4,1,5,7,6.7,-4
2019-11-20,21-233,NYK,AWAY,PHI,L (-5),0,13:14,2,2,1.000,0,0,,0,0,,0,2,2,0,0,3,0,4,4,4.5,-10
2019-11-23,21-236,NYK,HOME,SAS,L (-7),0,23:52,2,3,.667,0,0,,2,2,1.000,2,2,4,4,2,2,0,2,6,12.1,-6
2019-11-24,21-237,NYK,HOME,BRK,L (-2),0,19:01,2,2,1.000,0,0,,2,4,.500,2,1,3,0,0,3,3,6,6,3.0,-1
2019-11-27,21-240,NYK,AWAY,TOR,L (-28),0,30:40,2,3,.667,0,0,,4,5,.800,1,7,8,0,1,1,2,2,8,8.0,-11
2019-11-29,21-242,NYK,HOME,PHI,L (-6),0,29:22,1,5,.200,0,0,,1,6,.167,4,3,7,0,0,2,0,6,3,0.6,-1
2019-12-01,21-244,NYK,HOME,BOS,L (-9),0,19:31,2,2,1.000,0,0,,2,2,1.000,1,4,5,0,0,0,2,6,6,2.9,-4
2019-12-02,21-245,NYK,AWAY,MIL,L (-44),0,23:28,2,5,.400,0,0,,0,4,.000,6,8,14,1,1,3,0,5,4,8.1,-12
2019-12-05,21-248,NYK,HOME,DEN,L (-37),0,29:56,6,8,.750,0,0,,5,8,.625,3,4,7,1,2,1,0,0,17,19.3,-21
2019-12-07,21-250,NYK,HOME,IND,L (-1),0,25:02,6,9,.667,0,0,,2,2,1.000,2,5,7,1,2,3,1,1,14,16.4,-8
2019-12-10,21-253,NYK,AWAY,POR,L (-28),0,27:19,5,8,.625,0,0,,4,7,.571,4,1,5,0,0,1,1,3,14,10.8,-6
2019-12-11,21-254,NYK,AWAY,GSW,W (+2),0,29:53,4,7,.571,0,0,,1,2,.500,5,4,9,1,0,3,0,3,9,11.6,-4
2019-12-13,21-256,NYK,AWAY,SAC,W (+2),0,25:15,7,9,.778,0,0,,0,0,,5,4,9,0,1,0,0,2,14,15.4,+5
2019-12-15,21-258,NYK,AWAY,DEN,L (-6),0,24:34,4,5,.800,0,0,,0,0,,3,4,7,0,1,1,1,4,8,8.5,-16
2019-12-17,21-260,NYK,HOME,ATL,W (+23),0,29:14,9,13,.692,0,0,,4,4,1.000,6,7,13,0,1,2,1,4,22,22.6,+25
2019-12-20,21-263,NYK,AWAY,MIA,L (-15),0,28:00,8,9,.889,0,0,,2,2,1.000,3,1,4,1,1,1,0,6,18,17.3,-4
2019-12-21,21-264,NYK,HOME,MIL,L (-21),0,22:10,2,4,.500,0,0,,2,3,.667,0,1,1,0,3,1,0,6,6,5.2,-2
2019-12-23,21-266,NYK,HOME,WAS,L (-6),1,22:53,3,6,.500,0,0,,0,0,,4,9,13,0,0,6,0,5,6,10.7,+6
2019-12-26,21-269,NYK,AWAY,BRK,W (+12),0,28:20,4,6,.667,0,0,,2,5,.400,5,5,10,1,1,2,0,2,10,13.5,+12
2019-12-28,21-271,NYK,AWAY,WAS,W (+7),0,12:57,4,5,.800,0,0,,1,4,.250,3,6,9,0,1,2,0,4,9,10.6,+12
