DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,24-118,DEN,AWAY,POR,W (+8),0,14:11,2,6,.333,0,0,,2,2,1.000,0,1,1,3,0,0,1,0,6,4.0,-1
2019-10-25,24-120,DEN,HOME,PHO,W (+1),0,12:23,0,6,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-2.8,-2
2019-10-28,24-123,DEN,AWAY,SAC,W (+7),0,16:57,2,8,.250,1,2,.500,1,1,1.000,0,2,2,2,0,0,2,1,6,0.8,+2
2019-10-29,24-124,DEN,HOME,DAL,L (-3),0,14:10,3,5,.600,0,0,,0,0,,0,1,1,2,0,0,0,0,6,5.4,-13
2019-10-31,24-126,DEN,AWAY,NOP,L (-15),0,21:43,4,10,.400,1,1,1.000,0,0,,0,0,0,8,0,0,0,1,9,8.8,-4
2019-11-02,24-128,DEN,AWAY,ORL,W (+4),0,15:52,3,7,.429,1,2,.500,3,4,.750,0,3,3,0,2,0,0,0,10,8.8,-3
2019-11-05,24-131,DEN,HOME,MIA,W (+20),0,22:08,5,7,.714,0,1,.000,1,1,1.000,0,2,2,8,1,1,1,2,11,14.2,-3
2019-11-08,24-134,DEN,HOME,PHI,W (+3),0,16:25,1,4,.250,0,0,,0,0,,1,1,2,1,0,0,1,1,2,-0.1,-7
2019-11-10,24-136,DEN,AWAY,MIN,W (+2),0,21:48,2,5,.400,0,1,.000,0,0,,0,1,1,4,0,0,0,0,4,4.4,0
2019-11-12,24-138,DEN,HOME,ATL,L (-4),0,21:54,6,11,.545,1,3,.333,1,1,1.000,0,3,3,4,0,1,0,0,14,13.1,0
2019-11-14,24-140,DEN,HOME,BRK,W (+8),0,19:20,4,11,.364,1,2,.500,1,2,.500,1,2,3,7,1,0,0,0,10,10.7,+6
2019-11-17,24-143,DEN,AWAY,MEM,W (+17),0,19:18,3,5,.600,1,1,1.000,1,2,.500,1,1,2,4,1,0,2,2,8,7.3,-4
2019-11-20,24-146,DEN,HOME,HOU,W (+10),0,14:35,1,5,.200,0,1,.000,1,2,.500,1,3,4,2,0,0,1,0,3,1.5,-2
2019-11-22,24-148,DEN,HOME,BOS,W (+4),0,9:54,2,4,.500,0,1,.000,0,0,,0,0,0,0,1,0,1,1,4,1.6,-4
2019-11-24,24-150,DEN,HOME,PHO,W (+12),0,13:40,4,5,.800,1,1,1.000,1,3,.333,0,3,3,4,0,0,1,0,10,10.0,+1
2019-11-26,24-152,DEN,HOME,WAS,W (+13),0,23:04,4,9,.444,0,1,.000,2,2,1.000,0,3,3,5,0,1,0,1,10,10.0,+1
2019-11-30,24-156,DEN,AWAY,SAC,L (-3),0,16:07,0,3,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,1,0,-2.5,+2
2019-12-03,24-159,DEN,HOME,LAL,L (-9),0,12:16,2,4,.500,1,1,1.000,0,0,,0,0,0,2,0,1,0,2,5,4.3,-2
2019-12-05,24-161,DEN,AWAY,NYK,W (+37),0,25:49,6,9,.667,1,3,.333,2,2,1.000,0,3,3,6,3,1,1,4,15,17.3,+27
2019-12-06,24-162,DEN,AWAY,BOS,L (-13),0,13:55,2,5,.400,0,1,.000,5,6,.833,0,1,1,2,0,0,2,0,9,5.6,-3
2019-12-08,24-164,DEN,AWAY,BRK,L (-3),0,15:13,3,8,.375,2,5,.400,1,2,.500,0,0,0,4,1,0,1,3,9,5.8,+11
2019-12-10,24-166,DEN,AWAY,PHI,L (-5),0,31:10,3,9,.333,1,2,.500,0,0,,0,3,3,2,1,2,1,1,7,5.2,-1
2019-12-12,24-168,DEN,HOME,POR,W (+15),0,19:47,4,8,.500,1,3,.333,2,2,1.000,0,1,1,7,2,0,0,0,11,14.2,+16
2019-12-14,24-170,DEN,HOME,OKC,W (+8),0,22:33,3,3,1.000,0,0,,1,1,1.000,0,1,1,1,0,0,2,0,7,5.1,-12
2019-12-15,24-171,DEN,HOME,NYK,W (+6),0,15:23,1,6,.167,0,2,.000,0,0,,1,0,1,3,0,0,1,0,2,0.0,+4
2019-12-18,24-174,DEN,HOME,ORL,W (+9),0,12:50,2,4,.500,1,1,1.000,0,0,,0,0,0,4,2,0,1,1,5,6.4,-5
2019-12-20,24-176,DEN,HOME,MIN,W (+9),0,13:54,2,6,.333,0,0,,0,0,,1,0,1,3,1,0,0,1,4,4.0,-8
2019-12-22,24-178,DEN,AWAY,LAL,W (+24),0,19:51,4,10,.400,1,4,.250,0,0,,3,2,5,2,2,0,0,1,9,9.3,+17
2019-12-23,24-179,DEN,AWAY,PHO,W (+2),0,12:50,3,6,.500,2,2,1.000,0,0,,0,0,0,1,1,0,0,1,8,6.3,-4
2019-12-25,24-181,DEN,HOME,NOP,L (-12),0,22:06,2,7,.286,1,2,.500,0,0,,0,1,1,6,1,1,0,0,5,7.1,-8
2019-12-28,24-184,DEN,HOME,MEM,W (+9),0,14:53,1,3,.333,1,2,.500,0,0,,0,2,2,1,0,0,0,1,3,2.2,+7
2019-12-29,24-185,DEN,HOME,SAC,W (+5),0,17:17,2,6,.333,0,1,.000,1,1,1.000,0,0,0,2,0,0,0,0,5,3.0,-1
2019-12-31,24-187,DEN,AWAY,HOU,L (-26),0,23:12,8,12,.667,1,3,.333,1,1,1.000,1,2,3,4,3,0,0,0,18,19.9,-24
2020-01-02,24-189,DEN,AWAY,IND,W (+8),0,13:59,3,5,.600,1,1,1.000,0,0,,0,0,0,3,0,0,0,0,7,6.8,+2
2020-01-04,24-191,DEN,AWAY,WAS,L (-14),0,15:11,3,7,.429,0,1,.000,0,0,,0,1,1,3,1,0,1,2,6,3.9,-12
2020-01-06,24-193,DEN,AWAY,ATL,W (+8),0,19:11,6,9,.667,1,1,1.000,1,1,1.000,0,4,4,2,0,0,0,1,14,12.3,+10
2020-01-08,24-195,DEN,AWAY,DAL,W (+1),0,20:41,4,8,.500,1,2,.500,0,0,,0,0,0,4,1,0,1,1,9,7.4,+3
2020-01-11,24-198,DEN,HOME,CLE,L (-8),0,23:34,5,10,.500,1,4,.250,0,0,,0,1,1,4,1,1,0,1,11,10.4,+6
2020-01-12,24-199,DEN,HOME,LAC,W (+10),0,18:10,5,9,.556,2,4,.500,0,0,,0,0,0,6,0,0,1,0,12,10.9,+16
2020-01-15,24-202,DEN,HOME,CHO,W (+14),0,23:57,1,4,.250,1,2,.500,1,1,1.000,0,1,1,5,0,0,0,0,4,5.4,+11
2020-01-16,24-203,DEN,AWAY,GSW,W (+3),1,25:51,3,9,.333,1,3,.333,4,4,1.000,1,2,3,3,0,0,1,1,11,7.9,-5
2020-01-19,24-206,DEN,HOME,IND,L (-8),1,28:58,1,7,.143,0,2,.000,0,0,,0,2,2,5,1,0,1,0,2,1.6,+1
2020-01-20,24-207,DEN,AWAY,MIN,W (+7),1,35:34,4,12,.333,0,3,.000,0,0,,2,2,4,8,1,0,0,1,8,9.4,+9
2020-01-22,24-209,DEN,AWAY,HOU,L (-16),1,28:56,4,7,.571,2,4,.500,1,1,1.000,0,2,2,3,3,0,1,2,11,11.6,-1
2020-01-24,24-211,DEN,AWAY,NOP,W (+7),0,14:02,4,8,.500,2,5,.400,0,0,,0,0,0,4,0,0,1,3,10,6.6,+4
2020-01-26,24-213,DEN,HOME,HOU,W (+7),0,35:08,7,15,.467,3,6,.500,0,0,,1,6,7,4,1,1,1,2,17,14.5,+4
2020-01-28,24-215,DEN,AWAY,MEM,L (-8),0,33:51,3,8,.375,2,5,.400,1,2,.500,1,4,5,6,1,0,3,1,9,7.9,+1
2020-01-30,24-217,DEN,HOME,UTA,W (+6),1,32:08,3,6,.500,1,2,.500,0,0,,0,1,1,4,0,0,2,2,7,4.3,-8
2020-01-31,24-218,DEN,AWAY,MIL,W (+12),1,29:24,5,9,.556,1,2,.500,3,3,1.000,0,1,1,1,0,0,0,1,14,10.3,+3
2020-02-02,24-220,DEN,AWAY,DET,L (-5),1,39:05,8,15,.533,2,7,.286,1,1,1.000,3,4,7,7,1,0,0,2,19,20.1,+2
2020-02-04,24-222,DEN,HOME,POR,W (+28),0,22:55,3,7,.429,1,2,.500,0,0,,0,0,0,4,0,0,0,1,7,5.7,+14
2020-02-05,24-223,DEN,AWAY,UTA,W (+3),1,41:41,7,12,.583,1,4,.250,0,0,,0,2,2,3,2,1,1,2,15,13.0,+2
2020-02-08,24-226,DEN,AWAY,PHO,W (+9),0,26:42,4,9,.444,1,2,.500,2,3,.667,1,0,1,5,1,0,1,2,11,9.3,0
2020-02-10,24-228,DEN,HOME,SAS,W (+7),0,22:37,6,9,.667,2,3,.667,2,2,1.000,0,0,0,4,1,0,1,0,16,14.9,+20
2020-02-12,24-230,DEN,HOME,LAL,L (-4),0,25:02,5,8,.625,1,2,.500,1,2,.500,0,2,2,4,2,0,0,2,12,12.6,+1
2020-02-21,24-239,DEN,AWAY,OKC,L (-12),0,20:07,3,7,.429,0,4,.000,0,0,,1,0,1,0,2,0,1,2,6,3.2,-7
2020-02-23,24-241,DEN,HOME,MIN,W (+12),0,31:04,6,10,.600,1,3,.333,0,0,,0,6,6,6,2,0,1,2,13,14.6,+15
2020-02-25,24-243,DEN,HOME,DET,W (+17),0,26:05,4,5,.800,0,0,,0,0,,0,2,2,5,3,1,1,2,8,12.1,+10
2020-02-28,24-246,DEN,AWAY,LAC,L (-29),0,22:02,3,8,.375,1,4,.250,0,0,,0,0,0,3,2,0,0,1,7,6.3,-11
2020-03-01,24-248,DEN,HOME,TOR,W (+15),0,29:13,4,9,.444,2,5,.400,2,2,1.000,0,3,3,4,1,0,2,1,12,9.6,+8
2020-03-03,24-250,DEN,HOME,GSW,L (-16),0,22:45,2,6,.333,0,1,.000,0,0,,0,1,1,2,0,1,1,2,4,1.2,-10
2020-03-05,24-252,DEN,AWAY,CHO,W (+2),0,24:45,6,8,.750,1,3,.333,2,2,1.000,0,1,1,4,1,1,2,1,15,14.2,+8
2020-03-07,24-254,DEN,AWAY,CLE,L (-2),0,22:09,3,6,.500,1,2,.500,0,0,,0,1,1,1,1,0,1,0,7,5.0,-3
2020-03-09,24-256,DEN,HOME,MIL,W (+14),0,23:32,2,9,.222,0,2,.000,3,3,1.000,0,0,0,5,0,2,0,1,7,6.0,+7
2020-03-11,24-258,DEN,AWAY,DAL,L (-16),0,17:12,1,6,.167,1,3,.333,0,0,,0,0,0,1,1,0,0,0,3,0.9,-17
