DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,22-180,WAS,AWAY,DAL,L (-8),0,16:38,4,5,.800,3,4,.750,2,2,1.000,1,1,2,0,0,0,5,6,13,4.7,+5
2019-10-25,22-182,WAS,AWAY,OKC,W (+12),0,16:33,4,7,.571,1,2,.500,1,2,.500,1,6,7,0,0,1,5,1,10,4.1,+9
2019-10-26,22-183,WAS,AWAY,SAS,L (-2),0,17:35,4,7,.571,1,3,.333,0,0,,1,3,4,1,0,3,2,4,9,6.5,+4
2019-10-30,22-187,WAS,HOME,HOU,L (-1),0,13:42,5,8,.625,0,1,.000,2,3,.667,2,3,5,1,1,0,3,2,12,8.2,+5
2019-11-02,22-190,WAS,HOME,MIN,L (-22),0,28:13,6,9,.667,0,2,.000,2,2,1.000,1,4,5,0,2,0,2,4,14,10.4,+5
2019-11-04,22-192,WAS,HOME,DET,W (+16),0,21:30,4,7,.571,0,1,.000,4,4,1.000,1,3,4,0,2,3,0,4,12,12.8,+21
2019-11-06,22-194,WAS,AWAY,IND,L (-15),0,13:47,2,6,.333,2,4,.500,2,2,1.000,3,4,7,0,0,0,1,6,8,4.5,-4
2019-11-08,22-196,WAS,HOME,CLE,L (-13),0,14:25,4,6,.667,0,1,.000,0,0,,2,6,8,0,0,3,1,4,8,8.1,-5
2019-11-13,22-201,WAS,AWAY,BOS,L (-7),0,17:39,2,6,.333,0,1,.000,8,9,.889,0,2,2,1,1,0,3,5,12,5.5,+4
2019-11-15,22-203,WAS,AWAY,MIN,W (+21),0,25:25,13,15,.867,4,4,1.000,0,2,.000,2,13,15,2,1,1,2,5,30,28.3,+18
2019-11-17,22-205,WAS,AWAY,ORL,L (-4),0,20:24,5,8,.625,2,4,.500,0,0,,1,2,3,3,0,0,1,2,12,10.0,0
2019-11-20,22-208,WAS,HOME,SAS,W (+6),0,25:33,5,8,.625,3,4,.750,0,0,,1,5,6,3,0,0,3,5,13,8.7,+3
2019-11-22,22-210,WAS,HOME,CHO,W (+7),0,13:37,3,5,.600,1,2,.500,0,0,,1,1,2,1,1,0,2,4,7,3.8,-14
2019-11-24,22-212,WAS,HOME,SAC,L (-7),0,18:59,6,9,.667,0,2,.000,0,0,,3,8,11,4,0,0,2,2,12,12.6,-8
2019-11-26,22-214,WAS,AWAY,DEN,L (-13),0,25:15,6,8,.750,1,3,.333,1,1,1.000,1,1,2,3,1,0,1,3,14,12.7,+1
2019-11-27,22-215,WAS,AWAY,PHO,W (+8),0,18:12,5,7,.714,1,2,.500,0,0,,0,4,4,3,2,0,3,4,11,8.8,-4
2019-11-29,22-217,WAS,AWAY,LAL,L (-22),0,21:49,1,9,.111,0,4,.000,5,5,1.000,5,3,8,1,1,1,4,5,7,1.9,-3
2019-12-05,22-223,WAS,HOME,PHI,W (+6),1,25:57,2,6,.333,0,4,.000,1,2,.500,2,9,11,1,1,0,0,4,5,5.4,-11
2019-12-06,22-224,WAS,AWAY,MIA,L (-9),1,30:35,7,14,.500,1,4,.250,4,4,1.000,2,7,9,1,2,0,2,5,19,14.2,-10
2019-12-08,22-226,WAS,HOME,LAC,L (-16),1,17:35,2,3,.667,2,2,1.000,1,2,.500,1,5,6,0,0,0,1,2,7,5.7,-30
2019-12-10,22-228,WAS,AWAY,CHO,L (-7),1,25:44,3,7,.429,0,2,.000,3,3,1.000,3,3,6,3,0,1,0,4,9,9.5,-18
2020-02-03,22-283,WAS,HOME,GSW,L (-8),0,12:16,4,5,.800,0,0,,0,0,,0,2,2,0,0,0,1,2,8,4.9,+5
2020-02-07,22-287,WAS,HOME,DAL,W (+1),0,18:10,3,5,.600,0,2,.000,0,0,,1,3,4,1,1,0,0,2,6,6.2,+5
2020-02-09,22-289,WAS,HOME,MEM,L (-7),0,24:05,7,11,.636,1,3,.333,4,6,.667,1,8,9,2,0,0,1,3,19,15.6,-11
2020-02-11,22-291,WAS,HOME,CHI,W (+12),0,26:34,5,7,.714,0,1,.000,2,3,.667,0,3,3,2,1,1,3,2,12,8.9,-3
2020-02-12,22-292,WAS,AWAY,NYK,W (+18),0,16:33,2,5,.400,0,1,.000,2,4,.500,0,4,4,0,1,1,1,5,6,2.4,+8
2020-02-21,22-301,WAS,HOME,CLE,L (-5),0,15:31,2,7,.286,0,1,.000,0,0,,1,4,5,1,0,0,1,4,4,-0.1,-5
2020-02-23,22-303,WAS,AWAY,CHI,L (-9),0,15:01,0,2,.000,0,1,.000,4,4,1.000,0,2,2,2,0,1,0,1,4,4.9,0
2020-02-24,22-304,WAS,HOME,MIL,L (-3),0,28:28,1,3,.333,0,0,,6,8,.750,1,9,10,5,0,0,0,6,8,10.0,+11
2020-02-26,22-306,WAS,HOME,BRK,W (+4),0,13:03,1,1,1.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,5,4,3.0,+2
2020-02-28,22-308,WAS,AWAY,UTA,L (-10),0,6:50,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,1.7,+3
2020-03-01,22-310,WAS,AWAY,GSW,W (+14),0,10:56,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,3,0,-0.5,-3
2020-03-03,22-312,WAS,AWAY,SAC,L (-7),0,13:42,0,3,.000,0,2,.000,2,2,1.000,0,1,1,1,1,1,0,4,2,1.0,-8
2020-03-04,22-313,WAS,AWAY,POR,L (-21),1,18:55,4,8,.500,0,0,,1,2,.500,7,2,9,1,2,0,1,4,9,10.2,-20
2020-03-06,22-315,WAS,HOME,ATL,W (+6),0,18:21,4,4,1.000,0,0,,2,2,1.000,1,3,4,1,1,0,1,6,10,8.7,-1
2020-03-08,22-317,WAS,HOME,MIA,L (-11),0,18:14,1,2,.500,0,0,,2,2,1.000,1,3,4,1,0,0,0,2,4,4.5,+10
2020-03-10,22-319,WAS,HOME,NYK,W (+7),0,21:11,3,4,.750,0,0,,4,4,1.000,3,0,3,1,0,0,1,4,10,8.6,+3
