DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,26-291,MIL,AWAY,HOU,W (+6),0,16:48,4,8,.500,2,5,.400,0,0,,0,4,4,2,0,1,0,1,10,8.9,-6
2019-10-26,26-293,MIL,HOME,MIA,L (-5),0,13:02,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,1,0,-0.5,-3
2019-10-28,26-295,MIL,HOME,CLE,W (+17),0,20:55,6,8,.750,4,5,.800,1,1,1.000,0,4,4,4,0,0,0,3,17,16.6,-2
2019-10-30,26-297,MIL,AWAY,BOS,L (-11),0,21:19,2,8,.250,2,6,.333,0,0,,0,0,0,1,0,0,0,1,6,1.5,-7
2019-11-01,26-299,MIL,AWAY,ORL,W (+32),0,16:23,2,9,.222,0,5,.000,0,0,,0,2,2,1,1,2,0,1,4,1.8,+11
2019-11-04,26-302,MIL,AWAY,MIN,W (+28),0,16:02,0,2,.000,0,2,.000,0,0,,0,6,6,1,0,0,1,1,0,-0.3,-5
2019-11-06,26-304,MIL,AWAY,LAC,W (+5),0,13:58,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,0,0,1,0,0.6,0
2019-11-10,26-308,MIL,AWAY,OKC,W (+2),0,12:59,2,4,.500,0,2,.000,0,0,,0,5,5,1,1,0,2,0,4,3.2,+5
2019-11-14,26-312,MIL,HOME,CHI,W (+9),0,19:17,2,4,.500,2,4,.500,0,0,,2,2,4,3,1,0,0,2,6,8.3,+10
2019-11-16,26-314,MIL,AWAY,IND,W (+19),0,11:41,0,1,.000,0,1,.000,0,0,,1,2,3,1,0,2,0,1,0,2.3,+3
2019-11-18,26-316,MIL,AWAY,CHI,W (+14),0,12:48,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,-13
2019-11-20,26-318,MIL,AWAY,ATL,W (+8),0,15:56,3,4,.750,1,2,.500,0,0,,0,1,1,2,0,2,0,0,7,8.5,+15
2019-11-21,26-319,MIL,HOME,POR,W (+8),0,21:37,7,10,.700,2,3,.667,2,2,1.000,1,3,4,2,0,0,1,1,18,15.4,+2
2019-11-23,26-321,MIL,HOME,DET,W (+14),0,20:38,3,6,.500,1,4,.250,0,0,,0,6,6,1,0,0,0,2,7,5.7,-12
2019-11-25,26-323,MIL,HOME,UTA,W (+4),0,27:19,4,6,.667,1,3,.333,2,2,1.000,2,4,6,2,0,2,0,1,11,13.4,-2
2019-11-27,26-325,MIL,HOME,ATL,W (+9),0,19:23,1,2,.500,0,1,.000,1,1,1.000,0,4,4,0,0,1,4,0,3,-0.1,-15
2019-11-29,26-327,MIL,AWAY,CLE,W (+9),0,23:47,0,3,.000,0,1,.000,3,4,.750,1,5,6,1,2,0,1,1,3,4.0,+9
2019-11-30,26-328,MIL,HOME,CHO,W (+41),0,19:29,3,4,.750,0,1,.000,0,0,,1,9,10,6,0,0,0,1,6,11.6,+18
2019-12-02,26-330,MIL,HOME,NYK,W (+44),0,18:24,1,2,.500,0,0,,3,6,.500,0,7,7,4,0,0,1,2,5,5.9,+10
2019-12-04,26-332,MIL,AWAY,DET,W (+24),0,17:48,2,5,.400,1,2,.500,0,0,,1,2,3,3,1,1,2,0,5,5.4,+1
2019-12-06,26-334,MIL,HOME,LAC,W (+28),0,21:08,5,5,1.000,2,2,1.000,1,1,1.000,0,4,4,1,0,0,1,2,13,11.6,+35
2019-12-09,26-337,MIL,HOME,ORL,W (+9),0,12:43,0,2,.000,0,2,.000,0,0,,1,3,4,3,2,0,0,1,0,3.9,-4
2019-12-11,26-339,MIL,HOME,NOP,W (+15),0,5:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
2019-12-13,26-341,MIL,AWAY,MEM,W (+13),0,16:14,1,2,.500,0,1,.000,0,0,,0,5,5,2,0,0,2,1,2,1.5,+16
2019-12-14,26-342,MIL,HOME,CLE,W (+17),0,21:57,1,2,.500,0,0,,0,0,,1,3,4,3,0,1,1,0,2,4.4,-1
2019-12-16,26-344,MIL,HOME,DAL,L (-4),0,11:35,2,5,.400,1,3,.333,0,0,,1,0,1,1,0,0,0,1,5,3.3,-9
2019-12-19,26-347,MIL,HOME,LAL,W (+7),0,8:39,1,2,.500,0,0,,0,2,.000,1,0,1,0,0,1,0,1,2,1.2,+6
2019-12-21,26-349,MIL,AWAY,NYK,W (+21),0,24:07,0,4,.000,0,2,.000,0,0,,0,4,4,4,0,2,0,1,0,2.2,0
2019-12-22,26-350,MIL,HOME,IND,W (+28),0,19:55,2,7,.286,1,4,.250,1,1,1.000,1,3,4,1,0,0,1,0,6,3.2,+12
