DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-28,24-003,TOR,HOME,ORL,W (+9),0,16:56,1,2,.500,0,1,.000,1,2,.500,1,2,3,1,2,0,0,1,3,5.2,-1
2019-10-30,24-005,TOR,HOME,DET,W (+12),0,23:00,2,3,.667,1,2,.500,0,0,,1,2,3,2,1,0,3,2,5,3.6,-10
2019-12-11,24-047,TOR,HOME,LAC,L (-20),0,9:47,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-3.2,-14
2019-12-14,24-050,TOR,HOME,BRK,W (+8),0,28:40,1,7,.143,0,5,.000,0,0,,1,1,2,3,0,0,1,0,2,-0.4,+11
2019-12-16,24-052,TOR,HOME,CLE,W (+20),0,21:56,2,2,1.000,2,2,1.000,0,0,,0,1,1,2,1,0,2,2,6,5.3,+9
2019-12-18,24-054,TOR,AWAY,DET,W (+13),0,27:01,1,3,.333,0,2,.000,0,0,,0,3,3,2,0,0,0,0,2,2.6,+1
2019-12-20,24-056,TOR,HOME,WAS,W (+4),1,33:50,4,8,.500,1,4,.250,2,2,1.000,0,1,1,1,3,0,3,3,11,6.8,+3
2019-12-22,24-058,TOR,HOME,DAL,W (+3),1,25:32,3,6,.500,2,4,.500,0,0,,1,1,2,1,4,0,0,2,8,9.9,-25
2019-12-23,24-059,TOR,AWAY,IND,L (-5),1,20:24,2,5,.400,1,2,.500,0,0,,1,1,2,0,0,0,1,4,5,0.7,+4
2019-12-25,24-061,TOR,HOME,BOS,L (-16),1,32:27,1,5,.200,0,1,.000,0,0,,0,3,3,0,1,0,1,2,2,-1.0,-22
2019-12-28,24-064,TOR,AWAY,BOS,W (+16),1,42:52,8,12,.667,2,4,.500,0,0,,1,6,7,8,1,1,2,1,18,20.2,+9
2019-12-29,24-065,TOR,HOME,OKC,L (-1),1,36:41,5,9,.556,3,5,.600,0,0,,1,1,2,2,2,0,2,1,13,10.7,-10
2019-12-31,24-067,TOR,HOME,CLE,W (+20),1,22:04,2,5,.400,1,2,.500,1,2,.500,0,4,4,4,1,0,0,1,6,7.5,+6
2020-01-02,24-069,TOR,AWAY,MIA,L (-8),1,27:59,1,8,.125,1,4,.250,0,0,,1,0,1,1,0,0,0,0,3,-0.8,-4
2020-01-04,24-071,TOR,AWAY,BRK,W (+19),1,24:41,4,7,.571,0,1,.000,0,0,,0,3,3,1,1,0,0,5,8,5.3,-1
2020-01-07,24-074,TOR,HOME,POR,L (-2),1,35:49,2,8,.250,0,1,.000,2,2,1.000,0,4,4,3,3,0,1,2,6,5.7,-1
2020-01-08,24-075,TOR,AWAY,CHO,W (+2),1,42:53,6,10,.600,1,3,.333,0,0,,2,3,5,11,1,0,2,3,13,16.2,+5
2020-01-12,24-079,TOR,HOME,SAS,L (-1),0,19:34,1,3,.333,0,2,.000,0,0,,0,2,2,2,0,0,1,0,2,1.3,-19
2020-01-15,24-082,TOR,AWAY,OKC,W (+9),0,25:29,2,5,.400,1,2,.500,1,1,1.000,0,0,0,5,2,0,1,3,6,6.6,-5
2020-01-17,24-084,TOR,HOME,WAS,W (+29),0,21:38,1,3,.333,0,1,.000,0,0,,0,0,0,4,0,0,1,1,2,1.7,+20
2020-01-18,24-085,TOR,AWAY,MIN,W (+10),0,21:39,1,1,1.000,0,0,,0,0,,1,0,1,0,1,3,0,1,2,5.1,+4
