DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-14,29-196,LAC,AWAY,NOP,L (-5),1,24:12,10,17,.588,3,5,.600,10,10,1.000,0,9,9,4,0,0,5,5,33,23.6,+7
2019-11-16,29-198,LAC,HOME,ATL,W (+49),1,20:10,10,17,.588,6,11,.545,11,11,1.000,2,2,4,3,2,1,3,0,37,32.9,+28
2019-11-18,29-200,LAC,HOME,OKC,W (+2),1,29:01,7,14,.500,3,7,.429,1,2,.500,0,7,7,4,0,0,7,3,18,7.3,0
2019-11-20,29-202,LAC,HOME,BOS,W (+3),1,37:28,8,18,.444,4,11,.364,5,6,.833,0,5,5,8,0,1,5,2,25,17.2,+17
2019-11-22,29-204,LAC,HOME,HOU,W (+3),1,32:20,4,15,.267,3,10,.300,8,9,.889,0,8,8,7,2,0,3,3,19,14.8,-3
2019-11-24,29-206,LAC,HOME,NOP,W (+25),1,30:55,6,20,.300,6,16,.375,0,0,,0,5,5,2,3,1,1,2,18,11.2,-9
2019-11-26,29-208,LAC,AWAY,DAL,W (+15),1,29:25,8,21,.381,4,11,.364,6,6,1.000,2,2,4,2,6,0,2,3,26,20.7,+21
2019-11-27,29-209,LAC,AWAY,MEM,W (+2),1,29:05,8,15,.533,4,11,.364,2,2,1.000,1,4,5,2,1,0,4,2,22,14.2,+2
2019-11-29,29-211,LAC,AWAY,SAS,L (-10),1,32:42,2,11,.182,1,5,.200,0,0,,1,7,8,3,0,0,5,2,5,-2.8,-4
2019-12-01,29-213,LAC,HOME,WAS,W (+25),1,29:50,10,21,.476,4,10,.400,7,7,1.000,0,8,8,1,0,1,2,1,31,21.7,+15
2019-12-03,29-215,LAC,HOME,POR,W (+20),1,28:48,9,14,.643,6,7,.857,1,2,.500,0,4,4,3,0,0,2,1,25,19.3,+5
2019-12-06,29-218,LAC,AWAY,MIL,L (-28),1,31:14,5,12,.417,3,6,.500,0,0,,0,7,7,0,0,1,5,4,13,2.8,-25
2019-12-08,29-220,LAC,AWAY,WAS,W (+16),1,25:33,11,21,.524,3,10,.300,2,2,1.000,1,5,6,6,4,0,1,5,27,24.1,+35
2019-12-09,29-221,LAC,AWAY,IND,W (+11),1,35:45,10,26,.385,7,16,.438,9,11,.818,0,9,9,5,2,1,3,3,36,25.7,+20
2019-12-11,29-223,LAC,AWAY,TOR,W (+20),1,33:24,3,14,.214,2,12,.167,5,5,1.000,1,4,5,3,1,1,2,2,13,7.3,+15
2019-12-13,29-225,LAC,AWAY,MIN,W (+7),1,39:09,17,31,.548,6,15,.400,6,7,.857,0,5,5,7,2,0,6,5,46,31.1,+1
2019-12-14,29-226,LAC,AWAY,CHI,L (-3),1,30:43,9,20,.450,3,6,.500,6,7,.857,0,4,4,6,2,0,6,1,27,17.2,-21
2019-12-17,29-229,LAC,HOME,PHO,W (+21),1,24:38,8,17,.471,3,7,.429,5,5,1.000,0,3,3,1,3,0,3,2,24,16.1,+6
2019-12-19,29-231,LAC,HOME,HOU,L (-5),1,38:30,12,23,.522,6,12,.500,4,4,1.000,0,9,9,3,2,2,3,4,34,26.3,+6
2019-12-21,29-233,LAC,AWAY,SAS,W (+25),1,25:48,4,11,.364,0,4,.000,3,3,1.000,0,5,5,4,0,0,2,0,11,7.2,+16
2019-12-22,29-234,LAC,AWAY,OKC,L (-6),1,34:29,6,17,.353,2,5,.400,4,6,.667,1,1,2,3,2,0,5,3,18,6.6,-16
