DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,34-255,DEN,AWAY,POR,W (+8),1,31:46,3,8,.375,3,4,.750,2,2,1.000,0,5,5,2,3,2,2,3,11,10.7,+4
2019-10-25,34-257,DEN,HOME,PHO,W (+1),1,21:34,3,6,.500,0,2,.000,2,2,1.000,0,2,2,2,1,1,0,2,8,7.9,+5
2019-10-28,34-260,DEN,AWAY,SAC,W (+7),1,24:55,4,9,.444,0,2,.000,1,2,.500,1,2,3,0,0,0,0,4,9,3.6,0
2019-10-29,34-261,DEN,HOME,DAL,L (-3),1,31:15,9,17,.529,4,7,.571,1,1,1.000,4,4,8,0,0,0,0,3,23,17.5,+15
2019-10-31,34-263,DEN,AWAY,NOP,L (-15),1,15:11,3,8,.375,0,0,,4,4,1.000,1,2,3,0,0,0,1,3,10,4.7,-9
2019-11-02,34-265,DEN,AWAY,ORL,W (+4),1,28:09,1,5,.200,0,2,.000,7,7,1.000,2,9,11,0,0,1,2,2,9,7.9,+9
2019-11-05,34-268,DEN,HOME,MIA,W (+20),1,16:36,3,5,.600,1,1,1.000,3,3,1.000,1,4,5,3,0,0,1,3,10,9.5,+16
2019-11-08,34-271,DEN,HOME,PHI,W (+3),1,34:48,4,11,.364,3,4,.750,4,4,1.000,2,6,8,2,2,2,0,3,15,15.7,+23
2019-11-10,34-273,DEN,AWAY,MIN,W (+2),1,34:37,4,9,.444,0,1,.000,6,6,1.000,3,7,10,2,0,1,4,3,14,10.4,+10
2019-11-12,34-275,DEN,HOME,ATL,L (-4),1,29:55,6,11,.545,2,3,.667,5,6,.833,5,1,6,2,0,1,0,3,19,18.0,+1
2019-11-14,34-277,DEN,HOME,BRK,W (+8),1,27:13,7,14,.500,2,4,.500,2,5,.400,4,5,9,2,0,0,3,4,18,10.9,+9
2019-11-17,34-280,DEN,AWAY,MEM,W (+17),1,20:10,8,11,.727,2,3,.667,5,6,.833,1,2,3,1,5,0,0,3,23,23.9,+12
2019-11-20,34-283,DEN,HOME,HOU,W (+10),1,28:25,4,7,.571,0,1,.000,3,4,.750,2,4,6,2,3,1,0,3,11,13.8,+10
2019-11-22,34-285,DEN,HOME,BOS,W (+4),1,31:36,6,11,.545,1,1,1.000,1,1,1.000,4,6,10,2,0,2,3,1,14,12.7,+18
2019-11-24,34-287,DEN,HOME,PHO,W (+12),1,26:45,6,12,.500,2,5,.400,9,9,1.000,3,2,5,0,0,0,0,4,23,18.1,+8
2019-11-26,34-289,DEN,HOME,WAS,W (+13),1,19:49,3,9,.333,0,1,.000,2,3,.667,1,2,3,1,0,2,0,1,8,5.5,+5
2019-11-30,34-293,DEN,AWAY,SAC,L (-3),1,20:35,2,4,.500,0,0,,0,0,,1,1,2,0,2,0,2,3,4,1.8,+6
2019-12-03,34-296,DEN,HOME,LAL,L (-9),1,29:59,8,14,.571,2,3,.667,3,3,1.000,2,6,8,2,1,1,3,4,21,16.1,-2
2019-12-05,34-298,DEN,AWAY,NYK,W (+37),1,21:35,4,10,.400,1,4,.250,1,2,.500,2,4,6,3,0,2,2,2,10,7.5,+13
