DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,26-213,LAL,AWAY,LAC,L (-10),0,16:56,2,7,.286,0,3,.000,0,0,,0,1,1,2,0,0,1,0,4,0.6,-9
2019-10-25,26-216,LAL,HOME,UTA,W (+9),0,21:12,2,8,.250,0,1,.000,0,0,,0,1,1,3,0,0,1,0,4,0.6,0
2019-10-27,26-218,LAL,HOME,CHO,W (+19),0,24:02,5,9,.556,2,4,.500,0,0,,1,2,3,8,0,0,0,3,12,13.4,+10
2019-10-29,26-220,LAL,HOME,MEM,W (+29),0,22:00,3,8,.375,1,5,.200,0,0,,0,3,3,1,1,0,2,0,7,3.2,+25
2019-11-01,26-223,LAL,AWAY,DAL,W (+9),0,4:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
2019-11-03,26-225,LAL,AWAY,SAS,W (+7),0,5:03,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,+4
2019-11-05,26-227,LAL,AWAY,CHI,W (+6),0,26:03,6,9,.667,3,4,.750,2,3,.667,2,2,4,2,1,1,1,0,17,16.8,+14
2019-11-08,26-230,LAL,HOME,MIA,W (+15),0,14:45,1,4,.250,0,2,.000,0,0,,0,0,0,2,0,0,2,2,2,-1.8,-5
2019-11-10,26-232,LAL,HOME,TOR,L (-9),0,11:58,3,5,.600,1,1,1.000,0,0,,0,1,1,3,1,0,1,1,7,6.7,-5
2019-11-12,26-234,LAL,AWAY,PHO,W (+8),0,8:31,1,3,.333,1,2,.500,0,0,,0,0,0,2,0,0,0,1,3,2.3,+9
2019-11-13,26-235,LAL,HOME,GSW,W (+26),0,24:23,5,11,.455,0,1,.000,0,0,,0,1,1,2,1,0,1,0,10,6.0,+14
2019-11-15,26-237,LAL,HOME,SAC,W (+2),0,4:09,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,1.6,+6
2019-11-17,26-239,LAL,HOME,ATL,W (+21),0,5:04,1,2,.500,0,0,,0,0,,0,0,0,0,2,0,2,0,2,1.0,-3
2019-11-19,26-241,LAL,HOME,OKC,W (+5),0,15:26,1,5,.200,1,4,.250,0,0,,0,2,2,0,0,0,0,1,3,0.1,+2
2019-11-22,26-244,LAL,AWAY,OKC,W (+3),0,11:52,1,2,.500,0,0,,0,0,,1,1,2,2,0,0,1,0,2,2.4,0
2019-11-29,26-251,LAL,HOME,WAS,W (+22),0,22:44,7,11,.636,3,4,.750,0,0,,0,2,2,1,0,0,2,1,17,11.0,-2
2019-12-01,26-253,LAL,HOME,DAL,L (-14),0,3:10,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,+5
2019-12-04,26-256,LAL,AWAY,UTA,W (+25),0,4:44,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,+4
2019-12-06,26-258,LAL,AWAY,POR,W (+23),0,10:07,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,0.0,0
2019-12-08,26-260,LAL,HOME,MIN,W (+17),0,10:29,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,1,2,-0.4,-13
2019-12-22,26-274,LAL,HOME,DEN,L (-24),0,17:26,1,5,.200,0,2,.000,0,0,,0,2,2,1,0,0,3,2,2,-3.6,-7
2019-12-29,26-281,LAL,HOME,DAL,W (+13),0,1:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
2020-01-07,26-290,LAL,HOME,NYK,W (+30),0,4:30,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,2.7,+4
2020-01-10,26-293,LAL,AWAY,DAL,W (+15),0,3:02,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,6,5.1,-2
2020-01-11,26-294,LAL,AWAY,OKC,W (+15),0,18:23,5,10,.500,2,4,.500,1,1,1.000,0,1,1,3,1,0,2,1,13,9.0,+8
2020-01-13,26-296,LAL,HOME,CLE,W (+29),0,20:22,3,7,.429,1,4,.250,0,0,,1,3,4,1,1,0,0,2,7,5.8,+12
2020-01-15,26-298,LAL,HOME,ORL,L (-1),0,25:02,9,14,.643,4,7,.571,0,0,,0,4,4,1,1,0,1,3,22,16.5,+17
2020-01-18,26-301,LAL,AWAY,HOU,W (+9),0,4:42,2,3,.667,0,0,,0,0,,0,1,1,0,1,0,0,0,4,4.0,-4
2020-01-20,26-303,LAL,AWAY,BOS,L (-32),0,4:34,1,4,.250,1,1,1.000,1,3,.333,1,1,2,0,0,0,0,0,4,1.8,-4
2020-01-23,26-306,LAL,AWAY,BRK,W (+15),0,2:51,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-0.4,-1
2020-01-31,26-314,LAL,HOME,POR,L (-8),0,5:02,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,1.3,+1
2020-02-01,26-315,LAL,AWAY,SAC,W (+16),0,3:20,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,4.4,-4
2020-02-04,26-318,LAL,HOME,SAS,W (+27),0,4:20,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-2.1,+7
2020-02-10,26-324,LAL,HOME,PHO,W (+25),0,4:48,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,0,0,0,0.0,+2
2020-02-27,26-341,LAL,AWAY,GSW,W (+30),0,6:47,3,6,.500,1,3,.333,0,0,,0,0,0,1,1,0,1,0,7,4.7,+1
2020-02-29,26-343,LAL,AWAY,MEM,L (-17),0,1:45,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+3
2020-03-01,26-344,LAL,AWAY,NOP,W (+8),0,11:55,2,5,.400,1,2,.500,0,0,,0,0,0,0,0,0,0,3,5,1.1,-7
2020-03-03,26-346,LAL,HOME,PHI,W (+13),0,1:21,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,+1
