DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-12,33-263,LAL,AWAY,PHO,W (+8),0,14:20,2,6,.333,1,3,.333,0,0,,0,6,6,7,0,0,0,1,5,7.9,+4
2019-11-15,33-266,LAL,HOME,SAC,W (+2),0,18:25,0,3,.000,0,2,.000,0,0,,0,3,3,4,1,0,2,2,0,-0.2,-12
2019-11-17,33-268,LAL,HOME,ATL,W (+21),0,23:48,5,9,.556,2,3,.667,3,3,1.000,1,1,2,3,1,0,2,2,15,12.0,+12
2019-11-19,33-270,LAL,HOME,OKC,W (+5),0,27:28,3,10,.300,1,4,.250,1,2,.500,0,2,2,10,0,0,3,0,8,6.4,+6
2019-11-22,33-273,LAL,AWAY,OKC,W (+3),0,18:05,3,6,.500,2,3,.667,0,0,,0,1,1,4,2,0,2,2,8,7.3,-3
2019-11-23,33-274,LAL,AWAY,MEM,W (+1),0,25:42,6,15,.400,1,5,.200,1,2,.500,2,3,5,6,2,0,1,0,14,13.0,+4
2019-11-25,33-276,LAL,AWAY,SAS,W (+10),0,24:32,5,9,.556,3,3,1.000,0,0,,1,4,5,3,2,0,3,2,13,10.9,+13
2019-11-27,33-278,LAL,AWAY,NOP,W (+4),0,18:55,0,3,.000,0,2,.000,0,0,,0,2,2,7,1,0,2,1,0,2.0,0
2019-11-29,33-280,LAL,HOME,WAS,W (+22),0,11:12,5,7,.714,3,4,.750,0,0,,0,1,1,4,0,0,0,0,13,13.2,+15
2019-12-01,33-282,LAL,HOME,DAL,L (-14),0,18:02,2,3,.667,0,0,,0,0,,0,1,1,7,0,0,3,0,4,4.9,-18
2019-12-03,33-284,LAL,AWAY,DEN,W (+9),0,25:04,4,6,.667,2,2,1.000,1,2,.500,0,6,6,6,1,0,2,1,11,12.6,+8
2019-12-04,33-285,LAL,AWAY,UTA,W (+25),0,32:00,5,12,.417,2,3,.667,2,2,1.000,0,9,9,12,2,0,2,2,14,17.9,+25
2019-12-06,33-287,LAL,AWAY,POR,W (+23),0,14:32,2,2,1.000,2,2,1.000,0,0,,0,3,3,4,2,1,2,0,6,9.8,+13
2019-12-13,33-294,LAL,AWAY,MIA,W (+3),0,25:26,0,5,.000,0,4,.000,0,0,,0,2,2,4,1,0,2,3,0,-2.3,-10
2019-12-15,33-296,LAL,AWAY,ATL,W (+5),0,26:01,4,10,.400,1,4,.250,2,2,1.000,1,6,7,5,2,0,2,1,11,11.2,0
2019-12-17,33-298,LAL,AWAY,IND,L (-3),0,25:31,2,9,.222,1,4,.250,2,4,.500,2,3,5,7,1,0,1,1,7,7.5,-4
2019-12-19,33-300,LAL,AWAY,MIL,L (-7),0,17:41,1,3,.333,0,1,.000,0,0,,0,2,2,3,1,0,5,3,2,-2.2,-11
2019-12-22,33-303,LAL,HOME,DEN,L (-24),1,27:54,2,8,.250,1,4,.250,0,0,,2,2,4,8,3,0,2,3,5,7.6,-7
2019-12-25,33-306,LAL,HOME,LAC,L (-5),0,20:26,3,9,.333,1,5,.200,0,0,,0,3,3,5,1,0,4,0,7,3.3,-4
2019-12-28,33-309,LAL,AWAY,POR,W (+8),0,18:00,6,8,.750,1,2,.500,2,2,1.000,1,2,3,4,0,0,2,2,15,13.1,+12
2019-12-29,33-310,LAL,HOME,DAL,W (+13),0,18:16,2,5,.400,0,1,.000,0,0,,1,2,3,4,0,1,2,0,4,4.1,+5
2020-01-01,33-313,LAL,HOME,PHO,W (+10),0,15:10,0,4,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,-3.5,-12
2020-01-03,33-315,LAL,HOME,NOP,W (+10),0,15:20,1,4,.250,0,0,,0,0,,0,5,5,5,0,0,1,0,2,3.6,-19
2020-01-05,33-317,LAL,HOME,DET,W (+7),0,20:04,1,4,.250,0,1,.000,0,0,,0,3,3,3,0,0,2,1,2,0.2,+2
2020-01-07,33-319,LAL,HOME,NYK,W (+30),0,23:13,3,6,.500,0,2,.000,2,2,1.000,0,3,3,10,1,0,5,2,8,8.1,+19
2020-01-10,33-322,LAL,AWAY,DAL,W (+15),0,24:13,3,9,.333,0,0,,4,4,1.000,1,4,5,3,0,0,2,1,10,6.5,+9
2020-01-11,33-323,LAL,AWAY,OKC,W (+15),1,32:53,10,22,.455,1,6,.167,0,0,,2,10,12,8,1,0,2,1,21,18.2,+14
2020-01-20,33-332,LAL,AWAY,BOS,L (-32),0,20:05,5,9,.556,1,2,.500,2,2,1.000,1,1,2,3,0,0,2,1,13,9.4,-12
2020-01-22,33-334,LAL,AWAY,NYK,W (+8),0,18:17,3,6,.500,2,4,.500,0,2,.000,0,1,1,3,2,0,0,0,8,8.6,-5
2020-01-23,33-335,LAL,AWAY,BRK,W (+15),0,22:52,3,7,.429,1,3,.333,0,0,,0,4,4,10,0,0,2,3,7,8.3,+8
2020-01-25,33-337,LAL,AWAY,PHI,L (-17),0,14:39,1,6,.167,0,3,.000,0,0,,1,0,1,4,0,0,2,0,2,-0.3,+1
2020-01-31,33-343,LAL,HOME,POR,L (-8),0,14:13,1,3,.333,0,1,.000,0,0,,0,0,0,5,0,0,2,0,2,1.8,-11
