DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2020-01-01,28-291,NYK,HOME,POR,W (+24),0,15:26,4,9,.444,3,5,.600,0,0,,0,2,2,0,0,0,0,2,11,6.1,+19
2020-01-03,28-293,NYK,AWAY,PHO,L (-8),0,18:33,4,11,.364,1,5,.200,0,0,,1,1,2,1,2,0,0,2,9,5.8,-6
2020-01-05,28-295,NYK,AWAY,LAC,L (-3),0,24:54,4,5,.800,1,1,1.000,0,0,,1,0,1,1,3,0,0,2,9,10.7,+1
2020-01-07,28-297,NYK,AWAY,LAL,L (-30),1,26:55,3,9,.333,1,5,.200,0,0,,0,0,0,2,2,0,0,3,7,4.1,-16
2020-01-08,28-298,NYK,AWAY,UTA,L (-24),1,23:53,4,9,.444,1,2,.500,0,0,,2,1,3,1,0,0,0,0,9,6.7,-30
2020-01-10,28-300,NYK,HOME,NOP,L (-12),1,27:15,6,11,.545,2,6,.333,1,2,.500,0,2,2,2,3,0,0,2,15,13.5,-4
2020-01-12,28-302,NYK,HOME,MIA,W (+3),1,28:29,6,16,.375,4,12,.333,0,0,,0,1,1,4,2,0,1,5,16,9.3,+1
2020-01-14,28-304,NYK,AWAY,MIL,L (-26),1,23:27,0,8,.000,0,4,.000,3,3,1.000,1,0,1,1,1,0,0,0,3,-0.2,-25
2020-01-18,28-308,NYK,HOME,PHI,L (-3),1,34:45,6,13,.462,1,4,.250,1,1,1.000,1,2,3,2,3,0,3,5,14,8.0,+4
2020-01-20,28-310,NYK,AWAY,CLE,W (+20),1,29:59,5,10,.500,2,5,.400,0,0,,0,2,2,0,1,0,1,3,12,6.4,+14
2020-01-22,28-312,NYK,HOME,LAL,L (-8),1,21:08,2,6,.333,1,5,.200,0,0,,1,2,3,0,0,0,1,2,5,1.1,-8
2020-01-24,28-314,NYK,HOME,TOR,L (-6),1,21:57,4,8,.500,3,7,.429,0,0,,0,3,3,1,0,0,0,1,11,8.2,+4
2020-01-26,28-316,NYK,HOME,BRK,W (+13),1,31:25,4,8,.500,2,3,.667,0,0,,0,5,5,1,1,0,0,2,10,8.4,+6
2020-01-28,28-318,NYK,AWAY,CHO,L (-5),1,28:01,2,7,.286,1,4,.250,1,1,1.000,1,1,2,2,0,0,1,2,6,2.5,-5
2020-01-29,28-319,NYK,HOME,MEM,L (-21),1,19:42,4,9,.444,0,2,.000,1,2,.500,0,1,1,1,0,0,0,3,9,3.7,-19
2020-02-01,28-322,NYK,AWAY,IND,W (+7),1,24:48,2,7,.286,1,3,.333,2,2,1.000,0,4,4,2,0,0,2,4,7,1.9,+7
2020-02-03,28-324,NYK,AWAY,CLE,W (+5),1,24:43,3,6,.500,1,4,.250,0,0,,1,3,4,1,1,0,0,1,7,6.9,-2
2020-02-06,28-327,NYK,HOME,ORL,W (+2),1,30:28,5,13,.385,0,4,.000,2,2,1.000,2,1,3,3,1,0,1,2,12,7.9,+9
2020-02-08,28-329,NYK,AWAY,DET,W (+3),1,27:25,2,5,.400,2,4,.500,2,2,1.000,0,4,4,5,1,0,0,1,8,10.6,+7
2020-02-09,28-330,NYK,AWAY,ATL,L (-5),1,37:15,8,18,.444,5,10,.500,0,0,,0,4,4,1,1,0,1,3,21,12.3,-2
2020-02-12,28-333,NYK,HOME,WAS,L (-18),1,24:28,2,12,.167,1,5,.200,0,0,,1,1,2,0,1,0,2,3,5,-3.8,-18
2020-02-21,28-342,NYK,HOME,IND,L (-8),1,18:30,2,4,.500,2,2,1.000,3,4,.750,1,3,4,1,1,0,1,2,9,8.1,-3
2020-02-24,28-345,NYK,AWAY,HOU,L (-11),0,21:39,1,5,.200,1,3,.333,0,0,,0,1,1,3,0,1,0,2,3,2.2,-25
2020-02-26,28-347,NYK,AWAY,CHO,L (-6),0,10:18,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,0
2020-02-27,28-348,NYK,AWAY,PHI,L (-9),0,17:31,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,2.0,-21
2020-03-04,28-354,NYK,HOME,UTA,L (-8),0,20:19,2,4,.500,0,1,.000,0,0,,0,5,5,1,0,0,1,1,4,2.8,+11
2020-03-06,28-356,NYK,HOME,OKC,L (-23),0,10:42,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,1,0,1,0,-0.5,-5
2020-03-08,28-358,NYK,HOME,DET,W (+12),0,12:00,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,0,0,0.7,+11
2020-03-10,28-360,NYK,AWAY,WAS,L (-7),0,28:24,4,6,.667,1,2,.500,1,2,.500,0,2,2,3,0,1,3,2,10,6.6,+17
