DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,33-067,SAS,HOME,NYK,W (+9),0,20:18,4,9,.444,0,4,.000,5,5,1.000,1,5,6,3,1,1,3,1,13,10.9,+3
2019-10-26,33-070,SAS,HOME,WAS,W (+2),0,27:04,4,9,.444,0,3,.000,0,0,,3,6,9,4,1,0,0,4,8,9.4,-1
2019-10-28,33-072,SAS,HOME,POR,W (+3),0,19:51,2,4,.500,1,3,.333,3,4,.750,1,3,4,1,0,2,3,0,8,6.3,+14
2019-10-31,33-075,SAS,AWAY,LAC,L (-6),0,26:06,3,10,.300,1,4,.250,2,4,.500,2,10,12,4,0,0,1,1,9,8.2,-3
2019-11-01,33-076,SAS,AWAY,GSW,W (+17),0,17:52,7,9,.778,2,3,.667,0,0,,1,5,6,1,0,0,1,1,16,14.0,+16
2019-11-03,33-078,SAS,HOME,LAL,L (-7),0,26:55,6,13,.462,3,7,.429,1,2,.500,2,8,10,3,0,0,2,1,16,12.4,+6
2019-11-05,33-080,SAS,AWAY,ATL,L (-8),0,26:04,3,10,.300,0,4,.000,2,2,1.000,2,4,6,2,1,0,2,1,8,4.8,0
2019-11-07,33-082,SAS,HOME,OKC,W (+9),0,20:19,2,4,.500,0,1,.000,2,2,1.000,1,1,2,1,0,1,1,2,6,4.6,+3
2019-11-09,33-084,SAS,HOME,BOS,L (-20),0,14:57,3,6,.500,0,1,.000,0,0,,4,3,7,1,0,0,1,0,6,6.4,-2
2019-11-11,33-086,SAS,HOME,MEM,L (-4),0,27:09,6,9,.667,3,4,.750,3,3,1.000,2,6,8,2,0,1,1,3,18,17.2,-4
2019-11-13,33-088,SAS,AWAY,MIN,L (-15),0,21:52,3,8,.375,0,1,.000,4,4,1.000,2,6,8,3,0,1,0,4,10,10.0,-16
2019-11-15,33-090,SAS,AWAY,ORL,L (-2),0,20:38,6,12,.500,2,5,.400,0,0,,1,3,4,1,0,0,2,2,14,7.5,+9
2019-11-16,33-091,SAS,HOME,POR,L (-5),0,23:04,5,7,.714,0,1,.000,6,7,.857,0,4,4,1,1,1,0,1,16,15.9,+3
2019-11-18,33-093,SAS,AWAY,DAL,L (-7),0,17:41,4,10,.400,1,3,.333,0,0,,0,5,5,2,1,1,0,0,9,8.2,-5
2019-11-20,33-095,SAS,AWAY,WAS,L (-6),0,28:29,6,11,.545,2,6,.333,4,4,1.000,3,2,5,3,0,1,2,0,18,16.2,-3
2019-11-22,33-097,SAS,AWAY,PHI,L (-11),0,27:00,8,11,.727,3,3,1.000,3,3,1.000,0,4,4,1,0,0,1,0,22,18.4,+4
2019-11-23,33-098,SAS,AWAY,NYK,W (+7),0,23:41,3,9,.333,0,2,.000,1,2,.500,0,4,4,2,1,0,5,2,7,-0.7,0
2019-11-25,33-100,SAS,HOME,LAL,L (-10),0,17:48,2,5,.400,1,3,.333,0,0,,0,1,1,0,0,1,2,4,5,-0.3,-13
2019-11-27,33-102,SAS,HOME,MIN,L (-12),0,27:24,4,11,.364,0,5,.000,2,2,1.000,1,10,11,4,0,0,2,1,10,8.0,+13
2019-11-29,33-104,SAS,HOME,LAC,W (+10),1,31:06,2,9,.222,0,3,.000,2,2,1.000,2,4,6,1,1,0,2,3,6,1.6,+4
2019-12-01,33-106,SAS,AWAY,DET,L (-34),1,22:47,5,12,.417,0,2,.000,2,2,1.000,0,3,3,0,1,2,2,2,12,6.1,-8
2019-12-03,33-108,SAS,HOME,HOU,W (+2),1,22:52,4,12,.333,0,2,.000,6,6,1.000,1,4,5,2,1,1,2,0,14,10.2,-19
2019-12-06,33-111,SAS,HOME,SAC,W (+1),1,21:22,4,9,.444,1,3,.333,0,0,,2,4,6,2,1,0,3,1,9,5.9,-9
2019-12-12,33-117,SAS,HOME,CLE,L (-8),1,21:17,4,9,.444,1,3,.333,0,0,,0,1,1,2,2,1,2,0,9,6.7,0
2019-12-14,33-119,SAS,AWAY,PHO,W (+2),0,31:35,2,10,.200,0,3,.000,6,7,.857,0,10,10,3,0,2,3,3,10,5.7,+12
2019-12-16,33-121,SAS,AWAY,HOU,L (-2),0,21:09,4,9,.444,2,5,.400,2,2,1.000,2,10,12,3,1,1,2,3,12,12.3,+10
2019-12-19,33-124,SAS,HOME,BRK,W (+13),0,13:53,1,8,.125,0,2,.000,0,0,,0,4,4,0,0,0,0,1,2,-2.4,+18
2019-12-21,33-126,SAS,HOME,LAC,L (-25),0,20:14,3,4,.750,1,1,1.000,0,0,,0,5,5,1,0,1,1,0,7,7.3,-8
2019-12-23,33-128,SAS,AWAY,MEM,W (+30),0,19:46,2,6,.333,1,2,.500,1,2,.500,0,2,2,2,0,0,0,0,6,4.2,-10
2019-12-26,33-131,SAS,AWAY,DAL,L (-4),0,26:04,7,10,.700,4,7,.571,0,0,,0,8,8,2,2,2,1,1,18,19.6,+15
2019-12-28,33-133,SAS,HOME,DET,W (+27),0,20:04,6,9,.667,4,7,.571,0,0,,0,7,7,1,1,1,2,3,16,13.4,+7
2019-12-31,33-136,SAS,HOME,GSW,W (+4),0,19:13,1,3,.333,0,2,.000,1,2,.500,1,3,4,2,0,0,2,1,3,1.5,+1
2020-01-02,33-138,SAS,HOME,OKC,L (-6),0,20:37,3,6,.500,2,3,.667,1,2,.500,1,2,3,3,0,1,0,1,9,9.3,+11
2020-01-04,33-140,SAS,AWAY,MIL,L (-9),0,21:36,5,9,.556,1,2,.500,4,4,1.000,0,8,8,0,1,0,0,1,15,13.7,-16
2020-01-06,33-142,SAS,HOME,MIL,W (+22),0,24:35,6,10,.600,2,2,1.000,3,4,.750,1,7,8,1,0,0,1,2,17,13.7,+13
2020-01-08,33-144,SAS,AWAY,BOS,W (+15),0,21:21,2,8,.250,0,4,.000,0,0,,1,6,7,0,1,0,4,4,4,-2.9,+7
2020-01-10,33-146,SAS,AWAY,MEM,L (-13),0,25:44,5,12,.417,3,7,.429,0,0,,1,4,5,2,0,1,0,1,13,10.2,-3
2020-01-12,33-148,SAS,AWAY,TOR,W (+1),0,20:10,4,9,.444,2,5,.400,5,6,.833,1,1,2,3,0,0,1,1,15,11.6,+12
2020-01-15,33-151,SAS,AWAY,MIA,L (-6),0,19:31,1,8,.125,0,2,.000,1,2,.500,0,6,6,2,1,0,0,0,3,1.6,-4
2020-01-22,33-158,SAS,AWAY,NOP,W (+4),0,9:24,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-1.8,+9
2020-01-24,33-160,SAS,HOME,PHO,L (-4),0,14:07,2,5,.400,0,1,.000,2,2,1.000,1,2,3,0,0,0,1,1,6,3.2,+5
2020-01-26,33-162,SAS,HOME,TOR,L (-4),0,17:50,1,5,.200,0,2,.000,2,2,1.000,0,6,6,2,1,0,1,1,4,3.7,-7
2020-01-27,33-163,SAS,AWAY,CHI,L (-1),0,21:31,3,6,.500,1,2,.500,2,2,1.000,1,3,4,3,0,0,3,1,9,6.3,-8
2020-01-29,33-165,SAS,HOME,UTA,W (+7),0,22:15,4,10,.400,0,6,.000,2,2,1.000,0,7,7,4,0,0,1,4,10,6.9,-3
2020-02-01,33-168,SAS,HOME,CHO,W (+24),0,6:22,2,4,.500,1,1,1.000,0,0,,0,1,1,0,0,0,2,0,5,1.3,-4
2020-02-03,33-170,SAS,AWAY,LAC,L (-3),0,15:00,2,5,.400,0,2,.000,0,0,,0,3,3,2,0,0,0,2,4,2.8,+2
